rank,Country,GDP (USD million)
 , World[1],"86,779,373"
1, United States,"21,427,690"
2, China[n 1],"14,140,163"
3, Japan,"5,154,475"
4, Germany (European Union),"3,863,344"
5, California (United States),"3,137,469"
6, India,"2,935,570"
7, United Kingdom,"2,743,586"
8, France (European Union),"2,707,074"
9, Italy (European Union),"1,988,636"
10, Texas (United States),"1,886,956"
11, Brazil,"1,847,020"
12, New York (United States),"1,731,910"
13, Canada,"1,730,914"
14, Russia[n 2],"1,637,892"
15, South Korea,"1,629,532"
16, Spain (European Union),"1,397,870"
17, Australia,"1,376,255"
18, Mexico,"1,274,175"
19, Indonesia,"1,111,713"
20, Florida (United States),"1,093,350"
21, Netherlands (European Union),"902,355"
22, Illinois (United States),"897,123"
23, Pennsylvania (United States),"813,513"
24, Saudi Arabia,"779,289"
25, Turkey,"743,708"
26,  Switzerland,"715,360"
27, Ohio (United States),"698,458"
28, New Jersey (United States),"644,841"
29, Georgia (United States),"616,333"
30, Washington (United States),"599,607"
31, Massachusetts (United States),"595,558"
32, North Carolina (United States),"587,711"
33, Taiwan,"586,104"
34, Poland (European Union),"565,854"
35, Virginia (United States),"554,211"
36, Michigan (United States),"541,550"
37, Thailand,"529,177"
38, Sweden (European Union),"528,929"
39, Belgium (European Union),"517,609"
40, Iran,"458,500"
41, Austria (European Union),"447,718"
42, Nigeria,"446,543"
43, Argentina,"445,469"
44, Maryland (United States),"428,388"
45, Norway,"417,627"
46, United Arab Emirates,"405,771"
47, Colorado (United States),"390,283"
48, Israel,"387,717"
49, Ireland (European Union),"384,940"
50, Minnesota (United States),"380,854"
51, Tennessee (United States),"380,137"
52, Indiana (United States),"379,133"
53, Arizona (United States),"366,189"
54, Malaysia,"365,303"
55, Singapore,"362,818"
56, South Africa,"358,839"
57, Philippines,"356,814"
58, Wisconsin (United States),"347,306"
59, Denmark (European Union),"347,176"
60, Missouri (United States),"332,082"
61, Colombia,"327,895"
62, Bangladesh,"317,465"
63, Egypt,"302,256"
64, Chile,"294,237"
65, Connecticut (United States),"285,640"
