Rank,Country/US state,USD
1, Luxembourg (European Union),"113,196"
2, New York (United States),"90,043"
3, Massachusetts (United States),"86,942"
4,  Switzerland,"83,716"
5, Connecticut (United States),"81,055"
6, California (United States),"80,563"
7, Washington (United States),"80,170"
8, Delaware (United States),"78,468"
9, Norway,"77,975"
10, Ireland (European Union),"77,771"
11, Alaska (United States),"76,220"
12, North Dakota (United States),"75,321"
13, New Jersey (United States),"73,451"
14, Maryland (United States),"71,838"
15, Illinois (United States),"71,727"
16, Qatar,"69,687"
17, Hawaii (United States),"69,593"
18, Colorado (United States),"68,828"
19, Wyoming (United States),"68,757"
20, Minnesota (United States),"68,427"
21, Iceland,"67,037"
22, Nebraska (United States),"66,737"
23, Texas (United States),"66,149"
24, New Hampshire (United States),"66,069"
25, Virginia (United States),"65,824"
26, Pennsylvania (United States),"64,412"
27, Singapore,"63,987"
28, Iowa (United States),"62,493"
29, South Dakota (United States),"61,104"
30, Rhode Island (United States),"60,830"
31, Oregon (United States),"60,558"
32, Ohio (United States),"60,464"
33, Wisconsin (United States),"60,425"
34, Kansas (United States),"60,310"
35, Utah (United States),"59,892"
36, Denmark (European Union),"59,795"
37, Georgia (U.S. state) (United States),"58,896"
38, Nevada (United States),"58,570"
39, Louisiana (United States),"57,445"
40, North Carolina (United States),"56,862"
41, Indiana (United States),"56,702"
42, Vermont (United States),"56,525"
43, Tennessee (United States),"56,451"
44, Michigan (United States),"54,928"
45, Missouri (United States),"54,879"
46, Australia,"53,825"
47, Oklahoma (United States),"52,409"
48, Netherlands (European Union),"52,367"
49, Florida (United States),"51,745"
50, Sweden (European Union),"51,241"
51, Arizona (United States),"51,179"
52, Maine (United States),"50,915"
53, Ireland (European Union),"50,201"
54, New Mexico (United States),"50,022"
55, Montana (United States),"49,540"
56, Finland (European Union),"48,868"
57, Kentucky (United States),"48,697"
58, South Carolina (United States),"48,547"
59, Alabama (United States),"47,735"
60, San Marino,"47,279"
61, Germany (European Union),"46,563"
62, Canada,"46,212"
63, Idaho (United States),"46,043"
64, Belgium (European Union),"45,175"
65, Arkansas (United States),"44,808"
66, West Virginia (United States),"43,806"
67, Israel,"42,823"
