,Imports,Imports,Imports,Imports,Exports,Exports,Exports,Exports,Exports
,3D,3D game,CAD and GIS,Web and mobile[io 1],3D,3D game,3D renderers,CAD and GIS,Web and mobile[io 1]
3ds Max,"FBX, 3DS, PRJ, ABC, AI, COLLADA, HTR, OBJ, SHP, SKP, STL, TRC, VRML",Openflight FLT,"DEM, XML, DDF, DWG, DXF, IGE, IGS, IGES, IPT, WIRE, IAM, LS, VW, LP, SAT, Catia V4/V5, JT, ProE, RVT, PRT, SolidWorks,[io 2] STEP, WIRE",,"FBX, 3DS, AI, ASE, COLLADA, HTR, OBJ, STL",Openflight FLT,,"ATR, BLK, DF, DWG, DXF, IGS, LAY, LP, SAT, VW","M3G, VRML97"
AC3D,"3DS, AC3D, COLLADA, Lightwave, Massive, Milkshape Ascii, OBJ, OFF, Pointfield, Points, STL (ascii), Terragen, Triangle, Vector","Quake BSP, Quake MD2, Renderware, SMF","DXF, LDraw (Lego), SOF Airfoil",VRML 1.0[10],"3DS, 3D Studio ASE, AC3D, Dive, DVS, DXF, COLLADA, Lightwave, Massive, Milkshape Ascii, OBJ, STL (ascii), Triangle","DirectX, Ogre, Quake MD2, Quake Map, SMF, Unreal Tournament","POV-Ray, Renderman","Inventor, LDraw (Lego)","VRML 1.0, VRML 2.0, X3D[10]"
Blender,"COLLADA, Alembic, FBX, BVH, PLY, OBJ, STL, SVG",,DXF,"X3D, glTF","COLLADA, Alembic, FBX, BVH, PLY, OBJ, STL, SVG, PC2",,POV-Ray,DXF,"X3D, glTF"
Electric Image Animation System,"3DS, FBX, OBJ, LWO, MDD",,DXF,,"3DS, OBJ, LWO",,,DXF,
Cinema 4D,"FBX, OBJ, 3DS, QD3D, STL, DEM, LWO/LWS",,DXF,"VRML 1, VRML 2","FBX, OBJ, 3DS, QD3D, STL, W3D",,,DXF,"VRML 1, VRML 2"
Clara.io,"FBX, OBJ, Collada, MD2, MD3, MD5, 3DS, STL, LWO, GEO, IRR, PLY, POV, SHP, XGL, ZGL, AC, BLEND, BVH, CSM, LWS",X,DXF,"VRML, Three.js","FBX, OBJ, Collada, STL",,,,"Three.js, Babylon.js"
Cobalt,"3DS, AI, ASCII Text",,"ACIS SAT, CATIA v4, CCAD, CGM, CO (native), Drawing board, DWG/DXF, Facet, Grid Surface, IGS (IGES), Parasolid XT, Pro/E, Rhino 3DM, Spline, STP (STEP)",VRML,"AI, ASCII Text, RAW Triangle",,,"ACIS SAT, CATIA v4, CGM, CO (native), Drawing board, DWG/DXF, Facet, Grid Surface, IGS (IGES),Parasolid XT, PDF, Pro/E, STP (STEP)","Shockwave 3D, VRML"
Houdini,?,,,,?,,,,
IClone,"FBX, OBJ, BVH, SKP (via 3DXChange)",,,,"FBX, OBJ, BVH (via 3DXChange)",,,,
Lightwave 3D,"3DS, COLLADA, FBX, OBJ, LWO, FBX, MD2, VideoScape",,DXF,"VRML, VRML97","3DS, COLLADA, FBX, OBJ, LWO, MD2",,,DXF,"VRML, VRML97"
MakeHuman,N/A,,,,"COLLADA, FBX Export, MD5, MHX, OBJ, STL",Ogre3D,,,
Maya,"Maya Ascii, Maya Binary, MEL, FBX, OBJ, STL",Openflight FLT,"DXF, IGES, StudioTools Wire",VRML2,"Maya Ascii, Maya Binary, Mel, FBX, OBJ, GE2, RTG",OpenFlight FLT,"Mental Ray, RIB","DXF, IGES, StudioTools Wire, Open Inventor2",VRML2
Metasequoia,"3DS, COB (Caligari Object), LWO, OBJ, ROK (Rokkaku Daiō), SUF (DoGA CGA System)",RSD (PlayStation),DXF,,"3DS, COB (Caligari Object), LWO, OBJ, RDS (Ray Dream Studio), ROK (Rokkaku Daiō), SCE (SoftF/X Model), SUF (DoGA CGA System)","DirectX, RSD (PlayStation)","POV-Ray, RIB",DXF,VRML 1.0
Modo,"LXO, LWO2, LWOB, FBX, 3DS, GEO, OBJ, COLLADA, MDD",,"DXF, SolidWorks[io 2]",,"LXO, LWO, FBX, PLT, GEO, OBJ, COLLADA",,,DXF,X3D
Remo 3D,"3DC, 3DS, AC, Collada, FBX, LWO, LWS, MD2, OBJ, OpenSceneGraph,[io 3] P3D, PLY, STL, STA, SHP",X,"DW, DXF",,"3DS, AC, Collada, DOT, FBX, OBJ, OpenSceneGraph,[io 3] P3D, STL",,,,
Shade,"OBJ, SketchUp, XML; (Pro) 3DS, BVH, COLLADA, LWO",,DXF,,"COLLADA, DXF, OBJ, XML; (Pro) 3DS, LWO","DirectX, Second Life Sculpted Prim, Blue Mars",RIB,,VRML 2.0、Flash (SWF)
Softimage,?,,,,?,,,,
Solid Edge,STL,,"IGES, STEP, DXF, JT, ACIS (SAT), ProE, SolidWorks,[io 2] NX, SDRC, Microstation, Inventor, CATIA (V4/V5), Parasolid, Autocad, XML, MDS",,,,,"IGES, STEP, STL, EMS, JT, XGL, XML, DXF, Parasolid, CATIA (V4/V5), ACIS (SAT), Microstation, Autocad",PDF
SketchUp Make,SKP,,"DEM, DDF,[9] SKP+KMZ, 3DS[9]",,"COLLADA, SKP",,,SKP+KMZ[9],
