Application,Alembic Importer,USD Importer,Rendering Engine,Volume Rendering for clouds,Interactive Rendering,Isolating light contribution,Light Lister,IES Light,Physical Sun & Sky,Sun Positioning  by location and times,Light Portal,Shadow Catcher,IBL and Environment texture,IBL and Environment texture,IBL and Environment texture,Highlight Placement,Light Layers
Application,Alembic Importer,USD Importer,Rendering Engine,Volume Rendering for clouds,Interactive Rendering,Isolating light contribution,Light Lister,IES Light,Physical Sun & Sky,Sun Positioning  by location and times,Light Portal,Shadow Catcher,Lat Long,sIBL,Light Extraction[18],Highlight Placement,Light Layers
Maya,Yes,(USD for Maya),Maya Hardware 2.0,?,Yes,No[19],Light Editor,?,?,?,?,?,Yes,?,?,(Place Highlight Tool for Maya),No
Maya,Yes,(USD for Maya),Maya Software,?,?,Light Linking,Light Editor,No,?,?,?,?,Env Sphere,?,?,(Place Highlight Tool for Maya),No
Maya,Yes,(USD for Maya),Arnold,Yes,Yes,Light Linking,Light Editor,Ai Photometric Light,Yes,?,Yes,Yes,Yes,?,?,(Place Highlight Tool for Maya),No
3ds Max,Yes,No,Quicksilver,?,Yes,No[20],Light Lister,?,?,?,?,?,?,?,?,Place Highlight,No
3ds Max,Yes,No,Scanline,?,?,Light Exclude/Include,Light Lister,?,?,?,?,Yes,?,sIBL-GUI software,?,Place Highlight,No
3ds Max,Yes,No,ART,?,?,?,Light Lister,Yes,?,?,?,?,?,?,?,Place Highlight,No
3ds Max,Yes,No,Arnold,Yes,Yes,Light Group[21],Light Lister,Ai Photometric Light,Yes,Sun Positioner[22],Yes,Yes,Yes,?,?,Place Highlight,No
Blender,2.78 and later,No,Workbench,Some,Yes,View Layers[23],Property Chart Addon / Gaffer addon,No,?,Sun Position addon,No,?,Yes,?,?,Look At Gizmo (with Ctrl key),No
Blender,2.78 and later,No,EEVEE,Some,Yes,View Layers[23],Property Chart Addon / Gaffer addon,No,Yes,Sun Position addon,No,Shader Node[24],Yes,?,?,Look At Gizmo (with Ctrl key),No
Blender,2.78 and later,No,Cycles,Yes,Yes,View Layers[23],Property Chart Addon / Gaffer addon,2.80 and later[25],Yes,Sun Position addon,from 2.75,from 2.79,Yes,sIBL_GUI for Blender addon/ Add Environment nodes addon,?,Look At Gizmo (with Ctrl key),No
MODO,Yes,14.1 and later,MODO Renderer,Yes,Yes,Light Linking[26],?,Photometric Light,Directional Light[27],Directional Light[27],Portal,Shadow Catcher,Yes,mm_sIBLToModoEnvironment script,?,?,No
LightWave,11.6 and later,No,LightWave Renderer,Yes,Yes,?,?,Photometric Light,Yes,Yes,Yes,Yes,Yes,"original loader script, where most sIBL features were invented[28]",?,?,No
Houdini,Yes,Solaris,Mantra (PT) / Karma,Yes,Yes,Light categories,Light bank,Yes,?,?,?,Shadow Matte,Yes,?,?,Solaris,?
Cinema 4D,Yes,R23 and later,CineRender,?,Yes,Exclude/Include,?,Yes,?,?,?,from R18,Yes,?,?,?,?
