Chart type / Framework,Chart type / Framework,Adobe Flex built-in charts,Axiis,BirdEye,Flare,Flexmonster,IBM ILOG Elixir,Kap IT Labs,yFiles,amCharts,AnyChart,LiveGap Chart
Cost,Cost,Free,Free,Free,Free,"Non-free
contact vendor for prices","Non-free £556 (for EULA),
contact vendor for OEM","Free for non-commercial,
€2'500 (VAT excluded) for
full 1-developer package","Non-free
contact vendor for prices",Free (with link to amCharts) link-free from €85},Free (with link to AnyChart) Team license available},Free
License,License,MPL,MIT,MIT,BSD,Proprietary,Proprietary,Proprietary,Proprietary,Proprietary,Proprietary,Free
Open source,Open source,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No
Bar/Column charts,Simple,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Bar/Column charts,Stacked,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
Bar/Column charts,Floating (Range),Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes
Bar/Column charts,Waterfall,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No
Bar/Column charts,Layered,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
Line charts,Simple,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Line charts,Spline (Curve),Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes
Line charts,Step,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes
Pie charts,Simple,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Pie charts,Doughnut (Ring),Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
Pie charts,Exploded,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No
Pie charts,Stacked,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
Area charts,Simple,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
Area charts,Spline (Curve),Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes
Area charts,Stacked,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
Area charts,Floating (Range),No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes
Area charts,Histogram (Step),Yes,No,No,No,No,Yes,No,No,Yes,Yes,No
Scatter plot charts,Simple,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No
Scatter plot charts,Bubble,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No
Circular charts,Radar,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
Circular charts,Polar,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes
Accumulation charts,Pyramid,No,No,No,No,No,No,No,No,No,Yes,No
Accumulation charts,Funnel,No,No,No,No,No,No,No,No,No,Yes,No
Tree/Heat map charts,Tree map,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Tree/Heat map charts,Heat map,No,No,No,No,No,Yes,No,No,No,No,No
Finance charts,OHLC,Yes,No,No,No,No,No,No,No,Yes,No,No
Finance charts,Candlestick,Yes,No,No,No,No,No,No,No,Yes,No,No
Finance charts,Kagi,No,No,No,No,No,No,No,No,No,No,No
Gauge charts,Gauge charts,No,No,No,No,No,Yes,No,No,No,Yes,No
Cartogram charts,Cartogram charts,No,No,Yes,No,No,Yes,No,No,No,No,No
Gantt charts,Gantt charts,No,No,No,No,No,Yes,No,No,No,Yes,No
Dependency graphs,Dependency graphs,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
Nomograms,Smith chart,No,Yes,No,No,No,No,No,No,No,No,No
Organizational charts,Organizational charts,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Flow charts,Flow charts,No,No,No,No,No,Yes,Yes,Yes,No,No,No
