Afrikaans,Dutch,English
aand,avond,evening
aartappelskyfies,(aardappel)chips,potato chips (US)  crisps (UK) 
"afkappingsteken, apostroof","weglatingsteken, afkappingsteken, apostrof",apostrophe
"afleweringswa, bestelwa, paneelwa",bestelbus (Netherlands)  bestelwagen (Belgium),"delivery van, panel van"
amper,"bijna amper means ""just"" [105]","nearly, almost"
amptelik,"officieel ambtelijk means ""ex officio""",official
as,als,if
asem,adem asem also used in Belgium,breath
asseblief,"alsjeblieft, alstublieft",please
"baadjie, jas","jasje, vest",jacket
baba,"baby, kindje",baby
"babalaas, babelas",kater,hangover
baie,"heel, zeer, veel","very, much"
bakkie,pick-up,pick-up truck
beeldpoetser,media-adviseur,media spokesperson  press officer
"bergie, boemelaar",zwerver,vagrant
bestuurslisensie,rijbewijs,driving licence (UK)  driver's license (US)
blokkiesraaisel,kruiswoordraadsel,crossword puzzle
bobbejaan,baviaan,baboon
bokkie,"schatje, liefje","baby, darling"
bolla,zoet broodje,bun
botsing,"botsing, aanrijding",collision
braai,barbecue,barbecue
Brittanje,Groot-Brittannië,"Britain, Great Britain"
bromponie,"bromfiets, scooter","moped, scooter"
"daardie, daai",die,"that, those"
dagga,marihuana,"marijuana, cannabis"
dankie,"dank je/u, bedankt","thank you, thanks"
deur,door,"through, door"
deurmekaar,door elkaar door mekaar dialectal,"mixed up, confused"
die,"de, het",the
duikweg,tunnel,"tunnel, underpass"
dwelms,"drugs bedwelmen means ""intoxicate""",drugs
e-pos,e-mail e-post purism,email
eiendoms beperk (Edms.) Bpk.,besloten vennootschap (BV),propriety limited  (Pty.) Ltd.
eksie-perfeksie,fantastisch,"cool, great"
ekskuus,excuus similar pronunciation,"sorry, apology"
enigiets,nog iets,anything
enigiemand,iedereen,anyone
enjin,motor,engine
gatvol,zat zijn,fed up
geskenk,"geschenk, cadeau","gift, present"
glo,geloven,believe
gogga,insect,"insect, bug"
grasperk,gazon,lawn
grondboontjie,"pinda  aardnoot, apennoot, grondnoot and olienoot are also sometimes used",peanut
grondboontjiebotter,pindakaas,peanut butter
gunsteling,favoriet gunsteling older term,favourite
haas,"konijn haas means ""hare""",rabbit
Heilsleër,Leger des Heils Heilsleger older term,Salvation Army
"hierdie, dié","dit, deze","this, these"
hoender,"kip hoen, hoender are less common ",chicken
hoekom?,hoezo? waarom?,how come? how so? why?
hoezit! (hoe is dit?),hoe gaat het? hoe is het?,how's it going?
hoërskool,voortgezet onderwijs (Netherlands)  secundair onderwijs (Belgium),"high school, secondary school"
Hollands (taal),Nederlands (taal),Dutch (language)
horlosie,horloge,watch
hospitaal,"ziekenhuis, gasthuis hospitaal mostly used in a military context",hospital
hysbak,lift,"lift, elevator"
inskrywing,"abonnement, inschrijving",subscription
jol,leukheid,"fun, party"
Julie,juli,July
Junie,juni,June
kaartjie,"kaartje, ticket",ticket
kameelperd,giraffe kameelpaard and kameelpardel considered archaic,giraffe
kampanje,campagne similar pronunciation,campaign
