Launch system,Launch system,Country of origin,Class and type,Payload capacity,Payload capacity,Payload capacity,Maiden flight,Manufacturer,Status,Ref
Launch system,Launch system,Country of origin,Class and type,LEO (Orbit),GTO,Other,Maiden flight,Manufacturer,Status,Ref
Al-Abid,Al-Abid, Iraq,Small lift expendable launch vehicle,100 kg (220 lb) to 300 kg (660 lb) (200 km (120 mi) to 500 km (310 mi),N/A,,1989,"Space Research Center, Baghdad",Abandoned,[100]
Augmented Satellite Launch Vehicle,Augmented Satellite Launch Vehicle, India,Small lift expendable launch vehicle,150 kg (330 lb) (400 km (250 mi)),N/A,,1987,ISRO,Retired,[101]
Epsilon,Epsilon, Japan,Medium lift expendable launch vehicle,"1,500 kg (3,300 lb) (250 km (160 mi)x500 km (310 mi)) 700 kg (1,500 lb) (500 km (310 mi))",,"590 kg (1,300 lb) to 500 km (310 mi) (SSO)",2013,JAXA,In service,[102]
Feng Bao 1,Feng Bao 1, China,Medium lift expendable launch vehicle,"2,500 kg (5,500 lb)",,,1972,Shanghai Bureau No.2,Retired,[103]
Geosynchronous Satellite Launch Vehicle,GSLV Mk I, India,Medium lift expendable launch vehicle,"5,000 kg (11,000 lb)","2,150 kg (4,740 lb)",,2001,ISRO,Retired,[104]
Geosynchronous Satellite Launch Vehicle,GSLV Mk II, India,Medium lift expendable launch vehicle,"5,000 kg (11,000 lb)","2,700 kg (6,000 lb)",,2010,ISRO,In service,[104]
Geosynchronous Satellite Launch Vehicle Mark III,Geosynchronous Satellite Launch Vehicle Mark III, India,Medium lift expendable launch vehicle,"10,000 kg (22,000 lb)","4,000 kg (8,800 lb)",,2014 (Suborbital) 2017 (Orbital),ISRO,In service,[105]
GX,GX, Japan  United States,Medium lift expendable launch vehicle,"3,600 kg (7,900 lb)",,"1,814 kg (3,999 lb) to 800 km (500 mi) SSO",N/A,JAXA/ULA/IHI,Cancelled,[106]
H-I,H-I, Japan  United States,Medium lift expendable launch vehicle,"3,200 kg (7,100 lb)","1,100 kg (2,400 lb)",,1986,Mitsubishi Heavy Industries/McDonnell Douglas,Retired,[107]
H-II,H-II, Japan,Medium lift expendable launch vehicle,"10,060 kg (22,180 lb)","3,930 kg (8,660 lb)",,1994,Mitsubishi Heavy Industries,Retired,[108]
H-II,H-IIA, Japan,Medium lift expendable launch vehicle,"10,000 kg (22,000 lb) to 15,000 kg (33,000 lb)","4,100 kg (9,000 lb) to 6,000 kg (13,000 lb)",,2001,Mitsubishi Heavy Industries/ATK,In service,[109]
H-II,H-IIB, Japan,Medium lift expendable launch vehicle,"16,500 kg (36,400 lb)","8,000 kg (18,000 lb)",,2009,Mitsubishi Heavy Industries,In service,[110]
H3,H3, Japan,Medium lift expendable launch vehicle,,">8,000 kg (18,000 lb)",">4,000 kg (8,800 lb) to SSO (Minimum configuration)",2020 (Planned),Mitsubishi Heavy Industries,Under development,[111]
J-I,J-I, Japan,Experimental expendable launch vehicle,-,-,"1,054 kg (2,324 lb) along 1,300 km (810 mi) downrange.",1996,NASDA/ISAS,Retired,[112]
Jielong-1,Jielong-1, China,Small lift expendable launch vehicle,,N/A,150 kg (330 lb) to 700 km (430 mi) (SSO),2019,CALT,In service,[113]
Kaituozhe,Kaituozhe-1, China,Small lift expendable launch vehicle,100 kg (220 lb),Not applicable,,2002,CASC,Retired,[114]
Kaituozhe,Kaituozhe-2, China,Small lift expendable launch vehicle,"800 kg (1,800 lb)",,,2017,CASC,In service,[115]
Kaituozhe,Kaituozhe-2A, China,Medium lift expendable launch vehicle,"2,000 km (1,200 mi)",,,Unconfirmed,CASC,Unknown,[115]
Kuaizhou,Kuaizhou 1, China,Small lift expendable launch vehicle,,N/A,430 kg (950 lb) to 500 km (310 mi) (SSO),2013,CASC,In service,[116][117]
