Asian interplanetary exploration probes,Asian interplanetary exploration probes,Asian interplanetary exploration probes,Asian interplanetary exploration probes,Asian interplanetary exploration probes,Asian interplanetary exploration probes
Mission name,Destination,Type,Year,Vehicle,Outcome
 Nozomi,Mars,Orbiter,2003, M-V,Failure
 Hayabusa,Asteroid: 25143 Itokawa,Sample return,2005-7, M-V,Success
 Akatsuki (PLANET-C),Venus,Orbiter,2010, H-IIA 202,Failure (Failed orbiter insertion)
 Akatsuki (PLANET-C),Venus,Orbiter,2015, H-IIA 202,Success
 IKAROS,Venus,Flyby,2010, H-IIA 202,Success
 Shin'en,Venus,Flyby,2010, H-IIA 202,Failure
 Yinghuo-1,Mars,Orbiter,2011, Zenit-2M,Failure
 Chang'e 2,Asteroid: 4179 Toutatis,Flyby,2012, Long March 3C,Success
 Mars Orbiter Mission,Mars,Orbiter,2013-14, PSLV-XL,Success
 Hayabusa2,Asteroid: 162173 Ryugu,Sample return,2014-20, H-IIA 202,en route
 PROCYON,Asteroid: 2000 DP107,Flyby,2016, H-IIA 202,Failure
 Mio,Mercury,Orbiter,2018-24, Ariane 5 ECA,en route
 Tianwen-1,Mars,Orbiter/Rover,2020-21, Long March 5,en route
 Hope Mars Mission,Mars,Orbiter,2020-21, H-IIA,en route
 Aditya-L1,Sun,Orbiter,2020, PSLV-XL,Planned
 DESTINY+,Asteroid: 3200 Phaethon,Flyby,2022-26, Epsilon,Planned
 Shukrayaan-1,Venus,Orbiter and aerobots,2023, GSLV MkIII,Planned
 MMX,Mars,Orbiter,2024-2025,TBD,Planned
 MMX,Phobos,Sample return,2024-2025,TBD,Planned
 Mars Orbiter Mission 2,Mars,Orbiter Lander Rover,TBD, GSLV MkII or GSLV MkIII,Planned
