Name,Primary developers,First public release,Based on,Latest stable version,Latest stable version,Cost (USD),Preferred license,Purpose,Short description
Name,Primary developers,First public release,Based on,Version,Release Date,Cost (USD),Preferred license,Purpose,Short description
FreeBSD,The FreeBSD Project,1993-12-01,"386BSD, 4.4BSD-Lite",12.1,2019-11-04[36],Free,Simplified BSD,"Server, Workstation, Network Appliance, Embedded",Aims to be usable for any purpose.
OpenBSD,The OpenBSD Project,1996-09-01,NetBSD 1.0,6.7,2020-05-19,Free,ISC,"Server, Workstation, Network Appliance, Embedded","Aims for maximum correctness in code, bringing simplicity and security."
NetBSD,The NetBSD Project,1993-05-01,"386BSD, 4.4BSD-Lite",9.0,2020-02-14,Free,Simplified BSD,"Server, Workstation, Network Appliance, Embedded",Aims for maximum portability.
DragonFly BSD,Matt Dillon,2004-07-12,FreeBSD 4.8,5.8.3,2020-09-24[37],Free,Modified BSD,"Server, Workstation, Network Appliance, Embedded",Aims for maximum scalability.
386BSD[Note 1],William and Lynne Jolitz,1992-03-01,4.3BSD Net/2,1.0,1994-11-01,Free,BSD,Open source general purpose,Historical
BSD/OS (BSD/386)[Note 1],"BSDi, Wind River Systems",1993-03-01,"4.3BSD Net/2, 4.4BSD",5.1,2003-10-01,?,Proprietary,General purpose,Historical
SunOS[Note 1][Note 2],Sun Microsystems,1982,"4.xBSD, UNIX System V[38]",4.1.4,1994-11-01,Included in hardware and support charges,Proprietary,"Server, Workstation",Historical (Solaris is a different code base)
Ultrix[Note 1],Digital Equipment Corporation,1984,"4.2BSD, SVR2",4.5,1995,?,Proprietary,General Purpose,Historical (ran on DEC VAX & MIPS systems or emulators).
RISCiX,Acorn Computers,1988,"4.3 BSD, Unix System V",1.31c,1993-09-07,Cost £1000 GBP (Approx $1400),Proprietary,Workstation,Historical (ran on Archimedes and R series Workstations)
"Tru64 UNIX (DEC OSF/1, Digital UNIX)","DEC, Compaq, HP",1993,"4.3BSD, 4.4BSD, Mach 2.5, UNIX System V",5.1B-6,2010-10-01,Cost $99 (non-commercial),Proprietary,General Purpose,Only runs on HP Alpha systems or emulators.
