BitTorrent client,GUI,Remote,CLI,Other,Programming language,Based on,IPv6,μTP
BitComet,Yes,Yes,Partial[34],No,C++,-,Yes,No
BitLord,Yes,No,No,No,"Python, C++",libtorrent (Rasterbar),Yes,No
"BitTorrent 5, Mainline",Yes,No,Partial,No,Python,-,No,No
BitTorrent 6,Yes,Yes,Partial,No,C++,μTorrent,Yes,Yes
Deluge,Yes,Yes,Yes,Daemon,"Python, C++",libtorrent (Rasterbar),Yes,Yes[35]
FlashGet,Yes,No,No,No,?,?,No,No
Free Download Manager,Yes,Yes,Partial,No,C++,libtorrent (Rasterbar),No,No
Frostwire,Yes,No,No,No,Java,libtorrent (Rasterbar),No,Yes[36]
KGet,Yes,Yes,Partial[Note 2],No,C++,-,Yes,No
KTorrent,Yes,Yes,Partial,No,C++,-,Yes,Yes[37]
LimeWire,Yes,No,No,No,Java,libtorrent (Rasterbar),No,No
Miro,Yes,No,No,No,C++,libtorrent (Rasterbar),No,No
MLDonkey,No,Third Party[38],Partial,Telnet,OCaml,-,No,No
μTorrent,Yes,Yes,No[39],RESTful Web API[40],C++[41],-,Yes[42],Yes[43]
Opera 12,Yes,No,No,No,C++,-,Yes,No
qBittorrent,Yes,Yes,Partial,No,"Python, C++",libtorrent (Rasterbar),Yes,Yes[44]
rTorrent,No,Third Party,Yes,SCGI,C++,[libTorrent] (Rakshasa),Yes[45],No
Shareaza,Yes,Yes,Partial,No,C++,-,No,No
Tixati,Yes,Yes,No,Web interface,C++,-,Yes,Yes[46]
Tonido,No,Yes,No,No,C++,libtorrent (Rasterbar),No,No
Transmission,Yes,Yes,Yes,"Daemon, JSON-RPC over HTTP remote control API","C, Objective-C",libtransmission,Yes,Yes[47]
Tribler,Yes,Partial,Partial,No,"Python, C++",libtorrent (Rasterbar),No,Yes
Vuze (formerly Azureus),Yes,Yes,Partial,"Telnet, XML over HTTP remote control API","Java, SWT",-,Yes,Yes[48]
Xunlei,Yes,No,No,remote control over internet[49],C++,-,No,No
BitTorrent client,GUI,Web,CLI,Other,Programming language,Based on,IPv6,μTP
