BitTorrent client,Magnet URI,Preload Magnet metadata [Note 3],Super-seeding,Embedded tracker,UPnP [Note 4],NAT Port Mapping Protocol,NAT traversal [Note 5],DHT [Note 6],Peer exchange,Encryption,UDP tracker,LPD,Proxy server
BitComet,Yes,No,Yes,Separate download,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"HTTP 1.1, SOCKS4-4a-5"
BitLord,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"HTTP 1.1, SOCKS4-4a-5"
"BitTorrent 5, Mainline",No,No,No,Yes[Note 7],Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
BitTorrent 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[Note 8],Yes,Yes,Yes,"HTTP(S), SOCKS4-5"
Deluge,Yes,Partial[Note 9],Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"HTTP(S), SOCKS4-5"
FlashGet,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
Free Download Manager,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No
KTorrent,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,"HTTP, SOCKS4-5"
LimeWire,Partial,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
MLDonkey,Yes[50],No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No
μTorrent,Yes,Yes[51],Yes[52],Yes[53],Yes[54],Yes,Yes[55],Yes[Note 10],Yes[Note 8],Yes[56],Yes,Yes[57],"HTTP(S), SOCKS4-5"
Opera 12,No,No,No,Yes[58],No,No,No,No,Yes[59],No,No,No,No
qBittorrent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"HTTP(S), SOCKS4-5"
rTorrent,Yes[60],No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No[61],No
Shareaza,Yes,No,No,No,Yes,Yes,No,Yes[Note 11],Yes,No,Yes[Note 12],No,No
Tixati,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,only with out going without DHT if anonymity required
Tonido,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Transmission,Yes,Patch available[62][63][64],No,No,Yes,Yes,No[65],Yes,Yes[Note 13],Yes,Yes,Yes,No[66]
Tribler,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Uses P2P onion routing to provide anonymity.
Vuze (formerly Azureus),Yes,Yes,Yes,Yes,Yes,Yes,Yes[Note 14],Yes[Note 15],Yes,Yes,Yes,Plugin,"HTTP(S)?, SOCKS4-4a-5"
Xunlei,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"HTTP, SOCKS5, FTP"
BitTorrent client,Magnet URI,Preload Magnet metadata,Super-seeding,Embedded tracker,UPnP,NAT Port Mapping Protocol,NAT traversal,DHT,Peer exchange,Encryption,UDP tracker,LPD,Proxy server
