Name,Creator,Platform / OS,BPMN Version,Features,Features,Features,Features,Diagramme example,First Release,Latest Release,Software license
,,,,Model processes,Execute processes,Monitor processes,Other,,,,
Activiti,"Alfresco Software, Inc. and the Activiti developer community",Cross-platform (Java-based and SaaS),BPMN 2.0,Y,Y,Y,"Modeler, Simulation, Execution. Data elements are not supported. Limited supported formats (read/saved internally in BPMN format without exporting capabilities).",,2010-05-17[1],2016-01-29[2],Apache License 2.0[3]
ActiveVOS,Informatica,Cross-platform (Java-based),BPMN 2.0,Y,Y,Y,,,2005,2014,Proprietary
ADONIS (software),BOC Information Technologies Consulting AG,Windows,BPMN 2.0,Y,Y,Y,,,1995,2015,Proprietary / Freeware (requires registration)
Alfresco Process Services,"Alfreso Software, Inc.",Cross-platform (Java-based and SaaS),BPMN 2.0,Y,Y,Y,,,2017,2018-06-14,"Subscription. Price based on number of users,  computing power and support levels."
ARIS Express,Software AG,"Windows (and Linux, Mac unofficially)",BPMN 2.0,Y,,,,,2009-07-28,2017-06-29,Freeware (registration needed)
BiZZdesign Architect,BiZZdesign,Windows,BPMN 2.0,Y,Y,Y,"Integrate with ArchiMate, User collaboration, Support for Collaboration diagrams, BPMN 2.0 XML Export & Import,",,2012,2014,Proprietary
Bonita BPM,Bonitasoft,"Windows, Linux, Mac",BPMN 2.0,Y,Y,,"Supports several formats (read: BPMN, jBPM, Bonita, XPDL; write: Bonita, BPMN2, PNG, JPG, GIF, PDF, BMP, SVG).",,2001,2019-10-24[4],GNU GPL[5]
Borland Together,Borland,"Windows, Linux, Mac, Solaris",,,,,,,,2009-07-04,Proprietary/Shareware
Edraw Max,EdrawSoft,Cross-platform,BPMN 2.0,Y,Y,Y,,,2010,2015,Proprietary
Enterprise Architect,Sparx Systems,"Windows, Linux, Mac",BPMN 2.0,Y,Y,Y,,,2000,2019-01,Proprietary[6]
Flowable Modeler,Flowable and the Flowable community,Cross-platform,BPMN 2.0,Y,Y,Y,,  Flowable BPMN model snippet,2017-10-13[7],2018-05-22[8],Apache License 2.0[9]
IBM BlueWorks Live,IBM,Cloud (browser based),BPMN 2.0,Y,,,,,,,Proprietary
IBM Rational System Architect,IBM,Enterprise Architecture tool,BPMN 2.0+,Y,,,,,,"2014, September",Proprietary
Imixs-BPMN,Imixs,Cross-platform,BPMN 2.0,Y,Y,,,,2015,2017[10],GNU GPL
jBPM,Red Hat,Cross-platform,BPMN 2.0,Y,Y,,,,,2019-11-27,Apache License 2.0
LucidChart,Lucid Software Inc,Cross-platform (browser based),BPMN 2.0,Y,,,,,2011,updated twice a month,Proprietary - 14-day free trial on team accounts / Free professional accounts for educators and students / Free version
MagicDraw,No Magic,"Windows, Linux, Mac",BPMN 2.0,Y,,,,,2007-09-24,2014-06-02,Proprietary/Shareware
Microsoft Visio 2013,Microsoft,Windows,BPMN 2.0,Y,,,"Read: MS Visio.
 
Write: MS Visio, EMF, PDF.",,,2013,Proprietary
Modelio,Modeliosoft (SOFTEAM Group),"Windows, Linux, Mac",BPMN 2.0,Y,,,"Includes BPMN, UML, ArchiMate SysML, Java round trip code generation, documentation, TOGAF, XSD, WSDL.",,2009,2019-04-17[11],GNU GPL[12]
OmniGraffle,Omni Group,Mac,,Y,,,,,,2010,Proprietary
Software Ideas Modeler,Dusan Rodina,"Windows, Linux",BPMN 2.0,Y,,,,,2009-Aug,2017-Jan,Proprietary
SYDLE SEED Community,SYDLE Systems,Cloud (browser based),,Y,Y,,,,2012-07,2012-07,Freeware
yEd,yWorks,"Windows, Mac, Linux/Unix",BPMN 2.0,Y,,,,,,2013-03,Freeware
Name,Creator,Platform / OS,BPMN Version,,,Features,,,First Release,Latest Release,Software license
