Zhuyin,Wade- Giles,MPS II,Yale,Tong- yong,Hanyu Pinyin,Gwoyeu Romatzyh,Gwoyeu Romatzyh,Gwoyeu Romatzyh,Gwoyeu Romatzyh,IPA
Zhuyin,Wade- Giles,MPS II,Yale,Tong- yong,Hanyu Pinyin,Tone 1,Tone 2,Tone 3,Tone 4,IPA
ㄚ,a,a,a,a,a,a,ar,aa,ah,a
ㄞ,ai,ai,ai,ai,ai,ai,air,ae,ay,ai
ㄢ,an,an,an,an,an,an,arn,aan,ann,an
ㄤ,ang,ang,ang,ang,ang,ang,arng,aang,anq,aŋ
ㄠ,ao,au,au,ao,ao,au,aur,ao,aw,au
ㄓㄚ,cha,ja,ja,jha,zha,ja,jar,jaa,jah,ʈʂa
ㄔㄚ,chʻa,cha,cha,cha,cha,cha,char,chaa,chah,ʈʂʰa
ㄓㄞ,chai,jai,jai,jhai,zhai,jai,jair,jae,jay,ʈʂai
ㄔㄞ,chʻai,chai,chai,chai,chai,chai,chair,chae,chay,ʈʂʰai
ㄓㄢ,chan,jan,jan,jhan,zhan,jan,jarn,jaan,jann,ʈʂan
ㄔㄢ,chʻan,chan,chan,chan,chan,chan,charn,chaan,chann,ʈʂʰan
ㄓㄤ,chang,jang,jang,jhang,zhang,jang,jarng,jaang,janq,ʈʂaŋ
ㄔㄤ,chʻang,chang,chang,chang,chang,chang,charng,chaang,chanq,ʈʂʰaŋ
ㄓㄠ,chao,jau,jau,jhao,zhao,jau,jaur,jao,jaw,ʈʂau
ㄔㄠ,chʻao,chau,chau,chao,chao,chau,chaur,chao,chaw,ʈʂʰau
ㄓㄜ,chê,je,je,jhe,zhe,je,jer,jee,jeh,ʈʂɤ
ㄔㄜ,chʻê,che,che,che,che,che,cher,chee,cheh,ʈʂʰɤ
ㄓㄟ,chei,jei,jei,jhei,zhei,jei,jeir,jeei,jey,ʈʂei
ㄓㄣ,chên,jen,jen,jhen,zhen,jen,jern,jeen,jenn,ʈʂən
ㄔㄣ,chʻên,chen,chen,chen,chen,chen,chern,cheen,chenn,ʈʂʰən
ㄓㄥ,chêng,jeng,jeng,jheng,zheng,jeng,jerng,jeeng,jenq,ʈʂəŋ
ㄔㄥ,chʻêng,cheng,cheng,cheng,cheng,cheng,cherng,cheeng,chenq,ʈʂʰəŋ
ㄐㄧ,chi,ji,ji,ji,ji,ji,jyi,jii,jih,tɕi
ㄑㄧ,chʻi,chi,chi,ci,qi,chi,chyi,chii,chih,tɕʰi
ㄐㄧㄚ,chia,jia,jya,jia,jia,jia,jya,jea,jiah,tɕia
ㄑㄧㄚ,chʻia,chia,chya,cia,qia,chia,chya,chea,chiah,tɕʰia
ㄐㄧㄤ,chiang,jiang,jyang,jiang,jiang,jiang,jyang,jeang,jianq,tɕiaŋ
ㄑㄧㄤ,chʻiang,chiang,chyang,ciang,qiang,chiang,chyang,cheang,chianq,tɕʰiaŋ
ㄐㄧㄠ,chiao,jiau,jyau,jiao,jiao,jiau,jyau,jeau,jiaw,tɕiau
ㄑㄧㄠ,chʻiao,chiau,chyau,ciao,qiao,chiau,chyau,cheau,chiaw,tɕʰiau
ㄐㄧㄝ,chieh,jie,jye,jie,jie,jie,jye,jiee,jieh,tɕie
ㄑㄧㄝ,chʻieh,chie,chye,cie,qie,chie,chye,chiee,chieh,tɕʰie
ㄐㄧㄢ,chien,jian,jyan,jian,jian,jian,jyan,jean,jiann,tɕiɛn
ㄑㄧㄢ,chʻien,chian,chyan,cian,qian,chian,chyan,chean,chiann,tɕʰiɛn
ㄓ,chih,jr,jr,jhih,zhi,jy,jyr,jyy,jyh,ʈʂɨ
ㄔ,chʻih,chr,chr,chih,chi,chy,chyr,chyy,chyh,ʈʂʰɨ
ㄐㄧㄣ,chin,jin,jin,jin,jin,jin,jyn,jiin,jinn,tɕin
ㄑㄧㄣ,chʻin,chin,chin,cin,qin,chin,chyn,chiin,chinn,tɕʰin
ㄐㄧㄥ,ching,jing,jing,jing,jing,jing,jyng,jiing,jinq,tɕiŋ
ㄑㄧㄥ,chʻing,ching,ching,cing,qing,ching,chyng,chiing,chinq,tɕʰiŋ
ㄐㄧㄡ,chiu,jiou,jyou,jiou,jiu,jiou,jyou,jeou,jiow,tɕiou
ㄑㄧㄡ,chʻiu,chiou,chyou,ciou,qiu,chiou,chyou,cheou,chiow,tɕʰiou
ㄐㄩㄥ,chiung,jiung,jyung,jyong,jiong,jiong,jyong,jeong,jionq,tɕiʊŋ
