Application and developer,Latest version/release + date,Schematic?,Simulation?,PCB editing?,Runs on POSIX style systems?,Runs on Windows?,Other platforms?,Open  source?,User Interface Language(s),Imports,Exports,Scripting support
Active-HDL by Aldec,10.3 16 March 2016 (4 years ago) (2016-03-16),Yes,Yes,No,No,Yes,No,No,en,"EDIF, Viewlogic, more","PDF, HTML, Verilog, VHDL, EDIF, Zuken, more"
Advanced Design System by Keysight EEsof EDA,2019 15 November 2018 (23 months ago) (2018-11-15)[1],Yes,Yes,Yes,Yes[2],Yes[2],"SuSE, RHEL[2]",No,en,"HSPICE, SPICE, Spectre netlists; Gerber, Excellon, ODB++, artwork; more","HSPICE, SPICE, Spectre netlists; Gerber, Excellon, ODB++, artwork; more","Python, Application Extension Language (proprietary; ""AEL"")"
Altium Designer (former Protel) by Altium,20.0.11 28 January 2020 (9 months ago) (2020-01-28),Yes,Yes,Yes,No,Yes,Wine,No,Multilingual,"OrCAD, Allegro, PADS Logic, PADS PCB, Expedition, DxDesigner, EAGLE, P-CAD, Gerber, STEP, Solidworks, IDF, more","3D PDF, Gerber, Gerber X2, Excellon, ODB++, DXF, STEP, OrCAD, EAGLE, more","Delphi, JS, VB"
"CADSTAR, Board Designer, and Visula by Zuken",2019.0.0.1 18 November 2019 (11 months ago) (2019-11-18),Yes,"Yes, SI & PI",Yes,No,Yes,No,No,en,"PADS, OrCAD, P-CAD, Protel, DXF, IDF","PDF, Gerber, Excellon, ODB++, DXF, IDF more","COM, macros"
CircuitLogix by Logic Design Inc.,Release 10 January 2019 (1 year ago) (2019-01),Yes,Yes,Yes,No,Yes,No,No,en,"SPICE, Gerber, DXF","SPICE, PDF, Gerber, DXF",
CircuitMaker by Altium,1.3.0.119 August 2016 (4 years ago) (2016-08),Yes,No,Yes,No,Yes,Wine,No,en,"AD09, AD10, AD12, PADS, P-CAD, OrCAD, Protel, EAGLE, DXF","Gerber, Excellon, DXF, STEP, more",
CR-5000 by Zuken,13 17 May 2011 (9 years ago) (2011-05-17),Yes,"Yes, SI & PI",Yes,Yes,Yes,"Unix, Linux",No,"en, jp","EDIF, DXF, IGES, IDF, BSDL, STEP, ACIS, Gerber, Excellon, more","PDF, Gerber, Excellon, ODB++ (must request[3]), DXF, STEP, IPC D-356, IPC-2581, EPS, ACIS",
CR-8000 by Zuken,2020 30 June 2020 (4 months ago) (2020-06-30),Yes,"Yes, SI & PI, IBIS-AMI/SERDES",Yes,Yes,Yes,"Unix, Linux",No,"en, jp","EDIF, DXF, IGES, IDF, BSDL, STEP, ACIS, Gerber, Excellon, more","PDF, Gerber, Excellon, ODB++ (must request[3]), DXF, STEP, IPC D-356, IPC-2581, EPS, ACIS",
DesignSpark PCB by RS Components,9.0.3 8 July 2020 (3 months ago) (2020-07-08),Yes,"Yes, Spice",Yes,No,Yes,No,No,en,"EAGLE, DXF, EDIF","Gerber, Excellon, ODB++, DXF, IDF, PDF, LPKF",
DesignSpark PCB Pro by RS Components,9.0.3 8 July 2020 (3 months ago) (2020-07-08),Yes,"Yes, Spice",Yes,No,Yes,No,No,en,"EAGLE, OrCAD, Easy-PC, NI Ultiboard, BoardMaker, DXF, PNL, EDIF","Gerber, Excellon, ODB++, DXF, IDF, PDF, LPKF",
