Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1]
ALFTP,ESTsoft,2000,"5.31 February 1, 2012; 8 years ago (2012-02-01)",Proprietary,?
ExpanDrive (Mac),"ExpanDrive, Inc",2008,"
macOS: 7.6.0 (September 29, 2020; 31 days ago (2020-09-29)[7]) [±]
Windows: 7.6.0 (September 29, 2020; 31 days ago (2020-09-29)[8]) [±]
Linux: 7.6.0 (September 29, 2020; 31 days ago (2020-09-29)[9]) [±]",Proprietary,Yes
ExpanDrive (Windows) (formerly SFTPDrive),"ExpanDrive, Inc",2005,"
macOS: 7.6.0 (September 29, 2020; 31 days ago (2020-09-29)[10]) [±]
Windows: 7.6.0 (September 29, 2020; 31 days ago (2020-09-29)[11]) [±]
Linux: 7.6.0 (September 29, 2020; 31 days ago (2020-09-29)[12]) [±]",Proprietary,Yes
ForkLift,"BinaryNights, LLC",2007,"3.4.2  August 26, 2020; 2 months ago (2020-08-26)",Proprietary,Yes
FTP Commander,Internetsoft Corporation,1997,"9.21  November 8, 2010; 9 years ago (2010-11-08)",Proprietary,Yes
FTP Explorer,FTPx Corp.,"October, 1996",1.0.1.53; January 2012,Proprietary,?
Interarchy,Nolobe Software Pty Ltd,1993 (as Anarchie),"10.0.6 August 18, 2014; 6 years ago (2014-08-18)",Proprietary,Yes
Steed,"French Fry, SAS",2012,"1.2.1.1169 June 27, 2017; 3 years ago (2017-06-27)",Proprietary,Yes
Transmit,"Panic, Inc.",1998,"5.6.4  April 20, 2020; 6 months ago (2020-04-20)",Proprietary,Yes
WISE-FTP,AceBIT,1998,"7.0 (Build 7.0.4) March 16, 2012; 8 years ago (2012-03-16)",Proprietary,?
edtFTPj,Bruce P. Blackshaw,2000,"2.3.0 August 26, 2011; 9 years ago (2011-08-26)",Proprietary,Yes,Java JAR file
edtFTPnet,Bruce P. Blackshaw,2003,"2.2.1 August 26, 2011; 9 years ago (2011-08-26)",Proprietary,Yes,Windows DLL
