Client,Primary developers,Distribution model,Software license,User interface,Programming language
AdiIRC[1],Per Amundsen,Freeware,Proprietary,GUI,.NET Framework/C#
Adium,Thijs Alkemade,Free software,GPL,GUI,Objective-C and C
Ambassador[2],Isengrim,Free software,MPL,GUI[Note 1],"JavaScript, XUL"
AndroIRC[3],Madalynn,Freeware,Proprietary,GUI,?
Bersirc[4],"Jamie Frater, Nicholas Copeland",Free software,LGPL,GUI,C (Delphi originally)
BitchX,Colten Edwards,Free software,BSD,"TUI, GUI",C
ChatZilla,"James Ross, Robert Ginda, Samuel Sieb, Gijs Kruitbosch",Free software,"MPL, GPL, LGPL tri-license",GUI[Note 2],"JavaScript, XUL"
Colloquy,"Timothy Hatcher, Kiji Roshi","Desktop: Free software, mobile: commercial","BSD: mobile, GPL: desktop",GUI,Objective-C
ERC,"Alexander L. Belikoff, Sergey Berezin",Free software,GPL,"TUI, GUI",Emacs Lisp
F-IRC,Folkert van Heusden,Free software,GPL,TUI,C++
GrumpyChat[5],Petr Bena,Free software,LGPL,GUI,C++
HexChat[6],Berke Viktor,"Shareware, 30-day trial (XChat on Windows);[7] free software",GPL,"TUI, GUI",C
IceChat[8][9],Paul Vanderzee,Free software,GPL,GUI,C# (Visual Basic until 2004)[10]
Igloo[11],Jordan Koch,Commercial,Proprietary,GUI,Swift
Instantbird,Florian Quèze,Free software,GPL,GUI,"C/C++, JavaScript, CSS, XUL"
IRCCloud[12],IRCCloud Ltd.,Freemium,Proprietary,Web,"JavaScript frontend, Erlang backend"
ircII,Michael Sandrof,Free software,BSD,TUI,C
Ircle,Onno Tijdgat,"Commercial, 30-day trial",Proprietary,GUI,C
Irssi,Timo Sirainen,Free software,GPL,TUI,C
Kiwi IRC,Darren Whitlen,Free software,AGPL,Web,"JavaScript frontend, Node.js backend"
kirc,Michael Czigler,Free software,GPL,TUI,C
KVIrc,Szymon Stefanek,Free software,GPL,GUI,C++
Konversation,KDE,Free software,GPL,GUI,C++
LeafChat[13],Samuel Marshall,Free software,GPL,GUI,Java
LimeChat[14][15][16],Satoshi Nakagawa,Free software,GPL[17],GUI,RubyCocoa (2007–2010)[16][17] Objective-C (2010–)[18]
Linkinus,Conceited Software,"Commercial, 15-day trial",Proprietary,GUI,Objective-C
Mibbit,Jimmy Moore,Textual Adbar,Proprietary,Web,"JavaScript frontend, Java backend"
mIRC,Khaled Mardam-Bey,"Shareware, 30-day trial[19]",Proprietary,GUI,C/C++[20]
Monochrome[21],Peter Pawlowski,Freeware,GPLv2,GUI,C#
Nettalk,Nicolas Kruse,Freeware,Apache 2.0,GUI,Visual Basic
Opera (until version 12.xx) [Note 3],,Freeware,Proprietary,GUI[Note 4],C++
Pidgin,,Free software,GPL,GUI,C
PIRCH,,Shareware,Proprietary,GUI,Delphi
PJIRC,Philippe Detournay,Free software,GPL,GUI,Java
Quassel,"Manuel Nickschas, Marcus Eggenberger, Alexander von Renteln",Free software,GPL,"TUI[Note 5], GUI[Note 6]",C++
qwebirc,Chris Porter,Free software,GPL,Web,"JavaScript front end, Python backend"
rcirc,Ryan Yeske,Free software,GPL,TUI,Emacs Lisp
Smuxi,Mirco Bauer,Free software,GPL,"GUI, TUI, server[Note 6]",C#
Snak,Kent Sorensen,Commercial,Proprietary,GUI,?
Thunderbird,Mozilla Foundation,Free software,MPL 2.0,GUI,"C, C++, JavaScript"
Visual IRC,Jesse McGrew,Free software,GPL,GUI,Delphi
WeeChat,Sebastien Helleu,Free software,GPL,"TUI, GUI[Note 7]",C
Client,Primary developers,Distribution model,Software license,User interface,Programming language
