Library Name,License,Free,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Other Features,Interactivity,Interactivity,Rendering Technologies,Rendering Technologies,Rendering Technologies,Databinding,HTML 5 Canvas
Library Name,License,Free,Line,Timeline,Scatter,Area,Pie,Donut,Bullet,Radar,Funnel,Gantt,Network,Grouped,Mind Mapping,Stacked,Negative,Discrete,Horizontal,3D,Legends,Mouse Over,onClick,HTML5 Canvas,SVG,VML,AxisXY,WebGL rendering
amCharts,Proprietary,Free with a link [1] or commercial[2],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes[3],Yes,,
AnyChart,Proprietary,Free for education and non-profit use.[4] Paid for commercial applications.[5],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,
ApexCharts,MIT[6],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,No,,
billboard.js,MIT[7],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,No,Yes,
C3.js,MIT[8],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,No,Yes,
CanvasJS,Proprietary[9],"Free for Personal, Educational and Non-Commercial Uses",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes[10],No,No,Yes,
canvasXpress,"GPLv3, name/email required for source link[11]",Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,,Yes,No,No,Yes,,Yes,Yes,Yes,Yes[12],No,Yes[13],,
Chartist,WTFPL[14] or MIT[15],Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,Yes,,No,Yes,Yes,No,Yes,No,,
Chart.js,MIT[16],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,No,
Chart Builder By Livegap,Free,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,No[17],No,,
