,AngularJS,Apache Royale,Dojo,Ember.js,Enyo,Ext JS,Google Web Toolkit,jQuery,jQWidgets,MooTools,OpenUI5,Prototype & script. aculo.us[10],qooxdoo,SproutCore,Svelte,Vue,Wakanda,ZK,Webix
Feature detection[12],Yes,,Yes[13],Yes,,Yes[14],No[15][16],Yes[17],Yes,Yes[18],,No[19],Yes,Yes,,,Partial,No,Yes
DOM wrapped[20],Yes,,Yes,No,Yes,Yes,Yes,Yes,,No[21],,No[22][23],Yes,No,,,Yes,Yes,Yes
XMLHttpRequest data retrieval,Yes,Yes,Yes[24],,Yes,Yes,Yes,Yes,Yes[25],Yes[26],Yes,Yes,Yes,Yes,,,Yes,,Yes
WebSocket,,,Yes[24],,Yes,Yes,Yes,Yes,No,Yes[26],Yes[27],Yes,Yes,Via Plugin,,,Yes,,Yes[28]
Server push data retrieval,,,Yes[29],,,Yes[30],Yes[31],Yes[29],No,,,,,Via Plugin,,,,Yes[32],Yes
Other data retrieval,,"Yes: XML, HTML, CSV, ATOM, AMF, JSON","Yes: XML, HTML, CSV, ATOM[33]",,,"Yes: XML, SOAP, AMF, Ext.Direct","Yes: RPC, RequestFactory","Yes: XML, HTML","Yes: XML, JSON, CSV, TSV[25]","Yes: XML, HTML",,,,,,,"Yes: JSON-RPC, Wakanda REST",,"Yes:  XML, HTML, CS, JSON, JSArray, CSV"
Drag and drop,,Yes,Yes[34],,,Yes,With plugin[35],With plugins[36],Yes[37],Yes[38],Yes[39],Yes,Yes,Yes,,,Yes,Yes,Yes[40]
Simple visual effects,Yes,Yes,Yes[41],,Yes,Yes,Yes,Yes,Yes,Yes[42],Yes,Yes,Yes,Yes[43],,,Yes,Yes,Yes
Animation /  advanced visual effects,Yes,,Yes[44],,Yes[45],Yes,Yes,Yes,Yes,Yes[46],,Yes,Yes,Yes[43],,,Yes,Yes,Yes[47]
Back button support /  history management,,,Yes[48],Yes,Yes[49],Yes[50],Yes,With plugins[51],No,With plugin[52],,Yes,Yes,Yes,,,,Yes,Yes
Input form widgets & validation,Yes,Yes,Yes[53],,Yes,Yes,"Yes, Validation requires plugin[54]",With plugins[55],Yes[56],Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes [57][58]
,AngularJS,Apache Royale,Dojo,Ember.js,Enyo,ExtJS,Google Web Toolkit,jQuery,jQWidgets,MooTools,OpenUI5,Prototype & script. aculo.us[10],qooxdoo,SproutCore,Svelte,Vue,Wakanda,ZK,Webix
Grid,,Yes,Yes[59],,,Yes,Yes,With plugins[60],Yes[61],With plugin[62],Yes,,Yes,Yes,,,Yes[63],Yes,Yes[64]
Hierarchical Tree,,Yes,Yes[65],,Yes[66],Yes[67],Yes,With plugins[68],Yes[69],With plugins[70],Yes,,Yes[71],Yes,,,Yes (Auto Form)[72],Yes,Yes [73]
Rich text editor,No,Yes,Yes[74],,,Yes[75],Yes,With plugins[76],Yes[77],Yes[78],,,Yes,Via plugin,,,Yes[79],Yes,Yes[80]
Autocompletion tools,No,,Yes[81],,,Yes,Yes,Yes[82],Yes[83],With plugin[84],,Yes,,With plugins,,,Yes[85],Yes,Yes
HTML generation tools,No,,Yes[86],,,Yes,Yes,Yes,Yes[77],Yes[87],,Yes,Yes,Yes,,,No,Yes,Yes
Widgets themeable / skinnable,,Yes,Yes[88],,Yes,Yes[89],Yes[90],Yes[91],,Yes,Yes,Yes,,Yes,,,,Yes,Yes
GUI resizable panels and modal dialogs,,Yes,Yes,,Yes,Yes[92],Yes,With plugins,Yes[93],Yes[94],,,Yes,Yes,,,Yes[95],Yes[96],Yes
GUI page layout,,,Yes,,,Yes,Yes,With plugin[97],Yes[98][99],Yes[94],,,Yes,Yes,,,Yes[100],Yes[96],Yes [101]
Canvas support,,Yes,Yes[102],,Yes,Yes,Yes,With plugin[103],Yes[104],Yes[105],,,Yes,Yes,,,Yes[106],Yes[107],Yes
Mobile/tablet support (touch events),Yes,Yes,Yes[108],Yes,Yes,Yes,With plugin[109],With plugin[110],Yes[111],With plugin[112],Yes,,Yes,Yes,,,Yes[113][114],Yes[115],Yes[116]
Accessibility /  graceful degradation[117],Yes,,Yes[118],No,Yes,Yes[119],Yes[120],Yes,Yes[121],Yes,,,No[122],Degradation: No Accessibility: Yes,,,,Yes,Yes[123]
ARIA compliant,,,Yes[118],,,Yes[119],,Yes[124],Yes[121],,Yes,,No,Yes,,,,Yes,Yes [125]
"Developer tools, Visual design",,,Yes[126][127],,in progress[128],Yes[129][130][131],Yes,Yes[132][133],Yes[134][135][136],Yes[137][138],,,Yes[139],No,,,Yes[140],Yes,Yes[141][142]
Offline storage[143],,Yes,No[144],,Yes,Yes[145],Via Google Gears[146],With plugin[147],Yes[148],,,,Yes,Yes,,,planned,Yes,Yes
Cross-browser 2d Vector Graphics[149],,,Yes[150],,,Yes,,With plugin[151],Yes[104],Yes[152],,,,No],,,Yes (via Raphael),Yes[107],Yes (via Raphael)[153]
Charting & Dashboard[154],,Yes,Yes[155],,,Yes[156],,With plugin[157][158],Yes[159][160],,,,,No,,,Yes[161],Yes[162],Yes[163]
RTL Support in UI Components,,Yes,Yes,,,Yes,,Depends on the plugin used,Yes[121],,Yes,,,Yes,,,,,No
