Framework,Internet Explorer,Mozilla Firefox,Safari,Opera,Chrome,Edge
AngularJS (1.3),8+ (9+),4+,5+,11+,30+,
Apache Royale,9 (Edge --> 10),21,6,15,23,
Dojo,6+,3+[164],4[164],10.50+[164],3[164],
Ember.js,6+,3+,4+,10.6+,14+,
Enyo,8+[165],>4[165],>5[165],,>10[165],
Ext JS,8+,45+,11+,43+,64+[166],
Google Web Toolkit,8+,1+,5+,9+,1+,
jQuery (3.x),6+ (9+)[167],2+[167],3+[167],9+[167],1+[167],
jQWidgets,7+[168],2+[168],3+[168],9+[168],1+[168],
MooTools,6+,2+,3+,9+,1+,
Prototype & script. aculo.us[10],6+,1.5+,2.0.4+,9.25+,1+ (starting with 1.6.1RC3),
qooxdoo,6+,2+,3+,9+,2+,
SproutCore,6+,3+,4+,9+,1+,
Svelte,,21+,6+,15+,23+,12+
Vue,10+,21+,6+,15+,23+,12+
Wakanda,9+,4+,5+,,11+,
ZK,6+,2.0+,3+,9+,2+,
Webix,8+[169],3+[169],4+[169],9+[169],1+[169],
