Distribution,Default Linux kernel,Default file system,Default init system,Install-time desktop environment or window manager selection,Reproducible builds
Alpine Linux,Binary blobs,ext4,openrc,none,In progress[81]
ALT Linux,Binary blobs,ext3,systemd,"KDE Plasma Workspaces, Xfce",No
Arch Linux,Binary blobs[82],none[83],systemd,none,In progress[84][85]
BLAG,Linux-libre,ext3,sysvinit,GNOME,No
Bodhi Linux,Binary blobs,ext4,systemd,Moksha (Enlightenment fork),No
Canaima,Binary blobs[82],?,systemd,Cinnamon and MATE,No
CentOS,Binary blobs[82],xfs,systemd,GNOME,No
Chakra,Binary blobs,ext4,systemd,KDE Plasma Workspaces,No
ClearOS,Binary blobs,ext3,systemd,none (Web based),No
CoreOS,Binary blobs,ext4,systemd,None,No
CrunchBang Linux,Binary blobs,ext4,sysvinit,Openbox,No
Damn Small Linux,Binary blobs,ext3,sysvinit,JWM,No
Debian,"By default Linux-libre, but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally.[82] Built with Linux-libre tools.[86]",ext4,systemd,"GNOME, KDE, Xfce, LXDE[87]",In progress[88][89]
Devuan,Binary blobs,ext4,sysvinit,Xfce,No
Dragora GNU/Linux-Libre,Linux-libre,ext4,runit,Xfce,No
dyne:bolic,Linux-libre,?,systemd,GNOME,No
Fedora,Binary blobs,ext4,systemd,"GNOME (default Workstation Edition), Spins for: KDE Plasma Workspaces, Xfce, LXDE, MATE (with Compiz), Cinnamon, Sugar on a Stick",In progress[90]
Funtoo,Binary blobs,none,openrc,None,No
Gentoo,Binary blobs,none,openrc,"Awesome, Enlightenment, Fluxbox, GNOME, KDE, LXDE-Meta, Openbox, XBMC and Xfce (live DVD)[91]",No
gNewSense,"Debian Linux kernel, and (unlike Debian) blobs cannot be installed[86]",ext3,sysvinit,GNOME,No
Guix System,"Linux-libre, Hurd (in progress)[92]","btrfs, ext4",GNU Shepherd,"GNOME, Xfce, Mate, Enlightenment, i3, ratpoison, xmonad",In progress[93][94]
Hyperbola GNU/Linux-libre,Linux-libre,none,openrc[95],none,No
Kali Linux,Binary blobs,ext3,systemd,GNOME,No
Knoppix,Binary blobs,xfs,microknoppix,LXDE,No
LibreCMC[96],Binary blobs,ext4,busybox-init,none,No
Linux Mint[97],Binary blobs[82],ext4,systemd,"MATE, Cinnamon, KDE 4, XFCE",No
Mageia,Binary blobs,ext4,systemd,"KDE Plasma Workspaces, GNOME",No
Mandriva Linux,Binary blobs,ext4,systemd,KDE Plasma Workspaces,No
Manjaro Linux,Binary blobs,none[98],systemd,"Xfce, KDE, GNOME [99]",No
MEPIS,Binary blobs,"ext3, ext4",sysvinit,KDE Plasma Workspaces,No
Musix GNU+Linux[100],Linux-libre,ext4,initscripts,LXDE,No
OpenELEC,Binary blobs,SquashFS,shell script,XBMC Media Center,No
openSUSE,Binary blobs,btrfs,systemd,"KDE Plasma Workspaces, GNOME, Xfce",In progress[101]
OpenWrt,Binary blobs,overlayfs+SquashFS/JFFS2[102],procd[103],none,In progress[104]
Parabola GNU/Linux-libre,Linux-libre,none,openrc or systemd,none,No
Pardus,Binary blobs,ext4,systemd,KDE Plasma Workspaces,No
Parsix,Binary blobs,ext4,systemd,GNOME,No
PCLinuxOS,Binary blobs,none,sysvinit,"KDE Plasma Workspaces, GNOME, LXDE, Xfce, Enlightenment, Openbox",No
Pentoo,Binary blobs,SquashFS,openrc,Enlightenment,No
Porteus,Binary blobs,"Squashfs, ext2, ext3, ext4, FAT32, reiser, xfs",sysvinit,"KDE, LXDE, Xfce, Openbox, Razor-qt",No
Puppy Linux,Binary blobs,SquashFS containing ext2,busybox-init,JWM,No
Red Hat Enterprise Linux,Binary blobs,xfs,systemd,GNOME,No
Rxart Desktop,Binary blobs,ext3,?,KDE Plasma Workspaces,No
Sabayon Linux,Binary blobs,ext4[105],systemd,"KDE Plasma Workspaces, GNOME",No
Scientific Linux,Binary blobs,ext4,"sysvinit, systemd[106]",GNOME,No
