Distribution,x86,x86-64,arm,ia64,ppc[112],ppc64,sparc32,sparc64,hppa[113],loongson,mips[114],sh,s390,s390x,alpha[115],m68k[116],riscv
Alpine Linux,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
Arch Linux,Unofficial[117] Official discontinued 2017-11-08[118],Yes,Unofficial[119],No,Discontinued unofficial port,No,No,No,No,Discontinued. Unofficial port[120],No,No,No,No,No,No,No
BackTrack,Discontinued from BackTrack 5 and superseded by Kali Linux[121],Discontinued from BackTrack 5 and superseded by Kali Linux,Discontinued from BackTrack 5 and superseded by Kali Linux,No,No,No,No,No,No,No,No,No,No,No,No,No,No
BLAG,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bodhi Linux,Yes,Yes,Discontinued 2013-10-23[122],No,No,No,No,No,No,No,No,No,No,No,No,No,No
BOSS Linux,Yes,Yes,?,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
CentOS,AltArch,Yes,AltArch,Discontinued 3.5-3.8 4.1-4.7[123],"Beta, Discontinued 4.0",AltArch,Beta 4.2[123][124],No,No,No,No,No,Discontinued 3.5-3.8 4.1-4.7[123][125],Discontinued 3.5-3.8 4.1-4.7[123][125],Discontinued 4.2-4.3[123][126][127],No,No
Chakra,No,Yes,?,No,No,No,No,No,No,No,No,No,No,No,No,No,No
CRUX,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Debian[128],Yes,Yes 4.0+,Yes 2.2+,Discontinued 3.0-7.0[129],Discontinued 2.2-8,Yes,Discontinued 2.1-4.0[130],Discontinued -7[131],Discontinued 3.0-5.0,Yes,Yes 3.0+,In progress,Discontinued 3.0-7,Yes 7+,Discontinued 2.1-5.0,Discontinued 2.0-3.1,In progress[132]
Devuan,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dragora GNU/Linux-Libre,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
dyne:bolic,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Fedora[133],Discontinued from Fedora 30 ,Yes,Yes[134],Discontinued from Fedora 9 [135],Discontinued from Fedora 17 ,Yes,No,Inactive from Fedora 12[136],No,In progress,Inactive from Fedora 13 [137],No,No,Yes,No,No,In progress[138]
