Name,Gui,Logging,Mapper,Multiplaying,Scrollback,Spell checker,Tab completion,Telnet triggers,Timers,Triggers,Redirection,Regex
Axmud,Custom,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
BeipMU,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,WSH,Yes
Blightmud,VT102,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
CMUD,Custom,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,WSH,Yes
Mud Gangster,Custom,Plugin,No,No,Yes,No,No,Yes,Yes,Yes,No,Lua patterns
Mudlet,Custom,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
MUSHclient,Custom,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,WSH,Yes
TinTin++,VT100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Wintin.net,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
zMud,Custom,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,WSH,Yes
