English,Malaysian,Indonesian
ugly,"hodoh, teruk, buruk","jelek, buruk"
Ukraine,Ukraine,Ukraina
uncle,pakcik,"paman, oom, om (derived from Dutch, pronounced and sometimes spelt oom)"
union,"kesatuan (in Indonesian means ""unitary"")","persatuan, uni, serikat"
United Arab Emirates,Emiriah Arab Bersatu,Uni Emirat Arab
United Kingdom,United Kingdom,Britania Raya
United Nations,Pertubuhan Bangsa-Bangsa Bersatu,Perserikatan Bangsa-Bangsa
United States of America (USA)  United States (US),Amerika Syarikat,Amerika Serikat (AS)
university,universiti,universitas
until,"sehingga (means 'thus' in Indonesian), sampai","hingga, sampai"
