English,Standard Malay,Indonesian
account,akaun,akun
accountability,akauntabliti,akuntabilitas
accountant,akauntan,akuntan
amateur,amatur,amatir
architect,arkitek,arsitek
armed forces,tentera,tentara
auction,lelong,lelang
autonomy,autonomi,otonomi
balcony,balkoni,balkon
bell,loceng,lonceng
because (grammatical conjunction),kerana,karena
biome,biom,bioma
bridge,jambatan,jembatan
"broken, damaged",rosak,rusak
business,bisnes,bisnis
bus,bas,bus
cancer (diseases),kanser,kanker
case (legal),kes,kasus
cement,simen,semen
civil,sivil,sipil
community,komuniti,komunitas
concert,konsert,konser
counter,kaunter,konter
December,Disember,Desember
dialect,loghat,logat
different,beza,beda
doctor (medical practitioner),doktor,dokter
eight,lapan,delapan
Europe,Eropah,Eropa
export,eksport,ekspor
faculty,fakulti,fakultas
finance,kewangan,keuangan
garage,garaj,garasi
dialect,loghat,logat
gonorrhea,gonorea,gonore
immigration,imigresen,imigrasi
mathematics,matematik,matematika
magistrate,majistret,magistrat
meaning,erti,arti
medication,ubat,obat
minute,minit,menit
money,wang,uang
music,muzik,musik
"namely, e.g.",iaitu,yaitu
news,khabar,kabar
newspaper,surat khabar,surat kabar
number,nombor,nomor
official (adj.),rasmi,resmi
official position,jawatan,jabatan
parliament,parlimen,parlemen
party (political),parti,partai
passport,pasport,paspor
phase,fasa,fase
physics,fizik,fisika
popular,popular,populer
prototype,prototaip,prototipe
sauce,sos,saus
sausage,sosej,sosis
scenario,senario,skenario
scheme,skim,skema
secret,rahsia,rahasia
snow,salji,salju
sputum,kahak,dahak
station,stesen,stasiun
taxi,teksi,taksi
tempo,tempoh,tempo
thin,nipis,tipis
Thursday,Khamis,Kamis
"truck, lorry",trak,truk
university,universiti,universitas
want,mahu,mau
zone,zon,zona
