Version,CPU,RAM,RAM,Free disk space,Video adapter and monitor
Version,CPU,Minimum,Recommended,Free disk space,Video adapter and monitor
Windows NT 3.51 Workstation,"386, 25 MHz",8 MB,16 MB,90 MB,VGA (640x480)
Windows NT 4.0 Workstation,"486, 33 MHz",12 MB,?,110 MB,VGA (640x480)
Windows 2000 Professional,133 MHz,32 MB,128 MB,650 MB,VGA (640x480)
Windows XP,233 MHz,64 MB,128 MB,1.5 GB,Super VGA (800x600)
Windows Fundamentals for Legacy PCs,233 MHz,64 MB,128 MB,500 MB,Super VGA (800x600)
Windows XP 64-Bit Edition,700 MHz Itanium[6],1 GB[6],?,6 GB[6],Super VGA (800x600)
Windows Server 2003,1 GHz (x86) or 1.4 GHz (x64),128 MB,256 MB,2 GB (x86) 4 GB (x64),Super VGA (800x600)
Windows Vista,800 MHz,"384 MB (Starter) 512 MB (others) 
[7]",2 GB,15 GB (~6.5 GB for OS),Super VGA (800x600) WDDM & DirectX 9 for Aero
Windows Server 2008,1 GHz (x86) or 1.4 GHz (x64),"384 MB (Starter) 512 MB (others) 
[7]",2 GB,10 GB,Super VGA (800x600) WDDM & DirectX 9 for Aero
Windows 7,1 GHz,1 GB (x86) 2 GB (x64),4 GB,16 GB (x86) 20 GB (x64) (~6.5 GB for OS),Super VGA (800x600) WDDM & DirectX 9 for Aero
Windows Server 2012,1.4 GHz (x86-64),512 MB,1 GB,10 GB,"Super VGA (800x600), 32-bit color"
Windows 8,1 GHz,1 GB (x86) 2 GB (x64),4 GB,16 GB (x86) 20 GB (x64) (~6.5 GB for OS),"Super VGA (800x600), 32-bit color 1024 x 768 for Windows Store apps 1366 x 768 to snap apps"
Windows 10,1 GHz or faster processor or SoC,1 GB (x86) 2 GB (x64),4 GB,16 GB (x86) 20 GB (x64),"Super VGA (800x600), 32-bit color"
Windows Server 2016,1.4 GHz 64-bit processor,"512 MB ECC
2 GB with Desktop Experience installed[8]",depends on role,32 GB,Super VGA (1024 x768)
