OLAP server,Authentication,Network encryption,On-the-Fly[a],Data access,Data access,Data access
OLAP server,Authentication,Network encryption,On-the-Fly[a],Cell security,Dimension security,Visual totals
Apache Kylin,"LDAP, SAML, Kerboros, Microsoft Active Directory",SSL,Yes,No,No,?
ClickHouse,"Built-in, LDAP, Microsoft Active Directory; Kerberos in development",SSL,Yes,Yes,Yes,Yes
Druid,Druid Database authentication,SSL,Yes,No,Yes,No
Essbase,"Essbase authentication, LDAP authentication, Microsoft Active Directory",SSL,Yes,Yes,Yes,No
IBM Cognos TM1,"Builtin, LDAP, Microsoft Active Directory, NTLM, IBM Cognos BI authentication",SSL,Yes,Yes,Yes,Yes
icCube,"HTTP Basic/Form Authentication, Windows SSO (NTLM,Kerberos), Plugin Based for Embedded Usage",SSL,Yes,Yes,Yes,Yes
Jedox OLAP Server,"Jedox authentication, LDAP, Microsoft Active Directory",SSL,Yes,Yes,Yes,?
Kyvos,"Built-in, LDAP, Microsoft Active Directory, SAML, Windows SSO (NTLM, Kerberos)",SSL,Yes,Yes,Yes,No
Microsoft Analysis Services,"NTLM, Kerberos",SSL and SSPI,Yes,Yes,Yes,Yes
MicroStrategy Intelligence Server,"Host authentication, database authentication, LDAP, Microsoft Active Directory, NTLM, SiteMinder, Tivoli, SAP, Kerberos","SSL, AES[38]",?,Yes,Yes,Yes
Oracle Database OLAP Option,Oracle Database authentication,SSL,?,Yes,Yes,No
SAS OLAP Server[39],"Host authentication,SAS token authentication, LDAP, Microsoft Active Directory",Yes[40],?,Yes,Yes,Yes
