Meaning,Spanish,Portuguese,Notes
"newspaper, journal",periódico < Lat. periodĭcus < gr. περιοδικός [18],jornal < Fra. journal,
journalist,periodista < Lat. periodĭcus < gr. περιοδικός [19],jornalista < Fra. journaliste,
journey,recorrido < Lat. recurrēre [20],jornada < Provençal. jornada < jorn[21],
shop window,escaparate < Ned. schaprade[22],montra < Fra. montre,The French-derived term  vitrina (in both Spa/Por) or  vitrine (in Por) is also used.
"boutique, clothes store",tienda< Lat. tenda[23],"boutique, butique < Fra. boutique[24]",
scarf,"bufanda < Uncertain, maybe O.Fra. bouffant[25]","cachecol, écharpe cache-col, écharpe[26]",
"lampshade, bedside lamp",lámpara < Lat. < Gre. lampāda < λαμπάς[27],abajur < Fra. abat-jour[28],
New Year's Eve,Nochevieja < Lat. noctis + veclus < vetūlus[29],Reveillon < Fra. Reveillon,
frisson,escalofrío < Lat. + prefix ex + cale+ frige[30],frisson < Fra. frisson[31],
"gaffe, blunder",metedura de pata < Lat. + Ar.  < mittēre + batt[32],gafe < Fra. gaffe [33],
brioche,"bollo de leche < Lat.  < bulla + lactis,[34][35]",brioche < Fra. brioche [36],
croissant,medialuna < Lat.  < media + luna[37],"croissant, croassã < Fra. croissant [38]",
"courgette, zucchini",calabacín < Pre-roman calabaza[39],"courgette, curgete < Fra. courgette [39]",
blueberry,arándano < Celt + Lat. aran + rodamdārum[40],mirtilo < Fra. myrtille [41],In Por. arando < Celt aran means cranberry
"billy club, truncheon",porra < Lat. porrum[42],"cassetete, casse-tête < Fra. casse-tête [43]",
creche,guardería infantil < Ger. + Lat. warda + infantīlis  [44],creche < Fra. crèche[45],
voyeur,mirón < Lat. mirāri [46],voyeur < Fra. voyeur,
omelette,tortilla < uncertain + suffix torta + illa ,omelete < Fra. omelette[47],
swing,columpio < Leon. < Gr. columbiar < κολυμβᾶν kolymbân  [48],balancé < Fra. balancé[49],
lipstick,pintalabios < Lat. pinctāre + labium [50],batom < Fra. bâton[51],
cap,gorra < uncertain gorra [52],boné < Fra. bonnet[53],
hat,sombrero < Lat subumbrāre[54],chapéu < O.Fra. chapel[55],
"fanny, pussy",coño < Lat cunnus [56],chochota < Fra. chochotte[57],* popular slang/vulgar word in Brazil
(train) station,estación (ferrocarril) < Lat. statiōnis[58],gare < Fra. gare [59],The term gare in Port. is also used for bus-station.
"quay, jetty, key",muelle < Lat. mollis[60],cais < Fra. quai [61],The term cais in Port. is also used for railway platforms.
vehicle,vehículo < Lat. vehiculum[62],viatura < Fr. voiture [63],
"package, packaging",envase < Lat. in + vasum[64],embalagem < Fr. emballage [65],
rissole,empanadilla rellena < Lat. + prefix en + panis + re + plenus,"rissol, rissole < Fra. rissole[66]",
souvenir,recuerdo < Lat. recordāri[67],"souvenir, suvenir < Fr. souvenir [68]",
strike,huelga < Lat. follicāre[69],greve < Fr. grève [70],
