Meaning,Spanish,Portuguese
mayor,alcalde < Hisp. Ar. < Arabic alqáḍi < qāḍi [73],presidente da câmara (municipal) / prefeito < Lat. praesidens + camara / praefēctus,
"bricklayer, stonemason",albañil < Hisp. Ar. < Arabic albanní < bannā[74],pedreiro < Lat. petra,
potter,alfarero < Hisp. Ar. < Arabic alfaẖ ẖār < faẖ ẖār[75],oleiro < Lat. ollarius,
vest,chaleco < Alg. Ar. < Turk xileco < yelek[76],colete < Ita. coletto,
basil,albahaca < Hisp. Ar. < Arabic alḥabáqa < ḥabaqah[77],"basílico, manjericão < Lat., uncertain origin basilicum, uncertain",
bean,alubia < Hisp. Ar. < Arabic alubía < al-lubiya اٌٍىتيا[78],feijão < Lat.  faseolus [79],
celery,chirivía < Hisp. Ar. alcaravea < alkarawíyya [80][81],aipo < Lat. apium,
watermelon,sandía < Hisp. Ar. < Arabic sindiyya ضىذيح[78],melancia < Lat. bilancia < bilanx,
pistachio,alfóncigo < Hisp. Ar. < Arabic fustuq[82],"pistácio, pistacho < Lat < Gre pistacium < pistákia[83]",
thrush,zorzal < Hisp. Ar. < Arabic zurzál < zurzir[84],tordo < Lat. turdus,
hobby (bird),alcotán < Hisp. Ar. < Arabic quṭán < qaṭām[85],ógea < uncertain origin *maybe O.Fra. hobe[86],
mackerel,jurel < Hisp. Ar < Lat šuríl < saurus[87],cavala < Gaulish < Celt . caballos [88],
scorpion,"alacrán, escorpión < His. Ar. < Arabic, Lat. al‘aqráb < aqrab, scorpīo [89]",escorpião < Lat. scorpīo,
mercury,azogue < His. Ar. < Arabic azzáwq < zāwūq[90],mercúrio < Lat. Mercurius,
breast cancer,"zaratán, cáncer de mama < Arabic, Lat. saratan, cancer mamma [78]",cancro/câncer da mama < Lat. cancer mamma,
robe (bath),albornoz <  Hisp. Ar. < Arabic burnús < burnūs [91],"roupão, robe < Gothic, Fra. rauba, robe [92]",
"hostess, stewardess",azafata < Hisp. Ar < Arabic. assafáṭ < safáṭ[93],hospedeira (de bordo) < Lat. hospitis [94],
"sewage (system), gutter",alcantarilla < Hisp. Ar. < Arabic alqánṭara < qánṭarah[95],"esgoto, goteira < Lat. guttae [96]",
jerk,mamarracho < Hisp. Ar < Arabic muharráǧ < muharriǧ[97],parvo < Lat . parvulus [98],
"drunk, drunkard",borracho < Cat < Arabic marratxa < mirrassa[99],bêbado < Lat . bibitum,
"to crimp, to compress, to link (verb)",engarzar < Hisp. Ar. < Arabic ḡárza< ḡarzah[100],"engrenar, endentar, comprimir < Lat. granum, dens, comprimere",
"to duck out, to skive off  (verb)",escaquearse < Hisp. Ar. < Arabic iššáh < šāh[101],"escapar < Lat. < Proto-Italic excappā <, kaput",
to save(financial) (verb),ahorrar < Arabic. alhurr الحر[102],poupar  < Lat. palpō < palpāre,
"corner, edge",rincón < Hisp. Ar. < Arabic rukán < rukn[103],canto < Celtic kant[104],
"flowerbed, small garden, vegetable patch",arriate < Hisp. Ar. < Arabic arriyáḍ < riyāḍ [105],canteiro < Celtic kant[104],
Majorcan,mallorquí < Lat. maiorica + Arabic gentilic suffix -iyy,Maiorquino < Lat maiorica + -inus,
Iraqi,"iraquí, irakí < Arabic demonym iraqiyy عراقي[106]",Iraquiano < Lat. + suffix Iraqi + -anus,
