Implementation,brainpoolP256r1 (26)[151],brainpoolP384r1 (27)[151],brainpoolP512r1 (28)[151],X25519 [152],Curve448 Ed448-Goldilocks [153],M221 Curve2213 [154],E222 [154],Curve1174 [154],E382 [154],M383 [154],Curve383187 [154],Curve41417 Curve3617 [154],M511 Curve511187 [154],E521 [154]
Botan,Yes[155],Yes[155],Yes[155],Yes[124],No,No,No,No,No,No,No,No,No,No
BoringSSL,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
GnuTLS,No,No,No,Yes[156],No,No,No,No,No,No,No,No,No,No
JSSE,No,No,No,Yes (JDK 13+)[157],No,No,No,No,No,No,No,No,No,No
LibreSSL,Yes[41],Yes[41],Yes[41],Yes[158],No,No,No,No,No,No,No,No,No,No
MatrixSSL,Yes,Yes,Yes,TLS 1.3 only[159],No,No,No,No,No,No,No,No,No,No
Mbed TLS,Yes[160],Yes[160],Yes[160],Primitive only[161],Primitive only[162],No,No,No,No,No,No,No,No,No
NSS,No[163],No[163],No[163],Yes[164],No,No,No,No,No,No,No,No,No,No
OpenSSL,Yes[52],Yes[52],Yes[52],Yes[165][166],Yes[167][168],No,No,No,No,No,No,No,No,No
RSA BSAFE,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"SChannel Vista/2008, 7/2008R2, 8/2012, 8.1/2012R2, 10",No,No,No,No,No,No,No,No,No,No,No,No,No,No
Secure Transport,No,No,No,No,No,No,No,No,No,No,No,No,No,No
wolfSSL,Yes,Yes,Yes,Yes[169],No,No,No,No,No,No,No,No,No,No
Erlang/OTP SSL application,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Implementation,brainpoolP256r1 (26),brainpoolP384r1 (27),brainpoolP512r1 (28),Curve25519,Curve448 Ed448-Goldilocks,M221 Curve2213,E222,Curve1174,E382,M383,Curve383187,Curve41417 Curve3617,M511 Curve511187,E521
