Implementation,HMAC-MD5,HMAC-SHA1,HMAC-SHA256/384,AEAD,GOST 28147-89 IMIT[82],GOST R 34.11-94[82]
Botan,No,Yes,Yes,Yes,No,No
cryptlib,Yes,Yes,Yes,Yes,No,No
GnuTLS,Yes,Yes,Yes,Yes,No,No
JSSE,Yes,Yes,Yes,Yes,No[83],No[83]
LibreSSL,Yes,Yes,Yes,Yes,Yes[84],Yes[84]
MatrixSSL,Yes,Yes,Yes,Yes,No,No
Mbed TLS,Yes,Yes,Yes,Yes,No,No
NSS,Yes,Yes,Yes,Yes,No[86][87],No[86][87]
OpenSSL,Yes,Yes,Yes,Yes,Yes[88],Yes[88]
RSA BSAFE,Yes,Yes,Yes,Yes,No,No
"SChannel XP/2003, Vista/2008",Yes,Yes,"XP SP3, 2003 SP2 via hotfix[170]",No,No[89],No[89]
"SChannel 7/2008R2, 8/2012, 8.1/2012R2",Yes,Yes,Yes,except ECDHE_RSA[91][92][93],No[89],No[89]
SChannel 10,Yes,Yes,Yes,Yes[141],No[89],No[89]
Secure Transport,Yes,Yes,Yes,Yes,No,No
wolfSSL,Yes,Yes,Yes,Yes,No,No
Erlang/OTP SSL application,Yes,Yes,Yes,Yes,No,No
Implementation,HMAC-MD5,HMAC-SHA1,HMAC-SHA256/384,AEAD,GOST 28147-89 IMIT,GOST R 34.11-94
