Implementation,Secure Renegotiation [172],Server Name Indication [173],ALPN [174],Certificate Status Request [173],OpenPGP [175],Supplemental Data [176],Session Ticket [177],Keying Material Exporter [178],Maximum Fragment Length [173],Truncated HMAC [173],Encrypt-then-MAC [179],TLS Fallback SCSV [180],Extended Master Secret [181],ClientHello Padding [182],Raw Public Keys [183]
Botan,Yes,Yes,Yes[184],No,No,No,Yes,Yes,Yes,No,Yes,Yes[185],Yes[186],No,Unknown
cryptlib,Yes,Yes,No,No,No,Yes,No,No,No[187],No,Yes,Yes,Yes,No,Unknown
GnuTLS,Yes,Yes,Yes[188],Yes,No[189],Yes,Yes,Yes,Yes,No,Yes[37],Yes[190],Yes[37],Yes[191],Yes[192]
JSSE,Yes,Yes[65],Yes[65],Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No
LibreSSL,Yes,Yes,Yes[193],Yes,No,No?,Yes,Yes?,No,No,No,Server side only[194],No,Yes,No
MatrixSSL,Yes,Yes,Yes[195],Yes[129],No,No,Yes,No,Yes,Yes,No,Yes[129],Yes[129],No,Unknown
Mbed TLS,Yes,Yes,Yes[196],No,No,No,Yes,No,Yes,Disabled by default[44],Yes[197],Yes[197],Yes[197],No,No
NSS,Yes,Yes,Yes[198],Yes,No[199],No,Yes,Yes,No,No,No[200],Yes[201],Yes[202],Yes[198],Unknown
OpenSSL,Yes,Yes,Yes[52],Yes,No,No?,Yes,Yes,Yes,No,Yes,Yes[203],Yes[204],Yes[205],No
RSA BSAFE Micro-Edition Suite,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No
RSA BSAFE SSL-J,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
SChannel XP/2003,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Unknown
SChannel Vista/2008,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes[206],No,Unknown
SChannel 7/2008R2,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes[206],No,Unknown
SChannel 8/2012,Yes,Yes,No,Yes,No,Yes,Client side only[207],No,No,No,No,No,Yes[206],No,Unknown
"SChannel 8.1/2012R2, 10",Yes,Yes,Yes,Yes,No,Yes,Yes[207],No,No,No,No,No,Yes[206],No,Unknown
Secure Transport,Yes,Yes,Unknown,No,No,Yes,No,No,No,No,No,No,No,No,Unknown
wolfSSL,Yes,Yes,Yes[149],Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Unknown
Erlang/OTP SSL application,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Unknown
Implementation,Secure Renegotiation,Server Name Indication,ALPN,Certificate Status Request,OpenPGP,Supplemental Data,Session Ticket,Keying Material Exporter,Maximum Fragment Length,Truncated HMAC,Encrypt-then-MAC,TLS Fallback SCSV,Extended Master Secret,ClientHello Padding,Raw Public Keys
