Implementation,Application-defined,PKIX path validation[107],CRL[108],OCSP[109],DANE (DNSSEC)[110],Trust on First Use (TOFU),CT[111]
Botan,Yes,Yes,Yes,Yes,No,No,Unknown
Bouncy Castle,Yes,Yes,Yes,Yes,Yes,No,Unknown
cryptlib,Yes,Yes,Yes,Yes,No,No,Unknown
GnuTLS,Yes,Yes,Yes,Yes,Yes,Yes,Unknown
JSSE,Yes,Yes,Yes,Yes,No,No,Unknown
LibreSSL,Yes,Yes,Yes,Yes,No,No,Unknown
MatrixSSL,Yes,Yes,Yes,Yes[112],No,No,Unknown
Mbed TLS,Yes,Yes,Yes,No[113],No,No,Unknown
NSS,Yes,Yes,Yes,Yes,No[114],No,Unknown
OpenSSL,Yes,Yes,Yes,Yes,Yes,No,Yes
RSA BSAFE,Yes,Yes,Yes,Yes,No,No,Unknown
SChannel,Unknown,Yes,Yes[115],Yes[115],No,No,Unknown
Secure Transport,Yes,Yes,Yes,Yes,No,No,Unknown
wolfSSL,Yes,Yes,Yes,Yes,No,No,Unknown
Erlang/OTP SSL application,Yes,Yes,Yes,No,No,No,Unknown
Implementation,Application-defined,PKIX path validation,CRL,OCSP,DANE (DNSSEC),Trust on First Use (TOFU),CT
