Implementation,sect163k1 NIST K-163 (1)[81],sect163r1 (2)[81],sect163r2 NIST B-163 (3)[81],sect193r1 (4)[81],sect193r2 (5)[81],sect233k1 NIST K-233 (6)[81],sect233r1 NIST B-233 (7)[81],sect239k1 (8)[81],sect283k1 NIST K-283 (9)[81],sect283r1 NIST B-283 (10)[81],sect409k1 NIST K-409 (11)[81],sect409r1 NIST B-409 (12)[81],sect571k1 NIST K-571 (13)[81],sect571r1 NIST B-571 (14)[81]
Botan,No,No,No,No,No,No,No,No,No,No,No,No,No,No
BoringSSL,No,No,No,No,No,No,No,No,No,No,No,No,No,No
GnuTLS,No,No,No,No,No,No,No,No,No,No,No,No,No,No
JSSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LibreSSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MatrixSSL,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mbed TLS,No,No,No,No,No,No,No,No,No,No,No,No,No,No
NSS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
OpenSSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
RSA BSAFE,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
"SChannel Vista/2008, 7/2008R2, 8/2012, 8.1/2012R2, 10",No,No,No,No,No,No,No,No,No,No,No,No,No,No
Secure Transport,No,No,No,No,No,No,No,No,No,No,No,No,No,No
wolfSSL,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Erlang/OTP SSL application,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Implementation,sect163k1 NIST K-163 (1),sect163r1 (2),sect163r2 NIST B-163 (3),sect193r1 (4),sect193r2 (5),sect233k1 NIST K-233 (6),sect233r1 NIST B-233 (7),sect239k1 (8),sect283k1 NIST K-283 (9),sect283r1 NIST B-283 (10),sect409k1 NIST K-409 (11),sect409r1 NIST B-409 (12),sect571k1 NIST K-571 (13),sect571r1 NIST B-571 (14)
