Name,Editing style[Note 1],Native operating systems,Latest stable version,Costs,License,Configurable,Integrated viewer
AUCTeX,Source,"Linux, macOS, Windows",(2019-10-30) 12.2,Free,GPL,Yes,Yes
  Authorea,Source / partial-WYSIWYG,Online,N/A,Free,Proprietary,Yes,Yes
Auto-Latex Equations for Google Docs,Source[Note 2],Online,(2020-04-06) 48,Free,Free,Yes,Yes
CoCalc,Source,Online,N/A,Free,AGPL,Yes,Yes
GNOME LaTeX,Source,Linux,(2019-03-10) 3.32,Free,GPL,Yes,No
Gummi,Source,Linux,(2020-01-26) 0.8.1,Free,MIT,Yes,Yes (Live update)
Kile,Source,"Linux (macOS, Windows)[Note 3]",(2012-09-23) 2.1.3,Free,GPL,Yes,Yes (Quick preview)
LEd,Source,Windows,(2009-10-09) 0.53,Free,Proprietary,?,Yes (dvi)
LyX,WYSIWYM,"Linux, macOS, Windows",(2019-06-25) 2.3.3,Free,GPL,Yes,Yes
MeWa,Source,Windows,(2007-06-06) 1.4.0,Free,GPL,Yes,No
Notepad++,Source,Windows,(2019-10-29) 7.8.1,Free,GPL,Yes,"No, but can be integrated [Note 4]"
Overleaf,Source,Online,N/A,Free,Unclear,Yes,Yes
Scientific WorkPlace,WYSIWYM,Windows,(2016-02-23) 6.0.12,Non-free,Proprietary,Yes,Yes
TexLab,Source-WYSIWYG,Windows,(2019-04-30) 7.8,Free,Free,Yes,Yes
TeXmacs,WYSIWYG,"Linux, macOS, Windows",(2017-12-21) 1.99.6,Free,GPL,Yes,Yes
Texmaker,Source,"Linux, macOS, Windows",(2018-11-01) 5.0.3,Free,GPL2,Yes,Yes
TeXnicCenter,Source,Windows,"2.02 Stable (September 29, 2013 (2013-09-29)) [±]",Free,GPL,Yes,No
TeXShop,Source,macOS,(2019-10-23) 4.44,Free,GPL,Yes,Yes
TeXstudio,Source,"Linux, Windows, macOS",(2020-08-25) 3.0.0,Free,GPL2,Yes,"Yes (pdf, selection with dvi2png)"
TeXworks,Source,"Linux, macOS, Windows",(2019-03) 0.6.3,Free,GPL,No,Yes (pdf)
Verbosus,Source,"Online, Android, iOS",(2016-05-06) 4.1.3,Free,Proprietary,Yes,Yes (pdf)
WinEdt,Source,Windows,(2018-05-07) 10.3,Non-free,Proprietary,Yes,No
WinShell,Source,Windows,(2013-02-10) 3.3.2.6,Free,Proprietary,Yes,No
Name,Editing Style,Native Operating Systems,Latest stable version,Costs,License,Configurable,Integrated viewer
