Name,Collapsible sections,Find and replace using RegEx,Intelligent error handling,Autocompletion of LaTeX commands,Parenthesis matching,Starts up to previous state[Note 11],Unicode support,RTL Support[Note 12]
AUCTeX,Yes,Yes,Yes,Yes,Yes,Yes[Note 13],Yes,Yes
  Authorea ,No,Yes,No,No,Yes,Yes,Yes,?
Auto-Latex Equations for Google Docs,No,Yes,No,No,No,Yes,Yes,?
CoCalc,Yes,Yes,No,Yes,Yes,Yes,Yes,?
GNOME LaTeX,Planned,Yes,Yes,Yes,Yes,(just same files),Yes,Yes
Gummi,No,No,No,No,Yes,No,Yes,?
Kile,Yes[Note 14],Yes,Yes,Yes,Yes,Yes,Yes,Yes
LEd,Yes,Yes,?,Yes,Yes,No (just same files),No,?
LyX,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MeWa,No,Yes,No,No,No,No,Yes,?
Notepad++,Yes,Yes,No,Partial[Note 15],Yes,Yes,Yes,Yes
Overleaf,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
Scientific WorkPlace,No,?,?,N/A,Yes,No,Yes,?
TexLab,No,No,Yes,Yes,Yes,Yes,Yes,No
TeXmacs,No,Yes,N/A,N/A,N/A,No,Yes,?
Texmaker,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TeXnicCenter,since v2.0,since v2.0,Yes,Yes,Yes,Yes,since v2.0,?
TeXShop,No,Yes,Yes,Yes,Yes,Yes,Yes,?
TeXstudio,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TeXworks,No,Yes[Note 16],No,Yes[Note 17],Yes,No,Yes,Yes
Verbosus,No,No,Yes,Yes,Yes,No,Yes,?
WinEdt,Yes,Yes (modified),Yes,Yes,Yes,Yes,Yes,Yes
WinShell,Yes,Yes,Yes,Yes,Yes,No (just same files),Yes,?
Name,Collapsible sections,Find and replace using RegEx,Intelligent error handling,Autocompletion of LaTeX commands,Parenthesis matching,Starts up to previous state[Note 18],Unicode support, RTL Support[Note 19]
