Calculator,TI-BASIC,Native code,Lua,Python
" TI-73, TI-73 Explorer",Yes,Yes,No,No
 TI-80,Yes,Only using exploits,No,No
 TI-81,Yes,Only using exploits,No,No
 TI-82,Yes,Only using exploits,No,No
  TI-83,Yes,Yes,No,No
  TI-83 Plus,Yes,Yes,No,No
  TI-83 Plus Silver Edition,Yes,Yes,No,No
  TI-83 Premium CE,Yes,Varies by firmware,No,Only with a TI-Python adapter[15]
  TI-83 Premium CE Edition Python,Yes,Varies by firmware,No,Yes
 TI-84 Plus,Yes,Yes,No,No
 TI-84 Plus Silver Edition,Yes,Yes,No,No
 TI-84 Plus C Silver Edition,Yes,Yes,No,No
 TI-84 Plus CE,Yes,Varies by firmware,No,No
 TI-85,Yes,Only using exploits,No,No
 TI-86,Yes,Yes,No,No
 TI-89,Yes,Yes,No,No
  TI-89 Titanium,Yes,Yes,No,No
"  TI-92, TI-92 II",Yes,Only using exploits,No,No
  TI-92 Plus,Yes,Yes,No,No
  Voyage 200,Yes,Yes,No,No
"  TI-Nspire, TI-Nspire CAS",Yes,Only using exploits,Yes,No
"  TI-Nspire CX, TI-Nspire CX CAS",Yes,Only using exploits,Yes,No
"  TI-Nspire CX II, TI- Nspire CX CAS II",Yes,Only using exploits,Yes,Yes[16]
