Client name,Development status,Open source client,End-to-end authentication[a],Encryption protocols,Encryption protocols,Encryption protocols,Encryption protocols,Forward secrecy,Multiple encryption,Encrypted group calling,"Proxy, Tor"
Client name,Development status,Open source client,End-to-end authentication[a],ZRTP,ECDH,DTLS,SRTP,Forward secrecy,Multiple encryption,Encrypted group calling,"Proxy, Tor"
FaceTime,Active,No[80],No[80],?,?,?,?,Yes[80],?,No,No
Google Duo,Active,No,No,?,?,?,?,?,?,No,No
Jitsi[b],Active,Yes,Yes[80],Yes,No,Yes,Yes,Yes[80],Yes,Yes,?
Line[81][82],Active,No,?,?,?,?,?,?,?,No[81],No
Linphone[b],Active,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,?,No
PGPfone,Abandonware,Viewable source[83],Yes,?,?,?,?,?,?,?,?
Signal,Active,Yes,Yes[80],No,Yes,No,Yes,Yes[80],Yes,No,Depends[84]
Silent Phone,Active,Viewable source[85],Yes[80],Yes,?,?,Yes,Yes[80],Yes,Yes,No
"Skype (opt-in per conversation, one pair of devices per conversation)[86]",Active,No,Yes[87],No,No,No,Yes[88],?,?,No,No
Telegram,Active,Yes,Yes[89],No,No,No,No,Yes,?,No,No
Threema,Active,Partially[c][90],Yes[91],No,Yes[91],Yes[91],Yes[91],Partially[d][91],Yes,No,No
Viber[47],Active,No,?,?,?,?,?,?,?,?,No
WhatsApp,Active,Partially[c][92],Yes[92],No,Yes[92],No,Yes[92],Yes[92],Yes[92],No,No
Wire,Active,Yes,Yes[93],No,?,Yes[54],Yes[54],Yes[94],Yes,Yes,No
Zfone,Abandonware,Viewable source[95],Yes,Yes,Optional[96],?,Yes[97],Yes,Yes,?,?
