,KDE Software Compilation,GNOME,Mate,Cinnamon,Xfce,LXDE,ROX Desktop,Étoilé,EDE,Enlightenment
X window manager,KWin,Mutter,Marco,Muffin,Xfwm4,Openbox,OroboROX,Azalea,edewm,Enlightenment
X display manager,"KDM,  SDDM",GDM,,LightDM,,LXDM,,,elma,Entrance
File manager,Dolphin (Konqueror before SC 4),Files,Caja,Nemo,Thunar,PCManFM,ROX Filer,,Efiler,"EFM, Entropy"
Widget toolkit,Qt,GTK+,GTK+,GTK+,GTK+,GTK+(legacy) / Qt,GTK+,GNUstep,FLTK (previously eFLTK),Elementary
Terminal emulator,Konsole,GNOME Terminal,MATE Terminal,GNOME Terminal,Terminal,LXTerminal,ROXTerm,aterm,,Terminology
Text editor,KWrite (Kate before SC 4),gedit,Pluma,Xed,"Mousepad, Leafpad",Leafpad,Edit,TextEdit,,"Eyesight, Ecrire"
Video player,Dragon Player (Kaffeine before SC 4),Videos,,Celluloid,Parole,lxine,mplayer-rox,,,"Enna (media center), Eclair"
Audio player,"JuK, Amarok","Banshee, Rhythmbox",,,Parole,LXMusic,MusicBox,Melodie,,Enjoy
CD burners,K3b,Brasero,,,Xfburn,,RoxISO,,,
CD ripper,"K3b, KAudioCreator",Sound Juicer,,,,,Ripper,,,Extrackt
Image viewer,Gwenview,Eye of GNOME,Eye of MATE,Xviewer,Ristretto,GPicView,Picky,,Eimage,Ephoto
Office suite,"Calligra Suite, KOffice",GnomeOffice,,,,,,,,
Web browser,"Konqueror, Falkon",Web,,,Midori,,,,,Eve
E-mail client,Kmail,Evolution,,,,,GNUMail,,,
Personal information manager,Kontact,Evolution,,,,,Contacts,,,
Instant messenger,"Kopete, KDE Telepathy",Empathy,,,,,,,,Shotgun
Archive manager,Ark,Archive Manager,Engrampa,Archive Manager,"Xarchiver, Squeeze",Xarchiver,Archive,,,
PDF viewer,Okular (KPDF before SC 4),Evince,Atril,Xreader,,,,Vindaloo,,Epdf
IDE,KDevelop,"Anjuta, GNOME Builder",,,,,,"Gorm, ProjectCenter",,EDI
X session manager,ksmserver,gnome-session,mate-session,cinnamon-session,Xfce4-session,LXSession,ROX-Session,,,
Widget engine,built-in – Plasma (SuperKaramba before SC 4),gDesklets,,,,,,,,Elementary
Licenses used,"GPL, LGPL, BSD, others","GPL, LGPL","GPL, LGPL",GPLv2 (or later),"GPL, LGPL, BSD","GPL, LGPL",GPL,"GPL, BSD","GPL, LGPL","BSD, LGPL"
,KDE Software Compilation,GNOME,MATE,Cinnamon,Xfce,LXDE,ROX Desktop,Étoilé,EDE,Enlightenment
