File extension(s)[1],MIME type[2],Official name[3],Creation platform[4],Restoration platform[7],Restorable with free software[8],Description
.7z,application/x-7z-compressed,7z,Multiple,Multiple,Yes,Open source file format. Used by 7-Zip.
.s7z,application/x-7z-compressed,7zX,macOS,"macOS, restoration on different platforms is possible although not immediate",Yes,"Based on 7z. Preserves Spotlight metadata, resource forks, owner/group information, dates and other data which would be otherwise lost with compression.
Made obsolete by the introduction of AppleDouble-encoded 7z archives (Macintosh only)."
.ace,application/x-ace-compressed,ACE,Windows,Multiple,Yes,Proprietary format
.afa,application/x-astrotite-afa,AFA,UNIX-like,UNIX-like,No,"A format that compresses and doubly encrypt the data (AES256 and CAS256) avoiding brute force attacks, also hide files in an AFA file. It has two ways to safeguard data integrity and subsequent repair of the file if has an error (repair with AstroA2P (online) or Astrotite (offline))."
.alz,application/x-alz-compressed,ALZip,Windows,Multiple,Yes,A mainly Korean format designed for very large archives.
.apk,application/vnd.android.package-archive,APK,Multiple,Multiple,Yes,Android application package (variant of JAR file format).
".arc, .ark",application/octet-stream,ARC,Multiple,Multiple,Yes,"Very popular in the early days of BBSes, one of the first to offer compression and archiving in a single program. Largely replaced by PKZIP."
".arc, .cdx",application/x-freearc,FreeArc,"Windows, Linux","Windows, Linux",Yes,"Open source file format developed by Bulat Ziganshin. A ""FreeArc Next""  version is under development which includes Zstandard support."
.arj,application/x-arj,ARJ,"Originally DOS, now multiple",Multiple,Yes,"Competitor to PKZIP in the 1990s, offered better multi-part archive handling."
.b1,application/x-b1,B1,Multiple,Multiple,Yes,"Open archive format, used by B1 Free Archiver (http://dev.b1.org/standard/archive-format.html)"
.b6z,,B6Z,macOS,Multiple,Yes,Compressed archive format B6Zip
.ba,,Scifer,Multiple,Multiple,Yes,Binary Archive with external header
.bh,,BlakHole,,,Yes,Proprietary format from the ZipTV Compression Components
.cab,application/vnd.ms-cab-compressed,Cabinet,Windows,Multiple,Yes,"The Microsoft Windows native archive format, which is also used by many commercial installers such as WISE."
.car,,Compressia archive,"Originally DOS, now DOS and Windows","Originally DOS, now DOS and Windows",Yes,"Created by Yaakov Gringeler; released last in 2003 (Compressia 1.0.0.1 beta), now apparently defunct. Free trial of 30 days lets user create and extract archives; after that it is possible to extract, but not to create."
.cfs,application/x-cfs-compressed,Compact File Set,"Windows, Unix-like including macOS",Multiple,Yes,Open source file format.
.cpt,,Compact Pro,Classic Mac OS,Multiple,Yes,"Compact Pro archive, a common archiver used on Mac platforms until about Mac OS 7.5.x. Competed with StuffIt; now obsolete."
.dar,application/x-dar,Disk Archiver,Unix-like including macOS,"Unix-like including macOS, Windows",Yes,"Open source file format.  Files are compressed individually with either gzip, bzip2 or lzo."
.dd,,DiskDoubler,Classic Mac OS,,,obsolete
.dgc,application/x-dgc-compressed,DGCA,Windows,Windows,,
.dmg,application/x-apple-diskimage,Apple Disk Image,macOS,"macOS, Windows, Linux",Yes,"Supports ""Internet-enabled"" disk images, which, once downloaded, are automatically decompressed, mounted, have the contents extracted, and thrown away.  Currently, Safari is the only browser that supports this form of extraction; however, the images can be manually extracted as well. This format can also be password-protected or encrypted with 128-bit or 256-bit AES encryption."
.ear,,EAR,Multiple,Multiple,Yes,Enterprise Java Archive archive
.gca,application/x-gca-compressed,GCA,,,,The predecessor of DGCA.
.ha,,[2],Originally DOS,Originally DOS,"Yes, but may be covered by patents",DOS era format; uses arithmetic/Markov coding
.hki,,WinHKI,MS Windows,MS Windows,No,HKI
.ice,,ICE,Windows,Windows,Yes,Produced by ICEOWS program. Excels at text file compression.
.jar,application/java-archive,JAR,Multiple,Multiple,Yes,"Java archive, compatible with ZIP files"
.kgb,,KGB Archiver,Multiple,Multiple,Yes,Open sourced archiver with compression using the PAQ family of algorithms and optional encryption.
".lzh, .lha",application/x-lzh,LHA,"Originally DOS, now multiple",Multiple,Yes,The standard format on Amiga.
.lzx,application/x-lzx,LZX,Amiga,,,Archiver originally used on The Amiga. Now copied by Microsoft to use in their .cab and .chm files.
.pak,,PAK,HP NonStop,HP NonStop,Yes[9],"file format from NoGate Consultings, a rival from ARC-Compressor.
.pak was also briefly used by the short lived MSDOS PKPAK program."
.partimg,,PartImage,Multiple,Multiple,Yes,A disk image archive format that supports several compression methods as well as splitting the archive into smaller pieces.
".paq6, .paq7, .paq8 and variants",,PAQ,Unix-like and Windows,Unix-like and Windows,Yes,An experimental open source packager (http://mattmahoney.net/dc)
.pea,,PeaZip,Linux and Windows,Linux and Windows,Yes,"Open source archiver supporting authenticated encryption, cascaded encryption, volume spanning, customizable object level and volume level integrity checks (form CRCs to SHA-512 and Whirlpool hashes), fast deflate based compression"
.pim,,PIM,Windows,Windows,Yes,"The format from the PIM - a freeware compression tool by Ilia Muraviev. It uses an LZP-based compression algorithm with set of filters for executable, image and audio files."
.pit,,PackIt,Classic Mac OS,,,obsolete
.qda,,Quadruple D,Windows,Windows,,Used for data in games written using the Quadruple D library for Delphi. Uses byte pair compression.
.rar,application/x-rar-compressed,RAR,"Originally DOS, now multiple",Multiple,Yes,"A proprietary archive format, second in popularity to .zip files."
.rk,,RK and WinRK [3],Multiple,Multiple,No,"The format from a commercial archiving package. Odd among commercial packages in that they focus on incorporating experimental algorithms with the highest possible compression (at the expense of speed and memory), such as PAQ, PPMD and PPMZ (PPMD with unlimited-length strings), as well as a proprietary algorithms."
