Assembler,Developer,FOSS,License,Instruction set,Host platform
IBM 1410/7010 OS Autocoder,IBM,,Free,IBM 1410 IBM 7010,IBM 1410/7010 Operating System
7070/7074 Autocoder,IBM,,Free,IBM 7070/7072/7074,
7080 Autocoder III,IBM,,Free,IBM 7080,IBM 7058 Processor
Symbolic Coding and Assembly Technique (SCAT),Share,,Free,IBM 709 7090/7094/7094 II,SHARE Operating System (SOS)
FORTRAN II Assembly Program (FAP),IBM,,Free,IBM 709 7090/7094/7094 II,IBM 7090/94 IBSYS
Macro Assembly Program (MAP),IBM,,Free,IBM 709 IBM 7040/7044 7090/7094/7094 II,IBM IBSYS/IBJOB
BAL,,,Free,IBM System/360,IBM BPS/360
HLASM,,,Proprietary,z/Architecture,numerous
IBM Assembler D,,,Free,IBM System/360,IBM DOS/360
IBM Assembler E,,,Free,IBM System/360,IBM OS/360
IBM Assembler F,,,Free,IBM System/360,IBM OS/360 and CP-67/CMS
IBM Assembler H,,,Proprietary,IBM System/360 and System/370,IBM OS/360 and successors
IBM Assembler XF,,,Free,IBM System/370,numerous
PL360,,,Free,IBM System/360,IBM OS/360
