Assembler,Developer,Operating system,FOSS,License,Development active
A86/A386,Eric Isaacson,"Windows, DOS",No,Proprietary,No
ACK,"Andrew Tanenbaum, Ceriel Jacobs","Linux, MINIX, Unix-like",Yes,BSD since 2003,1985-? [1]
IBM ALP,IBM,OS/2,No,Proprietary,No
AT&T,AT&T,Unix System V,No,Proprietary,1985-?[2]
Digital Research ASM86,Digital Research,"CP/M-86, DOS, Intel's ISIS and iRMX",No,Proprietary,1978-1992
FASM,Tomasz Grysztar,"Windows, DOS, Linux, Unix-like",Yes,BSD with added Copyleft,Yes
GAS,GNU Project,"Unix-like, Windows, DOS, OS/2",Yes,GNU GPL,Since 1987
HLA,Randall Hyde,"Windows, Linux, FreeBSD, macOS",Yes,Public domain,Yes
"Open Watcom Assembler (HJWASM a.k.a. UASM, JWASM, WASM)",Watcom,"Linux, Windows, DOS, FreeBSD, OS/2","approved by OSI, but not by FSF",Sybase Open Watcom Public,Yes
MASM,Microsoft,"Windows, DOS, OS/2",No,Microsoft EULA,Since 1981[3]
NASM,"Simon Tatham, Julian Hall, Hans Peter Anvin, et al.","Linux, macOS, Windows, DOS, OS/2",Yes,BSD,Yes
Tim Paterson's ASM,Tim Paterson,"86-DOS, DOS DEBUG",No,Proprietary,1979-1983
TASM,Borland,"Windows, DOS",No,Proprietary,?[4][5]
TCCASM,Fabrice Bellard,"Unix-like, Windows",Yes,LGPL,Yes
vasm,,various,Yes,Free,Yes
Xenix,Microsoft,Xenix 2.3 and 3.0 (before 1985),No,Proprietary,1982-1984
Yasm[1],,"Windows, DOS, Linux, Unix-like",Yes,BSD,No[6]
