Name,Author,First public release,Latest stable version,Cost,Software license,Based framework,Written in
AIMP,AIMP DevTeam,"August 8, 2006","Windows: v4.60, build 2177 (February 24, 2020; 8 months ago (2020-02-24)[1]) [±] 
Android: v3.01, build 972 (March 22, 2020; 7 months ago (2020-03-22)[2]) [±]",Free,Proprietary,BASS audio library (decoder),Delphi
Amarok,Mark Kretschmann,"June 1, 2003","2.9 (March 7, 2018; 2 years ago (2018-03-07)) [±]",Free,GPLv2,"via Phonon: GStreamer, xine, MPlayer, VLC, DirectShow, QuickTime",C++
Aqualung,Tom Szilagyi et al.,"January 1, 2006","0.9beta11 January 30, 2013; 7 years ago (2013-01-30)",Free,GPLv2 or later,,C
aTunes,Alex Aranda et al.,"January 1, 2006","3.1.2 (June 22, 2014; 6 years ago (2014-06-22)) [±]",Free,GPLv2,,Java
Audacious,Audacious Development Team,"October 30, 2005","4.0.5 (July 10, 2020; 3 months ago (2020-07-10)[3]) [±]",Free,BSD,XMMS based,"C, C++ (GTK+)"
Banshee,Aaron Bockover,"February 17, 2005","2.6.2 (February 18, 2014; 6 years ago (2014-02-18)[4]) [±]",Free,MIT,GStreamer,C#
Clementine,Clementine Team,"February 22, 2010","1.3.1 (April 19, 2016; 4 years ago (2016-04-19)) [±]",Free,GPL,GStreamer,C++ (Qt)
cmus,Timo Hirvonen,"January 18, 2005","2.8.0 (January 29, 2019; 21 months ago (2019-01-29)) [±]",Free,GPL,,C
Cog,Vincent Spader,"May 1, 2006","0.07 (December 24, 2007; 12 years ago (2007-12-24)) [±]",Free,GPL,,Objective-C
Exaile,Adam Olsen,"May 24, 2006","4.0.0 (June 6, 2019; 16 months ago (2019-06-06)) [±]",Free,GPLv2 or later,GStreamer,Python (GTK+)
Ecoute,Louka Desroziers & Julien Sagot,September 2008,3.0.8,Free (until version 4),Proprietary,AV Foundation & QuickTime,Objective-C
Flash MP3 Player,Reality Software,"March 11, 2008",1.00,Free,Proprietary,,
foobar2000,Peter Pawlowski,"November 29, 2002","1.6.2 (October 22, 2020; 11 days ago (2020-10-22)[5]) [±]",Free,"Proprietary (core), BSD (SDK)",,C++
Guayadeque Music Player,Juan Rios,"March 12, 2009",0.4.5,Free,GPL,GStreamer,"C++ (wxWidgets, wxSqlite)"
iTunes,Apple Inc.,"January 9, 2001",,Free,Proprietary,QuickTime,?
JRiver Media Center,"JRiver, Inc.","February 1, 1999","25.0.18 (April 3, 2019; 18 months ago (2019-04-03)[6]) [±]",Non-free,Proprietary,JRiver code,C++
JuK,Scott Wheeler,"February 1, 2003","3.11 (February 4, 2014; 6 years ago (2014-02-04)[7]) [±]",Free,GPL,,C++
MediaMonkey Standard,Ventis Media Inc.,"August 25, 2003","4.1.29 (July 10, 2020; 3 months ago (2020-07-10)) [±]",Free,Proprietary,,"Delphi, C"
MediaMonkey Gold,Ventis Media Inc.,"August 25, 2003","4.1.29 (July 10, 2020; 3 months ago (2020-07-10)) [±]",Non-free,Proprietary,,"Delphi, C"
MediaMonkey Lifetime,Ventis Media Inc.,"August 25, 2003","4.1.29 (July 10, 2020; 3 months ago (2020-07-10)) [±]",Non-free,Proprietary,,
Groove Music,Microsoft,2012,,Free,Proprietary,,
MPXPLAY,MPXPLAY,"January 1, 1998","3.05 (February 3, 2019; 20 months ago (2019-02-03)) [±]",Free,GPL,,C
Music on Console,Damian Pietras,"January 1, 2002","2.5.1 (April 24, 2016; 4 years ago (2016-04-24)) [±]",Free,GPL,,C
Music Player Daemon,Warren Dukes,"May 1, 2003","0.21.22 (April 2, 2020; 7 months ago (2020-04-02)[8]) [±]",Free,GPL,,C
MusicBee,Steven Mayall,"December 4, 2008","3.3.7310 (January 9, 2020; 9 months ago (2020-01-09)) [±]",Free,Proprietary,BASS audio library,Visual Basic .NET
musikCube,Casey Langen,"January 1, 2005","0.92.1 (May 26, 2020; 5 months ago (2020-05-26)) [±]",Free,BSD,,
Napster,William Christopher Gorog,"October 1, 2003","4.6.3.4 (August 31, 2010; 10 years ago (2010-08-31)) [±]",Non-free,Proprietary,,
Quod Libet,Quod Libet Team,"November 8, 2004",4.3.0[9] (22 February 2020; 8 months ago (2020-02-22)) [±],Free,GPL,GStreamer,Python (GTK) PyGTK
Rdio,Rdio Inc,"August 3, 2010","Microsoft Windows: 1.12.0.0 (2013) WP 8+ : 4.0.5.0 (28 October 2013; 7 years ago (2013-10-28))
iOS: 3.0.3 (27 September 2014; 6 years ago (2014-09-27))",(subscription required),Proprietary,,
