Audio player,Lossy compression,Lossy compression,Lossy compression,Lossy compression,Lossy compression,Lossy compression,Lossy compression,Lossy compression,Lossy compression,Lossless compression,Lossless compression,Lossless compression,Lossless compression,Lossless compression,Lossless compression
Audio player,MP3,WMA,RealAudio,Vorbis,Musepack,AAC,Dolby AC-3,VQF,Opus,APE,FLAC,ALAC,SHN,WV,WMA L
AIMP,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes[b],Yes,Yes,Yes,Yes,No,Yes,Yes
Amarok[c][19][20],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Audacious,Yes,Yes,No,Yes,Yes,Yes,Yes,?,Yes[d],Yes,Yes,Yes,No,Yes,?
Audion,Yes,No,No,Yes,No,No,No,?,?,No,No,No,No,No,?
Banshee,Yes,?,?,Yes,?,?,?,?,?,No,?,?,?,?,?
cmus,Yes,Yes[d],No,Yes,Yes,Yes,Yes[d],?,Yes[e],Yes[d],Yes,Yes[d],Yes[d],Yes,?
Cog,Yes,No,No,Yes,Yes,Yes,No,?,?,Yes,Yes,Yes,Yes,Yes,?
Exaile,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?,Yes,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?
foobar2000,Yes,Yes,No,Yes,Yes,Yes,Partial[a],No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Groove Music,Yes,Yes,No,No,?,Yes,Yes,?,?,?,Yes,?,?,?,?
JRiver Media Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
JuK,Yes,No,No,Yes,Yes,No,No,?,?,Yes,Yes,No,Yes,No,?
Media Jukebox,Yes[audionotes 1],Yes,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,Yes,Yes,Yes,?
MediaMonkey,Yes,Yes,No,Yes,Yes,Partial[g],Partial[g],?,No,Yes,Yes,Yes,Partial[a],Partial[a],?
MPXPLAY,Yes,Yes,No,Yes,Yes,Yes,Yes,?,Partial[a],Yes,Yes,No,No,Yes,?
Music Player Daemon,Yes,Yes[d],Partial[d],Yes,Yes,Yes,Yes[d],Yes[d],Yes,Yes[d],Yes,Yes,Yes[d],Yes,?
MusicBee,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes[b],Yes,Yes,Yes,Yes,Yes[b],Yes,Yes
Musicmatch Jukebox,Yes,Yes,No,No,No,No,No,?,?,No,No,No,No,No,?
musikCube,Yes,Partial[g],No,Yes,Partial[g],Partial[g],Partial[g],?,?,Yes,Yes,No,No,Partial[g],?
Quod Libet,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?,Yes,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?
Rhapsody,Yes,Yes,Yes,No,No,Yes,No,?,?,No,No,No,No,No,?
Rhythmbox,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?
Sayonara Player,Yes,?,?,Yes,?,?,No,?,Yes,?,Yes,?,?,?,?
Sonique,Yes,Yes,No,Yes,Partial[g],Partial[g],No,?,?,No,No,No,No,No,?
Spotify[21],Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Style Jukebox,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes
Winamp,Yes,Yes,Yes[a],Yes,Yes[a],Yes,?,?,?,?,Yes,?,?,Yes[a],?
XMMS,Yes,Partial[g],Partial[g],Partial[g],Yes,Yes,No,Yes[a],?,Partial[g],Yes,No,Partial[g],Yes,?
XMPlay,Yes,Yes[a],Yes[a],Yes,Yes[a],Yes[a],Yes[a],?,Yes[a],Yes[a],Yes[a],Yes[a],Yes[a],Yes[a],?
Zinf,Yes,No,No,Yes,No,No,No,?,?,No,No,No,No,No,?
Audio player,MP3,WMA,RealAudio,Vorbis,Musepack,AAC,Dolby AC-3,VQF,Opus,APE,FLAC,ALAC,SHN,WV,WMA L
