Software,Microsoft Windows,Microsoft Windows,Microsoft Windows,Microsoft Windows,Microsoft Windows,Microsoft Windows,Microsoft Windows,Microsoft Windows,Microsoft Windows,Darwin/ OS X,Linux,Linux,Linux,Linux,IBM,IBM,IBM,IBM,HP-UX,illumos/ Solaris
Software,2000,XP,Vista,2003 Server,2008 R2 Server,2008 Server,2012 Server,7 – 64 bit,8 – 64 bit,Darwin/ OS X,Red Hat,SUSE,Ubuntu,CentOS,AIX,OS/390,i5/OS,z/OS,HP-UX,illumos/ Solaris
AdroitLogic UltraESB,Yes[13],Yes[13],Yes[13],Yes[13],Yes[13],Yes[13],Yes[13],Yes[13],Yes[13],Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Anypoint Platform,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
Artix ESB,"with SP3, SP4","with SP1, SP2",,Yes,,,,,,No,Yes,Yes,,,Yes,,No,Yes,Yes,Yes
Automation Anywhere Integration Pack,Yes,Yes,Yes,Yes,,,,,,No,No,No,,,No,No,No,No,No,No
BizTalk Server,Yes[14],Yes[15],Yes[16],Yes[17],Yes[18],Yes[19],Yes[20],Yes[21],Yes[22],No,No,No,,,No,,No,No,No,No
Flow Software,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,No,No,,,No,No,No,No,No,No
IBM Integration Bus [23],No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
JBoss Enterprise Service Bus (ESB),Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,,,Yes,,,,Yes,Yes
JBoss Enterprise SOA Platform,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,,,Yes,,,,Yes,Yes
Informatica Power Center,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes
Openadaptor,Yes,Yes,,Yes,,,,,,Yes,Yes,Yes,,,Yes,,,,Yes,Yes
OpenESB,Yes,Yes,,Yes,,,,,,Yes,Yes,Yes,,,Yes,No,No,No,Yes,Yes
OpenLink Virtuoso,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
Oracle BPEL Process Manager,Yes,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,,,5L,,No,No,Yes,Yes
Oracle Enterprise Service Bus,Yes,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,,,Yes,,No,No,Yes,Yes
PEtALS ESB,Yes,Yes,,Yes,,,,,,Yes,Yes,Yes,,,Yes,No,No,No,Yes,Yes
SAP Exchange Infrastructure,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,,,Yes,No,Yes[24],Yes,Yes,Yes
ServiceMix,Yes,with SP2,Yes,Yes,,,,,,Yes,Yes,Yes,,,Yes,No,No,No,Yes,Yes
Sonic ESB,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,,Yes,No,No,No,Yes,Yes[25]
Spagic,Yes,Yes,,Yes,,,,,,Yes,Yes,Yes,,,Yes,No,No,No,Yes,Yes
Sun Java Composite Application Platform Suite,Yes,Yes[26],,Yes,,,,,,,Yes,Yes,,,Yes,No,No,No,Yes,Yes
TrackerSuite.Net,No,with SP2,Yes,Yes,,,,,,,,,,,,,,,,
Unify NXJ,with SP4,with SP1,,Yes,,,,,,No,Yes,Yes,,,5.3,,No,No,Yes,Yes
WSO2 Enterprise Service Bus (ESB),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes
