Function,Size (bits)[note 1],Size (bits)[note 1],Size (bits)[note 1],Size (bits)[note 1],Size (bits)[note 1],Size (bits)[note 1],Words × Passes = Rounds[note 2],Operations[note 3],Endian[note 4]
Function,Word,Digest,Chaining values[note 5],Computation values[note 6],Block,Length [note 7],Words × Passes = Rounds[note 2],Operations[note 3],Endian[note 4]
GOST R 34.11-94,32,×8 = 256,×8 = 256,×8 = 256,×8 = 256,32,4,A B L S,Little
HAVAL-3-128,32,×4 = 128,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 3 = 96,A B S,Little
HAVAL-3-160,32,×5 = 160,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 3 = 96,A B S,Little
HAVAL-3-192,32,×6 = 192,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 3 = 96,A B S,Little
HAVAL-3-224,32,×7 = 224,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 3 = 96,A B S,Little
HAVAL-3-256,32,×8 = 256,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 3 = 96,A B S,Little
HAVAL-4-128,32,×4 = 128,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 4 = 128,A B S,Little
HAVAL-4-160,32,×5 = 160,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 4 = 128,A B S,Little
HAVAL-4-192,32,×6 = 192,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 4 = 128,A B S,Little
HAVAL-4-224,32,×7 = 224,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 4 = 128,A B S,Little
HAVAL-4-256,32,×8 = 256,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 4 = 128,A B S,Little
HAVAL-5-128,32,×4 = 128,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 5 = 160,A B S,Little
HAVAL-5-160,32,×5 = 160,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 5 = 160,A B S,Little
HAVAL-5-192,32,×6 = 192,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 5 = 160,A B S,Little
HAVAL-5-224,32,×7 = 224,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 5 = 160,A B S,Little
HAVAL-5-256,32,×8 = 256,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 5 = 160,A B S,Little
MD2,8,×16 = 128,×32 = 256,×48 = 384,×16 = 128,None,48 × 18 = 864,B,N/A
MD4,32,×4 = 128,×4 = 128,×4 = 128,×16 = 512,64,16 × 3 = 48,A B S,Little
MD5,32,×4 = 128,×4 = 128,×4 = 128,×16 = 512,64,16 × 4 = 64,A B S,Little
RIPEMD,32,×4 = 128,×4 = 128,×8 = 256,×16 = 512,64,16 × 3 = 48,A B S,Little
RIPEMD-128,32,×4 = 128,×4 = 128,×8 = 256,×16 = 512,64,16 × 4 = 64,A B S,Little
RIPEMD-256,32,×8 = 256,×8 = 256,×8 = 256,×16 = 512,64,16 × 4 = 64,A B S,Little
RIPEMD-160,32,×5 = 160,×5 = 160,×10 = 320,16 × 5 = 80,×16 = 512,64,A B S,Little
RIPEMD-320,32,×10 = 320,×10 = 320,×10 = 320,16 × 5 = 80,64,A B S,Little
SHA-0,32,×5 = 160,×5 = 160,×5 = 160,×16 = 512,64,16 × 5 = 80,A B S,Big
SHA-1,32,×5 = 160,×5 = 160,×5 = 160,×16 = 512,64,16 × 5 = 80,A B S,Big
SHA-256,32,×8 = 256,×8 = 256,×8 = 256,16 × 4 = 64,×16 = 512,64,A B S,Big
SHA-224,32,×7 = 224,×8 = 256,×8 = 256,16 × 4 = 64,64,A B S,Big
SHA-512,64,×8 = 512,×8 = 512,×8 = 512,×16 = 1024,128,16 × 5 = 80,A B S,Big
SHA-384,64,×6 = 384,×8 = 512,×8 = 512,×16 = 1024,128,16 × 5 = 80,A B S,Big
Tiger-192,64,×3 = 192,×3 = 192,×3 = 192,×8 = 512,64,8 × 3 = 24,A B L S,Not Specified
Tiger-160,64,×2.5=160,×3 = 192,×3 = 192,×8 = 512,64,8 × 3 = 24,A B L S,Not Specified
Tiger-128,64,×2 = 128,×3 = 192,×3 = 192,×8 = 512,64,8 × 3 = 24,A B L S,Not Specified
Function,Word,Digest,Chaining values,Computation values,Block,Length,Words × Passes = Rounds,Operations,Endian
Function,Size (bits),Size (bits),Size (bits),Size (bits),Size (bits),Size (bits),Words × Passes = Rounds,Operations,Endian
