Type,Sensor,Class,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
Type,Sensor,Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSLR,MF,Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,645D,645D,645D,645D,645D,645D,645D,645D,645D,645D,645D,645D,645D,645D,645D,645D,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z,645Z
DSLR,FF,Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-1,K-1,K-1,K-1,K-1,K-1,K-1,K-1,K-1 II,K-1 II,K-1 II,K-1 II,K-1 II,K-1 II,K-1 II,K-1 II,K-1 II,K-1 II,K-1 II
DSLR,APS-C,High-end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-3 II,K-3 II,K-3 II,K-3 II,K-3 II,K-3 II,K-3 II,K-3 II,K-3 II,K-3 II,K-3 II,,,,,,,
DSLR,APS-C,High-end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,K-3,,,,,,,,,,,,,,,,
DSLR,APS-C,Advanced,,,,,,,,,,,,,,,,,,,,,,,,K-7,K-7,K-7,K-7,K-7,K-7,K-5,K-5,K-5,K-5,K-5,K-5,K-5,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,K-5 II/K-5 IIs,,,,,,,,,,,,,,,,,,,,
DSLR,APS-C,Advanced,*ist D,*ist D,*ist D,*ist D,*ist D,*ist D,*ist D,*ist D,*ist D,*ist D,*ist D,*ist D,K10D,K10D,K10D,K10D,K10D,K10D,K20D,K20D,K20D,K20D,K20D,K20D,K20D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KP,KP,KP,KP,KP,KP,KP,KP,KP,KP,KP,KP,KP,KP,KP,KP
DSLR,APS-C,Midrange,,,,,,,,,,,,K100D,K100D,K100D,K100D,K100D,100DS,100DS,K200D,K200D,K200D,K200D,,,,,,,,,,,,,,K-30,K-30,K-30,K-30,K-30,K-50,K-50,K-50,K-50,K-50,K-50,K-50,K-50,K-50,K-50,K-50,K-50,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70,K-70
DSLR,APS-C,Entry-level,,,,,*ist DS,*ist DS,*ist DS,*ist DS,*ist DS2,*ist DS2,*ist DS2,*ist DS2,*ist DS2,,,,,,,,,,,,,,,,,K-r,K-r,K-r,K-r,K-r,K-r,K-r,,,,,K-500,K-500,K-500,K-500,K-500,K-500,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,K-S2,,,,,,,,,,,
DSLR,APS-C,Entry-level,,,,,,,,*ist DL,*ist DL,*ist DL,DL2,DL2,K110D,K110D,K110D,K110D,,,,,,K-m/K2000,K-m/K2000,K-m/K2000,K-m/K2000,K-m/K2000,K-x,K-x,K-x,K-x,K-x,,,,,,,,,,,,,,K-S1,K-S1,K-S1,K-S1,K-S1,K-S1,K-S1,K-S1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILC,APS-C,K-mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-01,K-01,K-01,K-01,K-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILC,"1/1.7""",Q-mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7,Q7,Q7,Q7,Q7,Q7,Q7,Q7,Q7,,,,,,,,,,,,,,,,,,,,,,
MILC,"1/1.7""",Q-mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,Q-S1,,,
