,Sensor,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018
,Sensor,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
Professional,Full frame,,,,,,,,,,,,,,,,,,α900,α900,α900,α900,α900,α900,α900,α900,α900,α900,α900,α900,α900,,,,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99 II,α99 II,α99 II,α99 II,α99 II,α99 II,α99 II,α99 II,α99 II
Professional,Full frame,,,,,,,,,,,,,,,,,,,,,,α850,α850,α850,α850,α850,α850,α850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High-end,APS-C,DG-7D,DG-7D,DG-7D,DG-7D,DG-7D,DG-7D,DG-7D,,,,,,α700,α700,α700,α700,α700,α700,α700,α700,,,,,,,,,α77,α77,α77,α77,α77,α77,α77,α77,α77,α77,α77,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II
Midrange,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,α65,α65,α65,α65,α65,α65,α65,α65,α65,α65,α65,α65,,,,,,,α68,α68,α68,α68,α68,α68,α68,α68,α68,α68,α68,α68
Upper-entry,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,α55,α55,α55,α55,α55,α55,α55,α57,α57,α57,α57,,,,,,,,,,,,,,,,,,,,,,,
Upper-entry,APS-C,,,,,,,,,α100,α100,α100,α100,α100,α100,α100,,,,,,α550,α550,α550,α550,α580,α580,α580,α580,α580,α580,α580,,,,,,α58,α58,α58,α58,α58,α58,α58,α58,α58,α58,α58,α58,α58,α58,α58,α58,,,,,,
Upper-entry,APS-C,,,,,DG-5D,DG-5D,DG-5D,,,,,,,,,,,,,,α500,α500,α500,α500,α560,α560,α560,α560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper-entry,APS-C,,,,,,,,,,,,,,,,,,,,,,,α450,α450,α450,α450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entry-level,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,α33,α33,α33,α33,α35,α35,α35,α35,α37,α37,α37,,,,,,,,,,,,,,,,,,,,,,,
Entry-level,APS-C,,,,,,,,,,,,,,,α350,α350,α350,α350,α350,α380,α380,α380,α380,α390,α390,α390,α390,α390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entry-level,APS-C,,,,,,,,,,,,,,,α300,α300,α300,α300,α300,α330,α330,α330,α330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entry-level,APS-C,,,,,,,,,,,,,,,α200,α200,α200,α200,α200,α230,α230,α230,α230,α290,α290,α290,α290,α290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
