Name,Hidden containers,Pre-boot authentication,Single sign-on,Custom authentication,Multiple keys,Passphrase strengthening,Hardware acceleration,TPM,Filesystems,Two-factor authentication
Aloaha Secure Stick,Yes,No,N/A,Yes,Yes,No,No,No,"NTFS, FAT32",Yes
ArchiCrypt Live,Yes[63],No,N/A,No,Yes[63][64],No,No,No,?,Yes[63][65]
BestCrypt,Yes,Yes,?,Yes,Yes[66],Yes,Yes,Yes,Any supported by OS,Yes[67]
BitArmor DataControl,No,Yes,?,No,Yes,Yes,No,No,"NTFS, FAT32 on non-system volumes",No
BitLocker,No,Yes[68],No,Yes[69],Yes[70],Yes[71],Yes,Yes[70],Chiefly NTFS [Note 1],Yes [Note 2]
Bloombase Keyparc,No,No,N/A,Yes,Yes,Yes,Yes,No,?,?
CGD,No,No,N/A,Yes[72],Yes[73],Yes[72],No,No,Any supported by OS,Yes[72]
CenterTools DriveLock,No,Yes,Yes,No,No,Yes,No,No,Any supported by OS,Yes
Check Point Full Disk Encryption,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"NTFS, FAT32",Yes
CipherShed,"Yes (limited to one per ""outer"" container)",only on Windows[74],?,No,yes with multiple keyfiles[75][76],Yes,Yes,No[77],"Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged[78]",Yes
CryFS,No,No,N/A,No,No,Yes[79],No,No,Any supported by OS,No
CrossCrypt,No,No,N/A,No,No,No,No,No,?,No
CryptArchiver,No,No,N/A,No,No,?,No,No,?,?
Cryptic Disk,Yes,No,No,No,Yes,Yes,Yes,No,Any supported by OS,Yes
Cryhod,No,Yes,Yes,No,Yes,Yes,Yes,No,Any supported by OS,Yes
Cryptoloop,No,Yes[80],?,Yes,No,No,Yes[citation needed],No,Any supported by OS,?
Cryptomator,No,No,N/A,No,No,Yes,Yes,No,Any supported by OS,No
CryptoPro Secure Disk Enterprise,Yes with add-on Secure Device,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Any supported by OS,Yes
CryptoPro Secure Disk for BitLocker,Yes with add-on Secure Device,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Any supported by OS,Yes
Cryptsetup / Dmsetup,No,Yes[80],?,Yes,No,No,Yes,No,Any supported by OS,Yes
DiskCryptor,No,Yes,?,No,No,No,Yes[81],No,"Only Windows MBR volumes; no UEFI GPT drives, ReFs",Yes[81]
DISK Protect,No,Yes[82],Yes,No,Yes[82],No,Yes,Yes,"NTFS,FAT32",Yes
Dm-crypt / LUKS,No,Yes[80],?,Yes,Yes,Yes,Yes,Partial[83] [Note 3],Any supported by OS,Yes
DriveCrypt,Yes[84],Yes,Yes,Yes,Yes,Yes,Yes,No,Any supported by OS,Yes
DriveSentry GoAnywhere 2,No,No,N/A,Yes,No,Yes,No,?,Any supported by OS,Yes
E4M,No,No,N/A,No,No,?,No,No,?,No
e-Capsule Private Safe,Yes[85],No,N/A,No,Yes[85],No,Yes,No,?,?
eCryptfs,No,No,N/A,Yes,Yes,Yes,Yes,Yes,Yes[86],Yes
EgoSecure HDD Encryption,No,Yes,Yes,Yes,Yes,Yes,Yes[87],Yes,"NTFS, FAT32",Yes
EncryptUSB,No,No,No,No,No,Yes,No,No,"NTFS, FAT32, exFAT",No
FileVault,No,No,N/A,No,Two passwords[88],Yes[88],?,No,"HFS+, possibly others",No
FileVault 2,No,Yes,Yes,No,Yes,Yes,Yes[89],No,"HFS+, possibly others",No
FREE CompuSec,No,Yes,?,No,No,No,No,No,Any supported by OS,No
FreeOTFE,Yes,No,N/A,Yes[90],Yes[91],Yes,Yes,No,Any supported by OS,Yes
GBDE,No,No[92],N/A,Yes,Yes[93],No[93],No[92],No,Any supported by OS,Yes
GELI,No,Yes[92],?,Yes,Yes[94],Yes[94],Yes[92],No,Any supported by OS,Yes
Loop-AES,No,Yes[95],?,Yes[95],Yes[95],Yes[95],Yes[95],No,Any supported by OS,Yes[96]
McAfee Drive Encryption (SafeBoot),Yes,Yes,Yes,Yes,Yes,Yes,Yes[87][97],Yes,Any supported by OS,Yes
n-Crypt Pro,No,No,N/A,No,No,N/A[98],No,No,?,?
PGPDisk,No,Yes[99],Yes,?,Yes,Yes[100],?,Yes,?,Yes
Private Disk,No,No,N/A,No,Yes,Yes,No,No,Any supported by OS,Yes
ProxyCrypt,Yes,No,No,No,No,Yes,Yes,No,Any supported by OS,Yes
R-Crypto,?,No,N/A,?,?,?,?,?,Any supported by OS,?
SafeGuard Easy,No,Yes,?,No,Yes,Yes,No,Yes[101],Any supported by OS,Yes
SafeGuard Enterprise,No,Yes,Yes,No,Yes,Yes,No,Yes[101],Any supported by OS,Yes
SafeGuard PrivateDisk,No,No,N/A,No,Yes,Yes,No,Yes[102],Any supported by OS,Yes
SafeHouse Professional,No,No,N/A,Yes,Yes,Yes,No,No,Any supported by OS,Yes
Scramdisk,Yes,No,N/A,No,No,No,No,No,?,Last update to web site 2009-07-02
Scramdisk 4 Linux,Yes[103],No,N/A,No,No,Yes[103],No,No,"ext2, ext3, reiserfs, minix, ntfs, vfat/msdos",No
SecuBox,No,No,N/A,No,No,Yes,No,No,?,No
