Client,Written in,License,Access API
BeeGFS,C / C++,"FRAUNHOFER FS (FhGFS) EULA,[41]
GPLv2 client",POSIX
WekaFS[42],D,Proprietary,"POSIX, NFS, SMB, S3, NVIDIA GPUDirect Storage (GDS), CLI, API"
ObjectiveFS[43],C,Proprietary,"POSIX, FUSE"
Spectrum Scale (GPFS),"C, C++",Proprietary,"POSIX, NFS, SMB, Swift, S3, HDFS"
MapR-FS,"C, C++",Proprietary,"POSIX, NFS, FUSE, S3"
PanFS,"C, C++",Proprietary,"DirectFlow, POSIX, NFS, SMB/CIFS, HTTP, CLI"
Infinit[44],C++,Proprietary (to be open sourced)[45],"FUSE, Installable File System, NFS/SMB, POSIX, CLI, SDK (libinfinit)"
Isilon OneFS,C/C++,Proprietary,"POSIX, NFS, SMB/CIFS, HDFS, HTTP, FTP, SWIFT Object, CLI, Rest API"
Scality,C,Proprietary,"FUSE, NFS, REST, AWS S3"
Quobyte,"Java, C++",Proprietary,"POSIX, FUSE, NFS, SMB/CIFS, HDFS, AWS S3,  TensorFlow Plugin, CLI, Rest API"
