,HTML,CHM,RTF,PDF,LaTeX,PostScript,man pages,DocBook,XML,ePub
COBOLDoc,Yes,No,No,No,No,No,No,No,No
Ddoc,Yes,Yes[a],No,Yes[a],Yes[a],Yes[a],Yes[a],No,Yes[a]
Document! X,Yes,Yes,No,No,No,No,No,No,No
Doxygen,Yes,Yes,Yes,Indirectly[b],Yes,Indirectly[b],Yes,Yes,Yes,No
Epydoc,Yes,No,No,Yes,Indirectly[c],Indirectly[c],No,No,No
Haddock,Yes,Yes,No,No,No,No,No,Partial,No
HeaderDoc,Yes,No,No,No,No,No,Yes,No,Yes
Imagix 4D,Yes,No,Yes,No,No,No,No,No,No
Javadoc,Yes,Indirectly[d],Indirectly[d],Indirectly[d],Indirectly[d],Indirectly[d],Indirectly[d],Indirectly[d],Indirectly[d]
JSDoc,Yes,No,No,No,No,No,No,No,No
JsDoc Toolkit,Yes,No,No,No,No,No,No,No,Yes+JSON
Natural Docs,Yes,No,No,No,No,No,No,No,No
NDoc,Yes,Yes,No,No,No,No,No,No,No
pdoc3,Yes,No,No,Indirectly[e],No,No,No,No,No,No
phpDocumentor,Yes,Yes (1.x only),No,Yes (1.x only),No,No,No,Yes (1.x only),Yes (1.x only)
pydoc,Yes,No,No,No,No,No,No,No,No,No
RDoc,Yes,Yes[f],No,No,No,No,Indirectly[g],No,Yes[f]
ROBODoc,Yes,Indirectly,Yes,Indirectly[c],Yes,Indirectly[c],Yes,Yes,No
Sandcastle,Yes,Yes,No,No,No,No,No,No,No
Sphinx,Yes,Yes,,Indirectly[h],Yes,,Yes,,,Yes
Visual Expert,Yes,No,No,No,No,No,No,No,No
VSdocman,Yes,Yes,No,Yes,No,No,No,No,Yes
YARD,Yes,No,No,No,No,No,No,No,No
,HTML,CHM,RTF,PDF,LaTeX,PostScript,man pages,DocBook,XML,ePub
