Client,License,First stable release,First stable release,Latest stable release
Client,License,Date,Version,Latest stable release
Akregator,GNU GPL,?,?,"19.08.2 (October 10, 2019)"
Amarok,GNU GPL,?,?,"2.9 (March 7, 2018; 2 years ago (2018-03-07)) [±]"
AOL Explorer,Proprietary,"June, 2005",1.0,"1.5 (May 10, 2006)"
Avant,Proprietary,"August, 2004",?,"2020 build 3 (March 17, 2020; 7 months ago (2020-03-17)[1]) [±]"
Awasu,Proprietary,"February, 2003",1.0,"3.2 (April 26, 2018)"
BlogBridge,GNU GPL,?,?,6.7
Bloglines,Proprietary,?,?,Merged with NetVibes
Canto,GNU GPL,"January 14, 2009",0.6.0,"0.9.7 (July 31, 2017)"
Claws Mail,GNU GPL,"January, 2005",1.0.0,"3.17.6 (July 13, 2020; 3 months ago (2020-07-13)[2]) [±]"
CommaFeed,Apache License,?,?,"2.4.0 (August 1, 2017)[3]"
Cooliris,?,?,?,?
CyberSEO,Proprietary,"August, 2006",1.0,"8.014 (October 27, 2020)"
Digg Reader,Proprietary,?,?,"Discontinued on March 26, 2018"
Feed Viewer,Proprietary,"April, 2006",1.0,"31 (September 12, 2014)"
FeedDemon,Proprietary,?,?,"4.5.0.0 (Final release on June 19, 2013)[4]"
Feedly,Proprietary,2008,?,"(web site, continuous updates)"
Feedreader,Proprietary,?,?,"3.14 (April 20, 2009[5])"
Flipboard,Proprietary,?,?,
Flock,Proprietary,"November 2, 2007",1.0,"3.5.3.4641 (February 1, 2011; 9 years ago (2011-02-01)) [±]"
Gnus,GNU GPL,"February 1, 1988[6]",?,
Google Reader,Proprietary,"September 17, 2007",2.0,"Discontinued on July 1, 2013[7]"
IBM Lotus Notes,Proprietary,1989,1.0,"11.0.1 (March 31, 2020; 7 months ago (2020-03-31)) [±]"
Inoreader,Proprietary,?,?,"(web site, continuous updates)[8]"
iTunes,Proprietary freeware,?,?,
Juice,GNU GPL,?,?,2.2
K-Meleon,GNU GPL,"November 26, 2000",0.2,"76.3G (August 30, 2020; 2 months ago (2020-08-30)[9]) [±]"
Kazehakase,GNU GPL,"January 29, 2003",?,"0.5.8 (September 29, 2009; 11 years ago (2009-09-29)) [±]"
Liferea,GNU GPL,?,?,"1.12.5 (September 8, 2018; 2 years ago (2018-09-08)[10]) [±]"
Mail (OS X),Proprietary,?,?,"5.2 (1257) (February 1, 2012)"
Maxthon,Proprietary,"September 8, 2005",1.0.0250,"Windows5.3.8.2000 / October 25, 2019; 12 months ago (2019-10-25)[11]Android5.2.3.3241 / January 25, 2019; 21 months ago (2019-01-25)[12]Mac5.1.60 / August 27, 2018; 2 years ago (2018-08-27)[13]iOS5.4.5 / July 21, 2020; 3 months ago (2020-07-21)[14]Windows Phone2.2.0 / March 30, 2017; 3 years ago (2017-03-30)[15]Linux1.0.5.3 / September 9, 2014; 6 years ago (2014-09-09)[16]",Windows,"5.3.8.2000 / October 25, 2019; 12 months ago (2019-10-25)[11]",Android,"5.2.3.3241 / January 25, 2019; 21 months ago (2019-01-25)[12]",Mac,"5.1.60 / August 27, 2018; 2 years ago (2018-08-27)[13]",iOS,"5.4.5 / July 21, 2020; 3 months ago (2020-07-21)[14]",Windows Phone,"2.2.0 / March 30, 2017; 3 years ago (2017-03-30)[15]",Linux,"1.0.5.3 / September 9, 2014; 6 years ago (2014-09-09)[16]"
Windows,"5.3.8.2000 / October 25, 2019; 12 months ago (2019-10-25)[11]"
Android,"5.2.3.3241 / January 25, 2019; 21 months ago (2019-01-25)[12]"
Mac,"5.1.60 / August 27, 2018; 2 years ago (2018-08-27)[13]"
iOS,"5.4.5 / July 21, 2020; 3 months ago (2020-07-21)[14]"
Windows Phone,"2.2.0 / March 30, 2017; 3 years ago (2017-03-30)[15]"
Linux,"1.0.5.3 / September 9, 2014; 6 years ago (2014-09-09)[16]"
MediaMonkey,Freemium,?,?,"4.1.29 (July 10, 2020; 3 months ago (2020-07-10)) [±]"
Microsoft Office Outlook,Proprietary / Commercial software,1997,97,"15.0.4517.1509 (January 29, 2013)"
Mozilla Firefox,MPL,"September 23, 2002",0.1,"Builtin RSS reader was removed in Version 64, Available as an add-on. [17][18][19] 
Standard82.0.2 / October 28, 2020; 8 days ago (2020-10-28)[20]Extended Support Release78.4.0 / October 20, 2020; 16 days ago (2020-10-20)[21]",Standard,"82.0.2 / October 28, 2020; 8 days ago (2020-10-28)[20]",Extended Support Release,"78.4.0 / October 20, 2020; 16 days ago (2020-10-20)[21]"
Standard,"82.0.2 / October 28, 2020; 8 days ago (2020-10-28)[20]"
Extended Support Release,"78.4.0 / October 20, 2020; 16 days ago (2020-10-20)[21]"
Mozilla Thunderbird,MPL,"December 7, 2004",1.0,"
78.4.0[22] (October 20, 2020; 16 days ago (2020-10-20)) [±]"
My Yahoo!, ,?,?,?
NetNewsWire,MIT license [23],"February 11, 2003",1.0,"5.1.1 (October 5, 2020)"
Netscape Browser,Proprietary,"May 19, 2005",8.0,"8.1.3 (April 2, 2007; 13 years ago (2007-04-02)) [±]"
Netscape Navigator 9,Proprietary,"October 15, 2007",9.0,"9.0.0.6 (February 20, 2008)"
Netvibes,Proprietary,?,?,?
News360,Proprietary,"November, 2010",?,?
NewsAccess,?,?,?,?
NewsBlur,MIT license [24],"October 26, 2010",1.0,4.0
NewsFire,Proprietary,?,?,2.0
OmniWeb,Proprietary,"March 17, 1995",1.0,"5.11.2 (July 23, 2012; 8 years ago (2012-07-23)) [±]"
Opera Mail,Proprietary,"December, 1996",2.1,"1.0.1044[25] (February 16, 2016; 4 years ago (2016-02-16)) [±]"
Pegasus Mail,"Proprietary, Donationware",1990,?,4.73 (7 June 2018; 2 years ago (2018-06-07)[26]) [±]
Protopage,Proprietary,"May, 2005",1.0,11.43 (December 2015)
Pulse,?,?,?,?
QuiteRSS,GNU GPL v3,"Dec, 2014",0.14.0,0.19.3 (01.29.2020)
Rhythmbox,GNU GPL,?,?,"3.4.4 (January 4, 2020; 10 months ago (2020-01-04)) [±]"
RSS Bandit,BSD license,"March, 2003",1.0,"1.9.0.1002 (July 4, 2010)"
RSS Guard,GNU GPL,"February 4, 2014",1.9.9.3,"3.7.2 (September 1, 2020)"
RSSOwl,EPL,"December 19, 2004",1.0,"2.2.1 (December 30, 2013; 6 years ago (2013-12-30)) [±]"
Safari,Proprietary,?,?,"macOS14.0 / September 17, 2020; 49 days ago (2020-09-17)[27]iOS14.0 / September 17, 2020; 49 days ago (2020-09-17)[28]",macOS,"14.0 / September 17, 2020; 49 days ago (2020-09-17)[27]",iOS,"14.0 / September 17, 2020; 49 days ago (2020-09-17)[28]"
macOS,"14.0 / September 17, 2020; 49 days ago (2020-09-17)[27]"
iOS,"14.0 / September 17, 2020; 49 days ago (2020-09-17)[28]"
Sage,MPL,?,?,"1.5.5 (June 16, 2017)"
