File system,Hard links,Symbolic links,Block journaling,Metadata-only journaling,Case-sensitive,Case-preserving,File Change Log,XIP
DECtape,No,No,No,No,No,No,No,No
BeeGFS,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Level-D,No,No,No,No,No,No,No,No
RT-11,No,No,No,No,No,No,No,No
APFS,Yes,Yes,?,?,Partial,Yes,?,?
Version 6 Unix file system (V6FS),Yes,No,No,No,Yes,Yes,No,No
Version 7 Unix file system (V7FS),Yes,No[bf],No,No,Yes,Yes,No,No
exFAT,No,No,No,Partial (with TexFAT only),No,Yes,No,No
FAT12,No,No,No,Partial (with TFAT12 only),No,Partial (with VFAT LFNs only),No,No
FAT16 / FAT16B / FAT16X,No,No,No,Partial (with TFAT16 only),No,Partial (with VFAT LFNs only),No,No
FAT32 / FAT32X,No,No,No?,Partial (with TFAT32 only),No,Partial (with VFAT LFNs only),No,No
GFS,Yes,Yes[bg],Yes,Yes[bh],Yes,Yes,No,No
HPFS,No,No,No,No,No,Yes,No,No
NTFS,Yes,Yes[bi],No[bj],Yes[bj] (2000),Yes[bk],Yes,Yes,?
HFS Plus,Yes[37],Yes,No,Yes[bl],Partial[bm],Yes,Yes[bn],No
FFS,Yes,Yes,No,No,Yes,Yes,No,No
UFS1,Yes,Yes,No,No,Yes,Yes,No,No
UFS2,Yes,Yes,No,Yes[bo] [42] [bp],Yes,Yes,No,?
HAMMER,Yes,Yes,Yes,Yes,Yes,Yes,?,No
LFS,Yes,Yes,Yes[bq],No,Yes,Yes,No,No
ext,Yes,Yes,No,No,Yes,Yes,No,No
Xiafs,Yes,Yes,No,No,Yes,Yes,No,No
ext2,Yes,Yes,No,No,Yes,Yes,No,Yes[br]
ext3,Yes,Yes,Yes (2001) [bs],Yes (2001),Yes,Yes,No,Yes
ext4,Yes,Yes,Yes[bs],Yes,"Yes, optional [45]",Yes,No,Yes
NOVA,Yes,Yes,No,Yes,Yes,Yes,No,Yes
F2FS,Yes,Yes,Yes[bq],No,Yes,Yes,No,No
Lustre,Yes,Yes,Yes[bs],Yes,Yes,Yes,Yes,No
NILFS,Yes,Yes,Yes[bq],No,Yes,Yes,No,No
ReiserFS,Yes,Yes,Yes[bt],Yes,Yes,Yes,No,?
Reiser4,Yes,Yes,Yes,No,Yes,Yes,No,?
OCFS,No,Yes,No,No,Yes,Yes,No,No
OCFS2,Yes,Yes,Yes,Yes,Yes,Yes,No,No
XFS,Yes,Yes,Yes,Yes,Yes[bu],Yes,Yes,?
JFS,Yes,Yes,Yes,Yes (1990),Yes[bv],Yes,No,?
QFS,Yes,Yes,No,Yes,Yes,Yes,No,No
BFS,Yes,Yes,No,Yes,Yes,Yes,?,No
NSS,Yes,Yes,?,Yes,Yes[bw],Yes[bw],Yes[bx],No
NWFS,Yes[by],Yes[by],No,No,Yes[bw],Yes[bw],Yes[bx],No
ODS-2,Yes,Yes[bz],No,Yes,No,No,Yes,No
ODS-5,Yes,Yes[bz],No,Yes,No,Yes,Yes,?
UDF,Yes,Yes,Yes[bq],Yes[bq],Yes,Yes,No,Yes
VxFS,Yes,Yes,Yes,No,Yes,Yes,Yes,?
Fossil,No,No,No,No,Yes,Yes,Yes,No
ZFS,Yes,Yes,Yes[ca],No[ca],Yes,Yes,No,No
Btrfs,Yes,Yes,Yes,Yes,Yes,Yes,?,?
Minix V1,Yes,Yes,No,No,Yes,Yes,No,No
Minix V2,Yes,Yes,No,No,Yes,Yes,No,No
Minix V3,Yes,Yes,No,No,Yes,Yes,No,No
VMFS2,Yes,Yes,No,Yes,Yes,Yes,No,No
VMFS3,Yes,Yes,No,Yes,Yes,Yes,No,No
ReFS,No,Yes,?,?,Yes[bk],Yes,?,?
ISO 9660,No,No,No,No,No,No,No,No
Rock Ridge,Yes,Yes,No,No,Yes,Yes,No,No
"Joliet (""CDFS"")",No,No,No,No,No,Yes,No,No
SquashFS,Yes,Yes,No,No,Yes,Yes,No,No
File system,Hard links,Symbolic links,Block journaling,Metadata-only journaling,Case-sensitive,Case-preserving,File Change Log,XIP
