Licence,Author,Latest version,Publication date,Linking,Distribution,Modification,Patent grant,Private use,Sublicensing,TM grant
 ,,,,,,,,,,
Academic Free License[11],Lawrence E. Rosen,3.0,2002,Permissive,Permissive,Permissive,Yes,Yes,Permissive,No
Affero General Public License,Affero Inc,2.0,2007,Copylefted[12],Copyleft except for the GNU AGPL[12],Copyleft[12],?,Yes[12],?,?
Apache License,Apache Software Foundation,2.0,2004,Permissive[13],Permissive[13],Permissive[13],Yes[13],Yes[13],Permissive[13],No[13]
Apple Public Source License,Apple Computer,2.0,"2003August 6, 2003",Permissive,?,Limited,?,?,?,?
Artistic License,Larry Wall,2.0,2000,With restrictions,With restrictions,With restrictions,No,Permissive,With restrictions,No
Beerware,Poul-Henning Kamp,42,1987,Permissive,Permissive,Permissive,No,Permissive,Permissive,No
BSD License,Regents of the University of California,3.0,?,Permissive[14],Permissive[14],Permissive[14],Manually[14],Yes[14],Permissive[14],Manually[14]
Boost Software License,?,1.0,"2003August 17, 2003",Permissive,?,Permissive,?,?,?,?
Creative Commons Zero,Creative Commons,1.0,2009,Public Domain[15][16],Public Domain,Public Domain,No,Public Domain,Public Domain,No
CC BY,Creative Commons,4.0,2002,Permissive[17],Permissive,Permissive,No,Yes,Permissive,No
CC BY-SA,Creative Commons,4.0,2002,Copylefted[17],Copylefted,Copylefted,No,Yes,Copylefted[18],No
CeCILL,CEA / CNRS / INRIA,2.1,"2005June 21, 2013",Permissive,Permissive,Permissive,No,Permissive,With restrictions,No
Common Development and Distribution License,Sun Microsystems,1.0,"2004-12December 1, 2004",Permissive,?,Limited,?,?,?,?
Common Public License,IBM,1.0,2001May 2001,Permissive,?,Copylefted,?,?,?,?
Cryptix General License,Cryptix Foundation,N/A,1995,Permissive,Permissive,Permissive,Manually,Yes,?,Manually
Eclipse Public License,Eclipse Foundation,2.0,"August 24, 2017",Limited[19],Limited[19],Limited[19],Yes[19],Yes[19],Limited[19],Manually[19]
Educational Community License,Indiana University[20],1.0,2007,Permissive,?,Permissive,?,?,?,?
European Union Public Licence,European Commission,1.2,2009May 2017,"Permissive, according to EU law (Recitals 10 & 15 Directive 2009/24/EC)","Copylefted, with an explicit compatibility list[21]","Copylefted, with an explicit compatibility list[21]",Yes[22],Yes[22],"Copylefted, with an explicit compatibility list[21]",No[22]
FreeBSD,The FreeBSD project,N/A,1999April 1999,Permissive[23],Permissive[23],Permissive[23],Manually[23],Permissive[23],Permissive[23],Manually[23]
GNU Affero General Public License,Free Software Foundation,3.0,2007,GNU GPLv3 only[24],Copylefted[25],Copylefted[25],Yes[26],No network usage[26],Copylefted[25],Yes[26]
GNU General Public License,Free Software Foundation,3.0,2007June 2007,GPLv3 compatible only[27][28],Copylefted[25],Copylefted[25],Yes[29],Yes[29],Copylefted[25],Yes[29]
GNU Lesser General Public License,Free Software Foundation,3.0,2007June 2007,With restrictions[30],Copylefted[25],Copylefted[25],Yes[31],Yes,Copylefted[25],Yes[31]
IBM Public License,IBM,1.0,1999August 1999,Copylefted,?,Copylefted,?,?,?,?
ISC license,Internet Systems Consortium,N/A,2003June 2003,Permissive,Permissive,Permissive,Manually,Permissive,Permissive,Manually
LaTeX Project Public License,LaTeX project,1.3c,?,Permissive,?,Permissive,?,?,?,?
Microsoft Public License,Microsoft,N/A,?,Copylefted,Copylefted,Copylefted,No,Permissive,?,No
MIT license / X11 license,MIT,N/A,1988,Permissive[32],Permissive[32],Permissive[32],Manually[32],Yes[32],Permissive[32],Manually[32]
Mozilla Public License,Mozilla Foundation,2.0,"2012January 3, 2012",Permissive[33],Copylefted[33],Copylefted[33],Yes[33],Yes[33],Copylefted[33],No[33]
Netscape Public License,Netscape,1.1,?,Limited,?,Limited,?,?,?,?
Open Software License[11],Lawrence Rosen,3.0,2005,Permissive,Copylefted,Copylefted,Yes,Yes,Copylefted,?
OpenSSL license,OpenSSL Project,N/A,?,Permissive,?,Permissive,?,?,?,?
PHP License[34],PHP Group,3.01,2019,With restrictions,With restrictions,With restrictions,Yes,Yes,With restrictions,Manually
Python Software Foundation License,Python Software Foundation,2,?,Permissive,?,Permissive,?,?,?,?
Q Public License,Trolltech,?,?,Limited,?,Limited,?,?,?,?
Sleepycat License,Sleepycat Software,N/A,1996,Permissive,With restrictions,Permissive,No,Yes,No,No
Unlicense,unlicense.org,1,2010December 2010,Permissive/Public domain,Permissive/Public domain,Permissive/Public domain,?,Permissive/Public domain,Permissive/Public domain,?
W3C Software Notice and License,W3C,20021231,"2002December 31, 2002",Permissive,?,Permissive,?,?,?,?
Do What The Fuck You Want To Public License (WTFPL),"Banlu Kemiyatorn, Sam Hocevar",2,2004December 2004,Permissive/Public domain,Permissive/Public domain,Permissive/Public domain,No,Yes,Yes,No
"XCore Open Source License also separate ""Hardware License Agreement""",XMOS,?,2011February 2011,Permissive,Permissive,Permissive,Manually,Yes,Permissive,?
XFree86 1.1 License,"The XFree86 Project, Inc",?,?,Permissive,?,Permissive,?,?,?,?
zlib/libpng license,Jean-Loup Gailly and Mark Adler,?,?,Permissive,?,Permissive,?,?,?,?
