,Access control list,Form CAPTCHA,Staff action logging,PA/DSS certified
Apache OFBiz,Yes,Yes,Yes,No
Batavi,Yes,No,Yes,No
Bigcommerce,Yes,Yes,Yes,No
Drupal Commerce,Yes,add-on,Yes,No
KonaKart,Yes,No,Yes,No
Magento,Yes,Yes,enterprise,No
Miva Merchant,No,Yes,No,Yes
nopCommerce,Yes,Yes,Yes,No
osCommerce,Yes,No,No,No
pimcore,Yes,No,No,No
PrestaShop,Yes,Yes,No,No
Shopify,Yes,Yes,Yes,No
SupaDupa,Yes,No,No,No
WooCommerce,No,add-on,No,No
Zen Cart,Yes,add-on,Yes,No
,Access control list,Form CAPTCHA,Staff action logging,PA/DSS certified
