,Maximum file size,Partial file loading,Disk sector editing,Process memory editing,Data inspector,Bit editing,Insert/delete bytes,Character encodings(ao),Search Unicode,File structure view,Disassembler,File compare,Find in files,Bookmarks,Macro,Text editor
HxD,8 EiB[2],Yes,Windows 9x/NT and up,Yes,Yes,Yes,Yes,"ANSI, ASCII, OEM, EBCDIC, Macintosh",Yes,No,Yes,Yes,Yes,Yes,,No
010 Editor,8 EiB,Yes,Yes,WinNT only,Yes,Yes,Yes,"ANSI, OEM, Unicode, UTF-8, EBCDIC, Custom",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
beye,8 PiB,Yes,No,,,Yes,Yes,"ANSI, EBCDIC, ASCII, Macintosh",Yes,,"AVR, Java, x86, i386, x86-64, ARM/XScale, PowerPC, PPC64",,,Yes,No
bvi,Unlimited[citation needed],Yes,,,,Yes,Yes,"ANSI, ASCII",,No,No,,Yes and replace,,Yes
Emacs,Limited by RAM,,No,No,No,No,Yes,,,No,No,,,,Yes,Yes
FlexHex,Unlimited[citation needed],Yes,Yes,,Yes,Yes,Yes,"ANSI, OEM, UTF-16",Yes,Yes,No,Yes,No,Yes,,No
Frhed,Limited by RAM,Yes,No(read only),,,Yes,Yes,"ANSI, OEM",Yes,Yes,No,Yes,No,Yes,No
Hiew,Unlimited[citation needed],Yes,WinNT only,,Yes,Yes,Yes,"ASCII,OEM, Unicode,Custom",Yes,Yes,"x86, x86-64, MMX, SSE 4.2, 3DNow! - all assembler, ARM",,Yes,Yes,Yes
VEDIT,"Standard, 2 GiB, Pro 64, unlimited[citation needed]",Yes,DOS version only,,No,Yes,Yes,"ANSI, OEM, EBCDIC, ASCII, custom",No,No,No,Yes,Yes,Yes,Yes,Yes
UltraEdit,>4 GiB,Yes,No,No,No,No,Yes,"ANSI, OEM, EBCDIC, ASCII, Mac, Unix, UTF-8",Yes,Yes,No,Yes,Yes,Yes
WinHex,Unlimited[citation needed],Yes,Yes,,Yes,Yes,Yes,"Partial support of these formats: ANSI, UNICODE, OEM, UTF-8/UTF-16, EBCDIC, ASCII",Yes,Yes,Only x86 Intel opcodes,Yes,Yes and replace,,Yes[3],No
vim,Limited by RAM,No,No,No,No,Yes[4],Yes,"ASCII, ISO-8859, DOS (OEM), UTF-8, UTF-16, partial EBCDIC (compilation required), unicode",Yes,No,No,Yes[5],No,Plug-in[6],Yes,Yes
,Maximum file size,Partial file loading,Disk sector editing,Process memory editing,Data inspector,Bit editing,Insert/delete bytes,Character encodings(ao),Search Unicode,File structure view,Disassembler,File compare,Find in files,Bookmarks,Macro,Text editor
