Client,Developer,First public release,Monthly active users,Registration requirement,License,Operating system,Operating system,Operating system,Operating system,Operating system,Operating system,E2EE 2-user chat,E2EE group chat,File transfer,Voice recording,Client,Voice chat,Video chat,Read receipts,Editing sent messages,Deleting sent messages,"Custom
emoji",Stickers,Self-destructing messages,Lock screen,Screenshot protection (Android only)[1],App screenshot notification,User screenshot notification[2],Local encrypted,Themes / skins,Plugins,Peer-to-peer text chat,Open source servers,Federated servers,Privacy law compliant,Client
Client,Developer,First public release,Monthly active users,Registration requirement,License,Windows,macOS,Linux,Web,Android,iOS,E2EE 2-user chat,E2EE group chat,File transfer,Voice recording,Client,Voice chat,Video chat,Read receipts,Editing sent messages,Deleting sent messages,"Custom
emoji",Stickers,Self-destructing messages,Lock screen,Screenshot protection (Android only)[1],App screenshot notification,User screenshot notification[2],Local encrypted,Themes / skins,Plugins,Peer-to-peer text chat,Open source servers,Federated servers,Privacy law compliant,Client
ADAMANT Messenger,ADAMANT TECH LABS,"September 2, 2017; 3 years ago",,Nothing required,GPLv3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,ADAMANT Messenger,No,No,No,No,No,No,No,No,No,No,No,No,?,N/A,No,N/A,Yes,Yes,,ADAMANT Messenger
Discord,Discord Inc.,"March 6, 2015; 5 years ago (2015-03-06)",250 million (2019)[2],Email,Proprietary Freeware,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Discord,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,?,No,No,No,No,No,No,Discord
eBuddy,Paulo Taylor,"March 9, 2003; 17 years ago (2003-03-09)",,Phone number,Proprietary Freeware,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,eBuddy,Yes,Yes,Yes,No,Partial,No,No,Yes,Yes,?,?,?,?,Yes,No,No,No,No,No,eBuddy
Facebook Messenger,"Facebook, Inc.","August 9, 2011; 9 years ago (2011-08-09)",1300 million (2019)[2],Facebook account,Proprietary Freeware,Yes,Yes,No,Yes,Yes,Yes,Optional,No,Yes,Yes,Facebook Messenger,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,?,?,?,?,Yes,Yes,No,No,No,No,Facebook Messenger
FireChat,Open Garden,March 2014; 6 years ago (2014-03),,Email,Proprietary Freeware,No,No,No,No,Yes,Yes,Optional,Yes,Yes,Yes,FireChat,Yes,Yes,Yes,No,No,No,Yes,No,No,?,?,?,?,Yes,No,Optional,Yes,Yes,No,FireChat
Gadu-Gadu,Łukasz Foltyn / GG Network S.A.,"August 15, 2000; 20 years ago (2000-08-15)",,Email,Proprietary Freeware,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Gadu-Gadu,Yes,,,,,No,,,,?,?,?,?,,No,No,No,,,Gadu-Gadu
Gajim,Yann Le Boulanger,"May 21, 2004; 16 years ago (2004-05-21)",,Email,GPL,Yes,No,Yes,No,No,No,Optional,Plug-in,Yes,No,Gajim,Yes,Yes,,Yes,,Yes,,No,,?,?,?,?,Yes,Yes,No,Yes,Yes,No,Gajim
ICQ,Mail.Ru,November 1996; 23 years ago (1996-11),,Phone number,Proprietary Freemium adware,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,ICQ,Yes,Yes,,,,Yes,,,,?,?,?,?,Yes,Yes,No,,,,ICQ
Jami,Savoir-faire Linux Inc.,2014; 6 years ago (2014),,N/A,GPLv3,Yes,Yes,Yes,No,Yes,Yes,Yes[3],No groupchat,Yes,Yes,Jami,Yes,Yes,No,No,Partial,No,No,No,No,?,?,?,?,Yes,No,Yes,Yes,N/A,Yes,Jami
