System,Web,Mobile web,Email,CLI,GUI,REST,SOAP,Mylyn[51],Visual Studio,IntelliJ IDEA,Others
Apache Bloodhound,Yes,No,Optional[52][53],No,No,No,No,Yes,No,No,Yes XMLRPC
Assembla Tickets,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No
Axosoft,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes - iPhone
Bugzilla,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No[54],Yes,Yes XMLRPC[55]
Debbugs,No,No,Yes,Yes,No,No,No,No,No,No,No
Faveo Helpdesk,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes - Android App iOS App
FogBugz,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes XML
Fossil,Yes,No,No,Yes,No,No,No,No,No,No,No
FusionForge,Yes,No,No,No,No,No,Yes,No,No,No,No
GLPI,Yes,No,Yes,No,No,Yes,No,No,No,No,No
GNATS,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
HP Quality Center,Yes,No,No,No,Yes[56],Yes,No,Yes[57],No[54],"Yes, via plugin",Yes]
Jira,Yes,Yes[58],Yes,Yes[59],Yes,Yes,Yes,Yes,No[54],Yes,"Yes - Android App, iPhone App"
Launchpad,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes - Python[60]
MantisBT,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes - Android App
Microsoft Dynamics CRM,Yes,No,Yes,No,No,No,Yes,No,No,No,No
org-mode,No,No,No,Yes,No,No,No,No,No,No,No
OTRS,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No
Phabricator,Yes,No,Yes,Yes,Yes,Yes,No,No,No,"Yes, via plugin",No
Pivotal Tracker,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,"Yes - XML, iOS App"
Redmine,Yes,Yes[61],Yes,Partial [notes 2],No,Yes,No,Yes,No,Yes,"Yes - Android App, iOS App"
Request Tracker,Yes,No,Yes,Yes,No,Yes[62],No,No,No,No,No
Roundup,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes XMLRPC[63]
StarTeam,Yes,No,No,No,Yes,No,No,No,Yes,No,No
Supportworks,Yes,No,Yes,No,Yes,Yes[64],No,No,No,No,No
SysAid,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No
Team Foundation Server,Yes,No,Yes,Yes,No,No,Yes,Yes,No,"Yes, via plugin",No
TestTrack,Yes,No,Yes,No,Yes,No,Yes,No,No,No,"Yes - XML, Eclipse"
Trac,Yes,No[65],Optional[52],No,No,No,No,Yes,No,Yes,Yes XMLRPC
TrackerSuite.Net,Yes,No,Yes,No,No,No,No,No,No,No,No
Trello,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No
Tuleap,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
Twproject,Yes,No,Yes,No,No,No,No,No,No,No,No
Wrike,Yes,No,No,No,No,No,No,No,No,"Yes, via plugin",No
YouTrack,Yes,Yes[66],Yes,No,Yes,Yes,No,Yes[67],No,Yes,No
System,Web,Mobile Web,Email,CLI,GUI,REST,SOAP,Mylyn[51],Visual Studio,IntelliJ IDEA,Others
