System,Git,Mercurial,Bazaar,Monotone,Darcs,CVS,Subversion,Perforce,AccuRev,ClearCase,Others
Apache Bloodhound,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optional[70],Yes,No,No
Assembla Tickets,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No
Axosoft,Yes,Yes[71],No,No,No,No,Yes,Yes,No,No,"Yes VSS, Vault Sourcegear"
Bugzilla,Yes[72],Yes[73],Yes,No,No,Yes,Yes,Yes,Yes,No,No
Debbugs,No,No,No,No,No,No,No,No,No,No,No
Faveo Helpdesk,No,No,No,No,No,No,No,No,No,No,No
FogBugz,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,2[74]
Fossil,No,No,No,No,No,No,No,No,Yes,No,1[75]
FusionForge,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No
GNATS,No,No,No,No,No,Yes,No,No,No,No,No
HP Application Lifecycle Management,No,No,No,No,No,Yes,Yes,Yes[76],Yes,No,No
Jira,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes[77],No[78],Yes[79]
MantisBT,Yes,Yes[80],No,No,No,Yes,Yes,No,No,No,No
Microsoft Dynamics CRM,No,No,No,No,No,No,No,No,No,No,No
org-mode,No,No,No,No,No,No,No,No,No,No,No
OTRS,No,No,No,No,No,No,No,No,No,No,No
Phabricator,Yes,Yes,No,No,No,No,Yes,No,No,No,No
Pivotal Tracker,Yes,No,No,No,No,Yes,Yes,No,No,No,No
Redmine,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes[76],No,No,No
Request Tracker,No,No,No,No,No,Yes,Yes,No,No,No,No
Roundup,No,No,No,No,Yes,No,Yes,No,No,No,No
StarTeam,No,No,No,No,No,No,No,No,No,No,Yes - StarTeam includes revision control
Supportworks,No,No,No,No,No,No,No,No,No,No,No
SysAid,No,No,No,No,No,No,Yes,No,No,No,No
Team Foundation Server,Yes[81],No,Yes[82],No,No,No,Yes[83],No,No,No,Yes - TFS includes revision control
TestTrack,Yes,No,No,No,No,Yes,Yes,Yes,No,No,"Yes - Surround SCM, VSS"
Trac,Yes,Yes,Yes,Yes,Yes,No,Yes,Optional[70],Yes,No,No
TrackerSuite.Net,No,No,No,No,No,No,No,No,No,No,No
Tuleap,Yes,No,No,No,No,Yes,Yes,No,No,No,No
Twproject,No,No,No,No,No,No,Yes,No,No,No,No
Wrike,No,No,No,No,No,No,Yes,No,No,No,No
YouTrack,Yes[84],Yes[84],No,No,No,Yes[84],Yes[84],Yes[84],No,Yes[84],3[84][85]
System,Git,Mercurial,Bazaar,Monotone,Darcs,CVS,Subversion,Perforce,AccuRev,ClearCase,Others
