System,Docker Image,Helm chart
Apache Bloodhound,Unknown,Unknown
Assembla Tickets,Unknown,Unknown
Axosoft,Unknown,Unknown
Bugzilla,Yes (Not official) [102],Yes[103]
Debbugs,Unknown,Unknown
Faveo Helpdesk,Unknown,Unknown
FogBugz,Unknown,Unknown
Fossil,Unknown,Unknown
FusionForge,Unknown,Unknown
GLPI,Unknown,Unknown
GNATS,Unknown,Unknown
HP Quality Center,Unknown,Unknown
Jira,Unknown,Unknown
MantisBT,Yes (Not official) [104],Unknown
Microsoft Dynamics CRM,Unknown,Unknown
org-mode,Unknown,Unknown
OTRS,Unknown,Unknown
Phabricator,Unknown,Unknown
Pivotal Tracker,Unknown,Unknown
Redmine,Yes (Official) [105],Yes (Bitnami) [106]
Request Tracker,Unknown,Unknown
Roundup,Unknown,Unknown
StarTeam,Unknown,Unknown
Supportworks,Unknown,Unknown
SysAid,Unknown,Unknown
Team Foundation Server,Unknown,Unknown
TestTrack,Unknown,Unknown
Trac,Unknown,Unknown
TrackerSuite.Net,Unknown,Unknown
Tuleap,Unknown,Unknown
Twproject,Unknown,Unknown
Wrike,Unknown,Unknown
YouTrack,Unknown,Unknown
System,Docker Image,Helm chart
