,,Trident,Tasman,Gecko,WebKit,KHTML,Presto
Exception DOMException,Exception DOMException,Exception DOMException,Exception DOMException,Exception DOMException,Exception DOMException,Exception DOMException,Exception DOMException
DOM1,code,5.0[t 1],?,1.0,?,?,1.0
Interface DOMStringList,Interface DOMStringList,Interface DOMStringList,Interface DOMStringList,Interface DOMStringList,Interface DOMStringList,Interface DOMStringList,Interface DOMStringList
DOM3,length,6.0[t 2],No,1.6,No,?,2.0
DOM3,contains(),6.0[t 2],No,1.6,No,?,2.0
DOM3,item(),6.0[t 2],No,1.6,No,?,2.0
Interface NameList,Interface NameList,Interface NameList,Interface NameList,Interface NameList,Interface NameList,Interface NameList,Interface NameList
DOM3,length,No,No,1.6,No,No,No
DOM3,getName(),No,No,1.6,No,No,No
DOM3,getNamespaceURI(),No,No,1.6,No,No,No
DOM3,contains(),No,No,1.6,No,No,No
DOM3,containsNS(),No,No,1.6,No,No,No
Interface DOMImplementationList,Interface DOMImplementationList,Interface DOMImplementationList,Interface DOMImplementationList,Interface DOMImplementationList,Interface DOMImplementationList,Interface DOMImplementationList,Interface DOMImplementationList
DOM3,length,No,No,No,No,No,No
DOM3,item(),No,No,No,No,No,No
Interface DOMImplementationSource,Interface DOMImplementationSource,Interface DOMImplementationSource,Interface DOMImplementationSource,Interface DOMImplementationSource,Interface DOMImplementationSource,Interface DOMImplementationSource,Interface DOMImplementationSource
DOM3,getDOMImplementation(),No,No,No,No,No,No
DOM3,getDOMImplementationList(),No,No,No,No,No,No
Interface DOMImplementation,Interface DOMImplementation,Interface DOMImplementation,Interface DOMImplementation,Interface DOMImplementation,Interface DOMImplementation,Interface DOMImplementation,Interface DOMImplementation
DOM1,hasFeature(),6.0,?,1.0,Yes,?,1.0
DOM2,createDocumentType(),9.0[t 3],No,1.0,Yes,?,1.0
DOM2,createDocument(),9.0[t 3],No,1.0,Yes,?,1.0
DOM3,getFeature(),No,No,No,No,?,1.0
Interface DocumentFragment,Interface DocumentFragment,Interface DocumentFragment,Interface DocumentFragment,Interface DocumentFragment,Interface DocumentFragment,Interface DocumentFragment,Interface DocumentFragment
DOM1,(no properties),6.0,No,1.0,?,?,1.0
Interface Document,Interface Document,Interface Document,Interface Document,Interface Document,Interface Document,Interface Document,Interface Document
DOM1,doctype,9.0,Yes,Partial,Yes,?,1.0
DOM1,createElement(),4.0,Yes,1.0,Yes,?,1.0
DOM1,createTextNode(),5.0,Yes,1.0,Yes,?,1.0
DOM1,createAttribute(),6.0,Yes,1.0,Yes,?,1.0
DOM1,documentElement,5.0,Yes,1.0,Yes,?,1.0
DOM1,getElementsByTagName(),5.0,Yes,1.0,Yes,?,1.0
DOM1,implementation,6.0,Yes,1.0,Yes,?,1.0
DOM1,createDocumentFragment(),6.0,No,1.0,Yes,?,1.0
DOM1,createComment(),6.0,No,1.0,Yes,?,1.0
DOM1,createCDATASection(),9.0[t 3],No,1.0,Yes,?,1.0
DOM1,createProcessingInstruction(),9.0[t 3],?,1.7,Yes,?,1.0
DOM1,createEntityReference(),No,?,No [1],Yes,?,No
DOM2,importNode(),9.0[t 3],No,1.0,Yes,?,1.0
DOM2,createElementNS(),9.0[t 3],No,1.0,Yes,?,1.0
DOM2,createAttributeNS(),9.0[t 3],No,1.0,Yes,?,1.0
DOM2,getElementsByTagNameNS(),9.0[t 3],No,1.0,Yes,?,1.0
DOM2,getElementById(),8.0,Yes,1.0,Yes,?,2.1
DOM3,adoptNode(),9.0[t 3],No,1.7,Yes,?,2.0
DOM3,inputEncoding,9.0[t 3],No,1.7,No,?,No
DOM3,xmlEncoding,9.0[t 3],No,1.7,No,?,No
DOM3,xmlStandalone,9.0[t 3],No,1.7,No,?,No
DOM3,xmlVersion,9.0[t 3],No,1.7,No,?,No
DOM3,domConfig,No,No,No,No,?,No
DOM3,strictErrorChecking,No,No,1.7,No,?,No
DOM3,documentURI,No,No,1.7,No,?,No
DOM3,normalizeDocument(),No,No,1.7,No,?,No
DOM3,renameNode(),No,No,1.7,No,?,No
Interface Node,Interface Node,Interface Node,Interface Node,Interface Node,Interface Node,Interface Node,Interface Node
DOM1,nodeName,5.0,Yes,1.0,Yes,?,1.0
DOM1,nodeValue,5.0,Yes,1.0,Yes,?,1.0
DOM1,nodeType,5.0,Yes,1.0,Yes,?,1.0
DOM1,parentNode,5.0,Yes,1.0,Yes,?,1.0
DOM1,childNodes,5.0,Yes,1.0,Yes,?,1.0
DOM1,firstChild,5.0,Yes,1.0,Yes,?,1.0
DOM1,lastChild,5.0,Yes,1.0,Yes,?,1.0
DOM1,previousSibling,5.0,Yes,1.0,Yes,?,1.0
DOM1,nextSibling,5.0,Yes,1.0,Yes,?,1.0
DOM1,attributes,5.0,Yes,1.0,Yes,?,1.0
DOM1,cloneNode(),5.0,Yes,1.0,Yes,?,1.0
DOM1,insertBefore(),5.0,Yes,Partial,Yes,?,1.0
DOM1,replaceChild(),5.0,Yes,Partial,Yes,?,1.0
DOM1,removeChild(),5.0,Yes,Partial,Yes,?,1.0
DOM1,appendChild(),5.0,Yes,Partial,Yes,?,1.0
DOM1,ownerDocument,6.0,Yes,1.9,Yes,?,1.0
DOM1,hasChildNodes(),6.0,Yes,1.0,Yes,?,1.0
DOM2,namespaceURI,5.0,Yes,1.0,Yes,?,1.0
DOM2,prefix,5.0,Yes,1.0,Yes,?,1.0
DOM2,localName,5.0,Yes,1.0,Yes,?,1.0
DOM2,isSupported(),9.0[t 3],Yes,1.0,Yes,?,1.0
DOM2,hasAttributes(),9.0[t 3],Yes,1.0,Yes,?,1.0
DOM3,isSameNode(),9.0,No,1.8,Yes,?,2.1
DOM3,compareDocumentPosition(),9.0[t 3],No,1.7,Yes,4.2.4,2.1
DOM3,baseURI,No,No,1.7,Yes,?,Yes
DOM3,textContent,9.0[t 3],No,1.7,Yes,?,2.0
DOM3,lookupPrefix(),9.0[t 3],No,1.7,Yes,?,2.0
DOM3,isDefaultNamespace(),9.0[t 3],No,1.7,Yes,?,2.0
DOM3,lookupNamespaceURI(),9.0[t 3],No,1.7,Yes,?,2.0
DOM3,getFeature(),No,No,1.7,Yes,?,2.0
DOM3,setUserData(),No,No,1.7,Yes,?,No
DOM3,getUserData(),No,No,1.7,Yes,?,No
DOM3,isEqualNode(),9.0[t 3],No,1.9,Yes,?,2.7
Interface NodeList,Interface NodeList,Interface NodeList,Interface NodeList,Interface NodeList,Interface NodeList,Interface NodeList,Interface NodeList
DOM1,length,5.0,Yes,1.0,Yes,?,1.0
DOM1,item(),5.0,Yes,1.0,Yes,?,1.0
Interface NamedNodeMap,Interface NamedNodeMap,Interface NamedNodeMap,Interface NamedNodeMap,Interface NamedNodeMap,Interface NamedNodeMap,Interface NamedNodeMap,Interface NamedNodeMap
DOM1,length,5.0,Yes,1.0,Yes,?,1.0
DOM1,getNamedItem(),5.0,Yes,1.0,Yes,?,1.0
DOM1,setNamedItem(),5.0,Yes,1.0,Yes,?,1.0
DOM1,removeNamedItem(),5.0,Yes,1.0,Yes,?,1.0
DOM1,item(),5.0,Yes,1.0,Yes,?,1.0
DOM2,getNamedItemNS(),9.0[t 3],No,1.0,Yes,?,1.0
DOM2,setNamedItemNS(),9.0[t 3],No,1.0,Yes,?,1.0
DOM2,removeNamedItemNS(),9.0[t 3],No,1.0,Yes,?,1.0
Interface CharacterData,Interface CharacterData,Interface CharacterData,Interface CharacterData,Interface CharacterData,Interface CharacterData,Interface CharacterData,Interface CharacterData
DOM1,data,4.0,Yes,1.0,Yes,?,1.0
DOM1,length,4.0,Yes,1.0,Yes,?,1.0
