,Trident,Gecko,WebKit,KHTML,Presto
Phrase,Phrase,Phrase,Phrase,Phrase,Phrase
em,<3.1[IE 4.0],1.0,Yes,Yes,1.0
strong,<3.1[IE 4.0],1.0,Yes,Yes,1.0
dfn,<3.1[IE 4.0],1.0,Yes,Yes,1.0
code,<3.1[IE 4.0],1.0,Yes,Yes,1.0
samp,<3.1[IE 4.0],1.0,Yes,Yes,1.0
kbd,<3.1[IE 4.0],1.0,Yes,Yes,1.0
var,<3.1[IE 4.0],1.0,Yes,Yes,1.0
cite,<3.1[IE 4.0],1.0,Yes,Yes,1.0
acronym,<3.1[IE 4.0],1.0,Yes,Yes,1.0
abbr,3.1,1.0,Yes,Yes,1.0
Quotations,Quotations,Quotations,Quotations,Quotations,Quotations
blockquote,<3.1[IE 4.0],1.0,Yes,Yes,1.0
q,4.0,1.8[note 1],Yes,Yes,1.0
Subscripts and superscripts,Subscripts and superscripts,Subscripts and superscripts,Subscripts and superscripts,Subscripts and superscripts,Subscripts and superscripts
sub,<3.1[IE 4.0],1.0,Yes,Yes,1.0
sup,<3.1[IE 4.0],1.0,Yes,Yes,1.0
Lines and paragraphs,Lines and paragraphs,Lines and paragraphs,Lines and paragraphs,Lines and paragraphs,Lines and paragraphs
p,<3.1[IE 4.0],1.0,Yes,Yes,1.0
pre,<3.1[IE 4.0],1.0,Yes,Yes,1.0
br,<3.1[IE 5.0],1.0,Yes,Yes,1.0
Marking document changes,Marking document changes,Marking document changes,Marking document changes,Marking document changes,Marking document changes
ins,<3.1[IE 4.0],1.0,Yes,Yes,1.0
del,<3.1[IE 4.0],1.0,Yes,Yes,1.0
