,,Trident,EdgeHTML,Gecko,WebKit,Blink,KHTML[n 1],Presto
JPEG,JPEG,3.0,Yes,1.0,85,Yes,Yes,1.0
JPEG 2000,JPEG 2000,No,No,No[2],Dropped[n 2],No,No,No
JPEG XR,JPEG XR,5.0[4],Yes,No[5],No,No,No,No
GIF,GIF 89a,3.0,Yes,1.0,85,Yes,Yes,1.0
GIF,GIF 87a,3.0,Yes,1.0,85,Yes,Yes,1.0
PNG,1.2,3.1,Yes,1.0,85,Yes,Yes,1.0
PNG,1.1,3.1,Yes,1.0,85,Yes,Yes,1.0
PNG,1.0,3.1,Yes,1.0,85,Yes,Yes,1.0
APNG,APNG,No,No,3.0,528,59.0,No,9.5
BMP,BMP,Yes,Yes,Yes,Yes,Yes,Yes,1.0
ICO,ICO,Yes,Yes,Yes,Yes,Yes,Yes,1.0
TIFF,TIFF,5.0[4],Yes,No[6],No,No,Yes[7],No
WebP,WebP,No,17 [8],65[9],534.10[10],Yes[11],No,2.8.131[12]
