,Trident,EdgeHTML,Gecko,WebKit,Presto
section,5.0[t 1],12,2.0[g 1][g 2],533[w 1][w 2][w 3][w 4][w 5][w 6],2.7.70
nav,5.0[t 1],12,2.0[g 1][g 2],533[w 1][w 2][w 3][w 4][w 5][w 6],2.7.70
article,5.0[t 1],12,2.0[g 1][g 2],533[w 1][w 2][w 3][w 4][w 5][w 6],2.7.70
aside,5.0[t 1],12,2.0[g 1][g 2],533[w 1][w 2][w 3][w 4][w 5][w 6],2.7.70
hgroup,5.0[t 1],12,2.0[g 1][g 2],533[w 1][w 2][w 3][w 4][w 5][w 6],2.7.70
header,5.0[t 1],12,2.0[g 1][g 2],533[w 1][w 2][w 3][w 4][w 5][w 6],2.7.70
footer,5.0[t 1],12,2.0[g 1][g 2],533[w 1][w 2][w 3][w 4][w 5][w 6],2.7.70
ping,No,No,Disabled,Yes,No
time,No,No,22.0[g 3],No,2.8.146
mark,5.0[t 1],12,2.0[g 4],Yes[w 7],2.7.70
"ruby,[20] rt, rp",3.1[t 2],12,38.0[g 5],533[w 8][w 9],No
dialog[21],No,No,No[g 6],Only in Chrome[w 10],No
figure,5.0[t 1],12,2.0[g 7],Yes[w 11],2.7.70
figcaption,5.0[t 1],12,2.0[g 7],Yes[w 11],2.7.70
embed,<3.1[IE 3.0],12,1.7,85,1.0
video,5.0 (Partial)[t 3][t 4],12,15.0[g 8],525,2.5[a][b]
audio,5.0 (Partial)[t 3][t 4],12,15.0[g 8],525,2.5[a][b]
source,5.0 (Partial)[t 3][t 4],12,15.0[g 8],525,2.5[a][b]
canvas,5.0 (Partial)[t 3][t 4],Partial,1.9.2[g 9],Partial,2.0[p 4]
Inline MathML,No,No,2.0,No[w 12][w 13],2.1[c]
Inline SVG,5.0[t 3],12,2.0,Yes[w 14],2.9.220[p 6]
details,No,No,47[g 10],Yes[w 15],No
summary,No,No,47[g 10],Yes[w 15],No
command,No,No,No[g 11],No,No
menu,No,No,8.0[g 12],No[w 16],2.8[p 7]
bdi,No,No,10.0[g 13],528[w 17],No
data,No,No,22.0[g 14],No,No
picture,No,13,38.0[g 15],No[w 18],No
,Trident,EdgeHTML,Gecko,WebKit,Presto
