Language,Language,IBM Watson,Apertium,OpenLogos,Google Translate,Moses,Babel Fish,Bing Translator,GramTrans,SYSTRAN,IdiomaX
To English,Arabic to English,Yes,No,No,Yes,No,No,Yes,No,Yes,No
To English,Catalan to English,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
To English,Chinese (Simplified) to English,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
To English,Chinese (Traditional) to English,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
To English,Czech to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
To English,Danish to English,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No
To English,Dutch to English,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
To English,Esperanto to English,No,Yes,No,Yes,Yes,No,No,No,No,No
To English,Estonian to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
To English,Finnish to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
To English,French to English,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
To English,Galician to English,No,Yes,No,Yes,Yes,No,No,No,No,No
To English,German to English,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
To English,Greek to English,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
To English,Haitian Creole to English,No,No,No,Yes,No,No,Yes,No,No,No
To English,Hebrew to English,Yes,No,No,Yes,No,No,Yes,No,No,No
To English,Hindi to English,Yes,No,No,Yes,No,No,Yes,No,Yes,No
To English,Hungarian to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
To English,Indonesian to English,Yes,No,No,Yes,No,No,Yes,No,No,No
To English,Irish to English,Yes,No,No,Yes,Yes,No,Yes,No,No,No
To English,Italian to English,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
To English,Japanese to English,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
To English,Korean to English,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
To English,Latvian to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
To English,Lithuanian to English,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No
To English,Macedonian to English,No,Yes,No,Yes,Yes,No,No,No,No,No
To English,Malay to English,Yes,No,No,Yes,No,No,Yes,No,No,No
To English,Maltese to English,Yes,No,No,Yes,Yes,No,Yes,No,No,No
To English,Norwegian to English,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No
To English,Persian to English,No,No,No,Yes,No,No,Yes,No,Yes,No
To English,Polish to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
To English,Portuguese to English,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
To English,Portuguese (Brazilian) to English,Yes,No,No,No,No,No,Yes,No,No,No
To English,Romanian to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
To English,Russian to English,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
To English,Serbo-Croatian to English,Yes,Yes,No,Yes,Yes,No,No,No,No,No
To English,Slovak to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
To English,Slovenian to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
To English,Spanish to English,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
To English,Swedish to English,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No
To English,Tagalog to English,No,No,No,Yes,No,No,No,No,No,No
To English,Thai to English,Yes,No,No,Yes,No,No,Yes,No,No,No
To English,Turkish to English,Yes,No,No,Yes,No,No,Yes,No,Yes,No
To English,Ukrainian to English,No,No,No,Yes,Yes,No,Yes,No,Yes,No
To English,Welsh to English,No,Yes,No,Yes,Yes,No,Yes,No,No,No
Language,Language,IBM Watson,Apertium,OpenLogos,Google Translate,Moses,Babel Fish,Bing Translator,GramTrans,SYSTRAN,IdiomaX
Chinese (Simplified),English to Chinese (Simplified),Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No
Chinese (Simplified),German to Chinese (Simplified),Yes,No,No,Yes,No,No,Yes,No,No,No
To Chinese (Traditional),English to Chinese (Traditional),Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
To Chinese (Traditional),German to Chinese (Traditional),Yes,No,No,Yes,No,No,Yes,No,No,No
To Dutch,English to Dutch,Yes,No,?,Yes,Yes,Yes,Yes,Yes,Yes,No
To Dutch,French to Dutch,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
To French,English to French,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
To French,German to French,Yes,No,?,Yes,Yes,Yes,Yes,No,Yes,No
To French,Spanish to French,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
To French,Catalan to French,No,Yes,No,Yes,Yes,No,Yes,No,No,No
To French,Russian to French,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
To French,Dutch to French,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
To French,Italian to French,Yes,?,?,Yes,Yes,?,Yes,?,Yes,Yes
To French,Breton to French,No,Yes,No,No,Yes,No,No,No,No,No
To Galician,English to Galician,No,Yes,?,Yes,Yes,No,No,No,No,No
To Galician,Portuguese to Galician,No,Yes,No,Yes,Yes,No,No,No,No,No
To Galician,Spanish to Galician,No,Yes,No,Yes,Yes,No,No,No,No,No
To German,Chinese (Simplified) to German,Yes,No,No,No,No,No,Yes,No,No,No
To German,Chinese (Traditional) to German,Yes,No,No,No,No,No,Yes,No,No,No
To German,English to German,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
To German,French to German,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
To German,Spanish to German,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
To German,Russian to German,Yes,No,No,Yes,No,Yes,Yes,No,No,No
To German,Italian to German,Yes,?,?,Yes,Yes,?,Yes,?,Yes,Yes
To Italian,English to Italian,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
To Italian,Spanish to Italian,Yes,No,?,Yes,Yes,?,Yes,?,Yes,Yes
To Italian,French to Italian,Yes,No,?,Yes,Yes,?,Yes,?,Yes,Yes
To Italian,German to Italian,Yes,No,?,Yes,Yes,?,Yes,?,Yes,Yes
To Japanese,English to Japanese,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
To Japanese,German to Japanese,Yes,No,No,Yes,No,No,Yes,No,No,No
To Korean,English to Korean,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No
To Portuguese,English to Portuguese,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
To Russian,English to Russian,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
To Russian,French to Russian,Yes,No,No,Yes,Yes,No,Yes,No,No,No
To Russian,Spanish to Russian,Yes,No,No,Yes,Yes,No,Yes,No,No,No
To Russian,German to Russian,Yes,No,No,Yes,Yes,No,Yes,No,No,No
To Russian,Italian to Russian,Yes,No,No,Yes,Yes,No,Yes,No,No,No
To Spanish,English to Spanish,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
To Spanish,Russian to Spanish,Yes,No,No,Yes,Yes,No,Yes,No,No,No
To Spanish,French to Spanish,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
To Spanish,German to Spanish,Yes,No,?,Yes,Yes,No,Yes,No,Yes,No
To Spanish,Italian to Spanish,Yes,?,?,Yes,Yes,?,Yes,?,No,Yes
To Welsh,English to Welsh,No,No,No,Yes,Yes,No,Yes,No,No,No
Language,Language,IBM Watson,Apertium,OpenLogos,Google Translate,Moses,Babel Fish,Bing Translator,GramTrans,SYSTRAN,IdiomaX
To Arabic,English to Arabic,Yes,No,No,Yes,No,No,Yes,No,Yes,No
To Catalan,English to Catalan,No,Yes,?,Yes,Yes,No,Yes,No,No,No
To Catalan,French to Catalan,No,Yes,No,Yes,Yes,No,Yes,No,No,No
To Catalan,Italian to Catalan,No,Yes,No,Yes,Yes,No,Yes,No,No,No
To Catalan,Occitan to Catalan,No,Yes,No,Yes,Yes,No,No,No,No,No
To Catalan,Spanish to Catalan,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
To Czech,English to Czech,Yes,No,?,Yes,Yes,No,Yes,No,Yes,No
To Czech,German to Czech,Yes,No,No,Yes,Yes,No,Yes,No,No,No
To Danish,English to Danish,Yes,No,?,Yes,Yes,No,Yes,Yes,No,No
To Esperanto,Catalan to Esperanto,No,Yes,No,Yes,Yes,No,No,No,No,No
To Esperanto,Danish to Esperanto,No,No,No,Yes,Yes,No,No,Yes,No,No
To Esperanto,English to Esperanto,No,Yes,No,Yes,Yes,No,No,Yes,No,No
To Esperanto,French to Esperanto,No,Yes,No,Yes,Yes,No,No,No,No,No
To Esperanto,Spanish to Esperanto,No,Yes,No,Yes,Yes,No,No,No,No,No
To Finnish,English to Finnish,Yes,No,?,Yes,Yes,No,Yes,No,Yes,No
To Greek,English to Greek,Yes,No,?,Yes,Yes,Yes,Yes,No,Yes,No
To Haitian Creole,English to Haitian Creole,No,No,No,Yes,Yes,No,Yes,No,No,No
To Hebrew,English to Hebrew,Yes,No,No,Yes,Yes,No,Yes,No,No,No
To Hindi,English to Hindi,Yes,No,No,Yes,No,No,Yes,No,No,No
To Hungarian,English to Hungarian,Yes,No,?,Yes,Yes,No,Yes,No,Yes,No
To Norwegian (Bokmål),English to Norwegian (Bokmål),Yes,No,?,Yes,Yes,No,Yes,Yes,No,No
To Norwegian (Bokmål),Norwegian (Nynorsk) to Norwegian (Bokmål),No,Yes,No,No,Yes,No,No,No,No,No
To Norwegian (Nynorsk),Norwegian (Bokmål) to Norwegian (Nynorsk),No,Yes,No,No,Yes,No,No,No,No,No
To Occitan,Catalan to Occitan,No,Yes,No,No,Yes,No,No,No,No,No
To Occitan,Spanish to Occitan,No,Yes,No,No,Yes,No,No,No,No,No
To Persian,English to Persian,No,No,No,Yes,No,No,Yes,No,No,No
